,chan1
0,-0.4553558992
1,-0.4693476754
2,-0.484702561
3,-0.4952006619
4,-0.5079360898
5,-0.5204108991
6,-0.5254416267
7,-0.5308029096
8,-0.5359161587
9,-0.540462047
10,-0.5456515558
11,-0.549207684
12,-0.5542805119
13,-0.5582508902
14,-0.5649474535
15,-0.5711209237
16,-0.5773627391
17,-0.5873986894
18,-0.5926276637
19,-0.6007845422
20,-0.6125740315
21,-0.6288775081
22,-0.6447664696
23,-0.6598534966
24,-0.6717540411
25,-0.68042219
26,-0.6862907589
27,-0.6919872179
28,-0.6980901706
29,-0.7026712296
30,-0.7094423425
31,-0.7150945041
32,-0.7236475816
33,-0.7345103293
34,-0.7466230726
35,-0.7623118768
36,-0.7769770823
37,-0.7958906353
38,-0.8166866194
39,-0.8400235233
40,-0.8666406601
41,-0.8984374451
42,-0.9252225111
43,-0.945727358
44,-0.9674996298
45,-0.9841060054
46,-0.9996511927
47,-1.011851503
48,-1.021497681
49,-1.029167637
50,-1.032003365
51,-1.038749803
52,-1.045429847
53,-1.061951069
54,-1.07773104
55,-1.104821287
56,-1.137311014
57,-1.174118346
58,-1.216258184
59,-1.261327124
60,-1.312319571
61,-1.352371066
62,-1.388705067
63,-1.423894412
64,-1.455090667
65,-1.484423666
66,-1.510470105
67,-1.533193099
68,-1.554834215
69,-1.576129438
70,-1.598771603
71,-1.621216798
72,-1.644911206
73,-1.673229442
74,-1.700931408
75,-1.736692668
76,-1.777468042
77,-1.826555009
78,-1.884745822
79,-1.944431621
80,-2.008949791
81,-2.064960774
82,-2.10993514
83,-2.14578826
84,-2.182863646
85,-2.22405993
86,-2.274257235
87,-2.334462164
88,-2.399442534
89,-2.46336111
90,-2.522798153
91,-2.57477001
92,-2.615509994
93,-2.648618853
94,-2.707346316
95,-2.775266732
96,-2.857073573
97,-2.959061005
98,-3.07414366
99,-3.197691943
100,-3.333104786
101,-3.455848521
102,-3.560493996
103,-3.666227456
104,-3.77033364
105,-3.876653166
106,-3.982514824
107,-4.088988252
108,-4.19559625
109,-4.298309958
110,-4.411260033
111,-4.524157906
112,-4.643898412
113,-4.773097637
114,-4.913439475
115,-5.055559987
116,-5.191517001
117,-5.335943037
118,-5.478078795
119,-5.617546516
120,-5.75018032
121,-5.839184269
122,-5.916850337
123,-5.984383982
124,-6.04726823
125,-6.106816444
126,-6.161609192
127,-6.212578132
128,-6.260343035
129,-6.300790698
130,-6.321306431
131,-6.328238775
132,-6.3309485
133,-6.328268982
134,-6.326505
135,-6.312625688
136,-6.277876961
137,-6.221500412
138,-6.152962788
139,-6.086607841
140,-6.01309172
141,-5.914992899
142,-5.804084655
143,-5.694837096
144,-5.587464297
145,-5.479978684
146,-5.365465489
147,-5.243384771
148,-5.122633746
149,-5.002054356
150,-4.880849428
151,-4.759085248
152,-4.647134013
153,-4.543726374
154,-4.44483883
155,-4.352803278
156,-4.26437952
157,-4.184313876
158,-4.094675724
159,-4.005898455
160,-3.91805088
161,-3.809149077
162,-3.70296204
163,-3.603150595
164,-3.504490304
165,-3.400716029
166,-3.296663629
167,-3.19281538
168,-3.093351997
169,-3.002422373
170,-2.921987893
171,-2.848946011
172,-2.780361481
173,-2.716154954
174,-2.657936408
175,-2.601908985
176,-2.552255413
177,-2.507942555
178,-2.471602795
179,-2.437175023
180,-2.408712582
181,-2.356257884
182,-2.300050527
183,-2.238566324
184,-2.1792959
185,-2.118073394
186,-2.063704198
187,-2.013340607
188,-1.962656415
189,-1.919242171
190,-1.88313248
191,-1.849194647
192,-1.832772985
193,-1.805461697
194,-1.780800273
195,-1.761052524
196,-1.74310586
197,-1.727889629
198,-1.70719976
199,-1.686810721
200,-1.667482919
