,real,imag
0,-0.3951873183,-0.8627206683
1,-0.4076522589,-0.8552094698
2,-0.4203808904,-0.8471574187
3,-0.4339796305,-0.8389863372
4,-0.4476055801,-0.8302246928
5,-0.4617371559,-0.8208963871
6,-0.473220855,-0.8136996627
7,-0.4854408503,-0.8057910204
8,-0.4981027246,-0.797373414
9,-0.5104916692,-0.7889133096
10,-0.5231223106,-0.7799195647
11,-0.5356279016,-0.7709165812
12,-0.5480387807,-0.7614685893
13,-0.5600989461,-0.7521075606
14,-0.5719072819,-0.7422558665
15,-0.5834504366,-0.7323660851
16,-0.5943407416,-0.7226855159
17,-0.6047024727,-0.7126214504
18,-0.6151701808,-0.7028577328
19,-0.6253641844,-0.6926224828
20,-0.6351272464,-0.6819522977
21,-0.6452960968,-0.6699137688
22,-0.6550273299,-0.6580054164
23,-0.6648881435,-0.6457292438
24,-0.6746258736,-0.6336968541
25,-0.6845777631,-0.6215600371
26,-0.6943240166,-0.6097074747
27,-0.7036523819,-0.5979825854
28,-0.7124509215,-0.5864521265
29,-0.7211157084,-0.5749841928
30,-0.7303071022,-0.5620863438
31,-0.73919034,-0.5493474007
32,-0.7476007938,-0.5362920761
33,-0.7552709579,-0.5234187841
34,-0.7626116872,-0.5103656054
35,-0.7694548368,-0.496943146
36,-0.7761186361,-0.483554244
37,-0.7819740176,-0.4701784849
38,-0.787273109,-0.4569191635
39,-0.7919951081,-0.443708688
40,-0.7959855795,-0.4307030141
41,-0.7999181747,-0.4162378311
42,-0.8042164445,-0.4016956985
43,-0.809102118,-0.3868730962
44,-0.8135790229,-0.3720000684
45,-0.818341136,-0.3571531475
46,-0.8225602508,-0.343200624
47,-0.8268345594,-0.3294057548
48,-0.8309310079,-0.3161639869
49,-0.8349167705,-0.3031918705
50,-0.8392698765,-0.2900385857
51,-0.8431196809,-0.2764445543
52,-0.8467810154,-0.2627247572
53,-0.8491584063,-0.2490135878
54,-0.8517169356,-0.2341279536
55,-0.8526055813,-0.2201126367
56,-0.8524713516,-0.2071217
57,-0.8515775204,-0.1947498918
58,-0.8500286937,-0.1821930408
59,-0.8481727242,-0.1689495146
60,-0.8457499743,-0.1546523124
61,-0.8444101214,-0.1392698735
62,-0.8432620168,-0.123416625
63,-0.8418653607,-0.1082767323
64,-0.8404772282,-0.09435300529
65,-0.8389468789,-0.08159402013
66,-0.8374629021,-0.06997849792
67,-0.8361419439,-0.05849986151
68,-0.8348258138,-0.0461441502
69,-0.8333815336,-0.03345503658
70,-0.8316109776,-0.02120999806
71,-0.8296819329,-0.009341749363
72,-0.827470541,0.002446642611
73,-0.8246566057,0.01431101002
74,-0.821726501,0.02652456798
75,-0.8178271651,0.03941670433
76,-0.8132073283,0.05314122513
77,-0.8075092435,0.06778476387
78,-0.800896883,0.08056176454
79,-0.7940797806,0.09230207652
