,chan1
0,0.04278566812
1,0.03123943674
2,0.01855180438
3,0.008843808244
4,-0.0006821488621
5,-0.009623878817
6,-0.01357502744
7,-0.01707536286
8,-0.02132693772
9,-0.02523826077
10,-0.02727491444
11,-0.02826898989
12,-0.02998511162
13,-0.02839139663
14,-0.03222849792
15,-0.03587998385
16,-0.03911801209
17,-0.03850661268
18,-0.04273491603
19,-0.04901462269
20,-0.05323126174
21,-0.06294045033
22,-0.0730496308
23,-0.08200493641
24,-0.08686586882
25,-0.09045064971
26,-0.08920798288
27,-0.08760582263
28,-0.08774647635
29,-0.08811077052
30,-0.08469527482
31,-0.0849782178
32,-0.08487248078
33,-0.08866455869
34,-0.09513809037
35,-0.102119162
36,-0.1094019776
37,-0.1187553107
38,-0.1318096703
39,-0.1444264319
40,-0.1615362424
41,-0.1797116492
42,-0.1970702545
43,-0.2092542853
44,-0.2159118273
45,-0.2213553887
46,-0.2246749728
47,-0.2260485355
48,-0.2273067031
49,-0.2301188358
50,-0.2363607701
51,-0.2453432963
52,-0.2533176496
53,-0.2639291994
54,-0.2703292782
55,-0.282057491
56,-0.2998447725
57,-0.3214801532
58,-0.3496224223
59,-0.379022364
60,-0.4125086028
61,-0.4344813766
62,-0.4531359184
63,-0.4662899058
64,-0.475943761
65,-0.4838131339
66,-0.4861749779
67,-0.4894890423
68,-0.4900890952
69,-0.4965533808
70,-0.4989717813
71,-0.5064531811
72,-0.5141344919
73,-0.5240586496
74,-0.5359771199
75,-0.549502826
76,-0.5697441581
77,-0.5945249097
78,-0.6277772355
79,-0.6646940654
80,-0.6992858447
81,-0.7294295898
82,-0.7509027863
83,-0.7629424918
84,-0.7752230102
85,-0.7941538521
86,-0.8195140519
87,-0.8527472951
88,-0.8873966672
89,-0.9213767366
90,-0.951949301
91,-0.9764410277
92,-0.9941514081
93,-1.005706218
94,-1.044100276
95,-1.090178489
96,-1.15211239
97,-1.230746074
98,-1.325402855
99,-1.426370153
100,-1.537580673
101,-1.625699054
102,-1.69884622
103,-1.777465505
104,-1.874152518
105,-1.990159529
106,-2.112706
107,-2.24313424
108,-2.380790256
109,-2.525360839
110,-2.687549377
111,-2.862977423
112,-3.049716634
113,-3.25862684
114,-3.492915986
115,-3.764271753
116,-4.070673839
117,-4.403473916
118,-4.78594893
119,-5.199396928
120,-5.649840836
121,-6.074852697
122,-6.487815113
123,-6.891791109
124,-7.302250197
125,-7.729536393
126,-8.190224755
127,-8.695692292
128,-9.237972067
129,-9.804560472
130,-10.34958901
131,-10.79208585
132,-11.10740458
133,-11.32787038
134,-11.43957344
135,-11.4626548
136,-11.38730731
137,-11.26771047
138,-11.11689007
139,-10.96076758
140,-10.79233028
141,-10.61054229
142,-10.34166486
143,-9.999698979
144,-9.572715071
145,-9.087724836
146,-8.595328559
147,-8.132191856
148,-7.688600156
149,-7.243660307
150,-6.812701457
151,-6.407695699
152,-6.032821214
153,-5.691633062
154,-5.38428625
155,-5.103005125
156,-4.849723222
157,-4.609261965
158,-4.374075097
159,-4.153229781
160,-3.952786225
161,-3.747770992
162,-3.546475702
163,-3.353019695
164,-3.170230635
165,-2.986705631
166,-2.809933242
167,-2.643975057
168,-2.503621564
169,-2.376617727
170,-2.259876332
171,-2.143721624
172,-2.041963075
173,-1.947738036
174,-1.866794002
175,-1.787911129
176,-1.711914164
177,-1.637093194
178,-1.57183952
179,-1.514056269
180,-1.467293904
181,-1.402566213
182,-1.34270712
183,-1.284170482
184,-1.232170484
185,-1.187606314
186,-1.146539149
187,-1.10555491
188,-1.063286162
189,-1.022132564
190,-0.9859558609
191,-0.9547120432
192,-0.9414907701
193,-0.9234272534
194,-0.9095109951
195,-0.9001319278
196,-0.8927939493
197,-0.8855582103
198,-0.8778179034
199,-0.8700201396
200,-0.8648203309
