,chan1
0,-0.02830250819
1,-0.03936742295
2,-0.05020477114
3,-0.06076470286
4,-0.0718201564
5,-0.08057968965
6,-0.08530029131
7,-0.0879765253
8,-0.09345858177
9,-0.09509367679
10,-0.09676677967
11,-0.09897214476
12,-0.09878170385
13,-0.09874968554
14,-0.1022565415
15,-0.1049338666
16,-0.1066173255
17,-0.1066958829
18,-0.1090603579
19,-0.1109382622
20,-0.1144337114
21,-0.1234649312
22,-0.133808999
23,-0.1413291326
24,-0.1433996414
25,-0.1460242953
26,-0.1463210199
27,-0.1455084173
28,-0.1416226974
29,-0.139614575
30,-0.1377238176
31,-0.1342941889
32,-0.1373406419
33,-0.1366678867
34,-0.1367443145
35,-0.141064436
36,-0.1479610664
37,-0.1568629246
38,-0.164264855
39,-0.1769960601
40,-0.1916211247
41,-0.2073479855
42,-0.2214264218
43,-0.2322511199
44,-0.2390922928
45,-0.2419488848
46,-0.2453428516
47,-0.2421457816
48,-0.2395024707
49,-0.2305367898
50,-0.2211757889
51,-0.2114158862
52,-0.2031070296
53,-0.2005339688
54,-0.1976474754
55,-0.2030160293
56,-0.2111437528
57,-0.2233180547
58,-0.2410827507
59,-0.2623261656
60,-0.2900688778
61,-0.3040368925
62,-0.3142834457
63,-0.32086172
64,-0.3241664928
65,-0.3235766678
66,-0.3205238073
67,-0.3132462699
68,-0.3080384388
69,-0.302481438
70,-0.2917009107
71,-0.2861494317
72,-0.2812206554
73,-0.2794165324
74,-0.2745545046
75,-0.2792528659
76,-0.2860555685
77,-0.2987220524
78,-0.3187375813
79,-0.3449900244
80,-0.3682244779
81,-0.3855776022
82,-0.3914198202
83,-0.3874710406
84,-0.3786159216
85,-0.377263356
86,-0.3774618099
87,-0.3877472442
88,-0.3996060196
89,-0.4093037713
90,-0.4141452523
91,-0.409407991
92,-0.3947804676
93,-0.375523703
94,-0.3753786082
95,-0.3876501355
96,-0.4123860467
97,-0.446777816
98,-0.4910834229
99,-0.5406170844
100,-0.5960610072
101,-0.6340697689
102,-0.6522041833
103,-0.6689050354
104,-0.6833064029
105,-0.6978803478
106,-0.714011359
107,-0.7272839348
108,-0.7461319345
109,-0.7670906161
110,-0.8000966112
111,-0.839268176
112,-0.8842412231
113,-0.9338832389
114,-0.9930301139
115,-1.059033665
116,-1.133232032
117,-1.211408105
118,-1.294689281
119,-1.387216919
120,-1.478970198
121,-1.567112419
122,-1.656436829
123,-1.759629004
124,-1.871327673
125,-2.000655484
126,-2.136366044
127,-2.294721744
128,-2.477642787
129,-2.68687996
130,-2.921459018
131,-3.184412474
132,-3.480355011
133,-3.812754331
134,-4.188045266
135,-4.604554363
136,-5.055698567
137,-5.58230891
138,-6.154148449
139,-6.760088089
140,-7.389057769
141,-8.0219978
142,-8.637147405
143,-9.210758316
144,-9.673017903
145,-9.960174978
146,-10.00153397
147,-9.786581872
148,-9.350321413
149,-8.764286209
150,-8.098776058
151,-7.422243961
152,-6.772066976
153,-6.176667175
154,-5.645382608
155,-5.197909721
156,-4.813879983
157,-4.383395931
158,-4.0304172
159,-3.735993772
160,-3.483209549
161,-3.254080455
162,-3.042911808
163,-2.846688336
164,-2.664698532
165,-2.495133671
166,-2.340149301
167,-2.195477461
168,-2.063977377
169,-1.940960133
170,-1.830514875
171,-1.726894848
172,-1.636605724
173,-1.553350331
174,-1.480824768
175,-1.4180345
176,-1.360951186
177,-1.315398299
178,-1.273250558
179,-1.240758913
180,-1.210279525
181,-1.163620201
182,-1.118296721
183,-1.074107236
184,-1.032666328
185,-0.9940527857
186,-0.9584590129
187,-0.9248258956
188,-0.8862380084
189,-0.8498625931
190,-0.8228833851
191,-0.7985614932
192,-0.7911101255
193,-0.7719450988
194,-0.7593748125
195,-0.7460331748
196,-0.7363937108
197,-0.7307285613
198,-0.7207255888
199,-0.7127359514
200,-0.7067459333
