,chan1
0,-0.1228107379
1,-0.1355332264
2,-0.1486816816
3,-0.1590636026
4,-0.1699466644
5,-0.1775689271
6,-0.1812083155
7,-0.1828395596
8,-0.1855729725
9,-0.1862049162
10,-0.1883439614
11,-0.1864072651
12,-0.1890951912
13,-0.1898464494
14,-0.1931195278
15,-0.196133307
16,-0.1982692196
17,-0.2005719769
18,-0.2016947458
19,-0.204012228
20,-0.2072962545
21,-0.2187834964
22,-0.229435843
23,-0.2376849009
24,-0.2424820311
25,-0.2444976782
26,-0.2465231484
27,-0.2467783344
28,-0.2461392921
29,-0.245771601
30,-0.2446416015
31,-0.2412240634
32,-0.2441174889
33,-0.2437707194
34,-0.2472747057
35,-0.2547481735
36,-0.2632412606
37,-0.2731709589
38,-0.2813735398
39,-0.2977976756
40,-0.3150410321
41,-0.3344891884
42,-0.352166416
43,-0.3615567271
44,-0.3706811204
45,-0.3761720768
46,-0.3792825195
47,-0.3790565637
48,-0.3754269246
49,-0.3715742229
50,-0.3634876393
51,-0.3612641492
52,-0.3607779695
53,-0.366888828
54,-0.3739325708
55,-0.3891185368
56,-0.4064111885
57,-0.4309920023
58,-0.4574233873
59,-0.4905460456
60,-0.5265387143
61,-0.5500896209
62,-0.5706134389
63,-0.5863307857
64,-0.6010705148
65,-0.6111754484
66,-0.6186033911
67,-0.6253899322
68,-0.6353573739
69,-0.6410974323
70,-0.6477596041
71,-0.6564678604
72,-0.6635814035
73,-0.6758520706
74,-0.6902418435
75,-0.7034954234
76,-0.7223887505
77,-0.7480149899
78,-0.7820298414
79,-0.8155439863
80,-0.8443534345
81,-0.8705662275
82,-0.8829820562
83,-0.8903394777
84,-0.9000554039
85,-0.9165203387
86,-0.94456865
87,-0.9709260813
88,-1.001738333
89,-1.026252392
90,-1.044516824
91,-1.058150682
92,-1.061149232
93,-1.057162639
94,-1.074351683
95,-1.105915911
96,-1.15248469
97,-1.211413492
98,-1.284553834
99,-1.36861343
100,-1.457903732
101,-1.531879439
102,-1.580780644
103,-1.636505542
104,-1.696993552
105,-1.762160817
106,-1.827107985
107,-1.886971307
108,-1.952322402
109,-2.019648847
110,-2.099200136
111,-2.178230588
112,-2.26099442
113,-2.354836807
114,-2.463185642
115,-2.591401387
116,-2.733351053
117,-2.887467736
118,-3.061408671
119,-3.264037548
120,-3.492201153
121,-3.715401173
122,-3.951707136
123,-4.200396745
124,-4.443448536
125,-4.68022378
126,-4.922045993
127,-5.190029353
128,-5.481594412
129,-5.789545485
130,-6.108146499
131,-6.435383808
132,-6.777823808
133,-7.133140962
134,-7.492736533
135,-7.871300771
136,-8.275665045
137,-8.689782328
138,-9.102245814
139,-9.513066488
140,-9.941126143
141,-10.31215145
142,-10.61207918
143,-10.82333164
144,-10.88945818
145,-10.8284856
146,-10.69060407
147,-10.52026473
148,-10.35723144
149,-10.23552735
150,-10.11617922
151,-9.963421748
152,-9.818000431
153,-9.677788847
154,-9.522421409
155,-9.364296036
156,-9.213104185
157,-9.043211456
158,-8.82105558
159,-8.554892353
160,-8.262518331
161,-7.923152405
162,-7.592595053
163,-7.27378288
164,-6.953706741
165,-6.610738359
166,-6.267476843
167,-5.943153115
168,-5.655967271
169,-5.395195409
170,-5.146941396
171,-4.892159646
172,-4.647098608
173,-4.423756905
174,-4.219885528
175,-4.028708283
176,-3.839628508
177,-3.654770658
178,-3.48441155
179,-3.333883475
180,-3.196298982
181,-3.050366051
182,-2.911747428
183,-2.778262888
184,-2.655260378
185,-2.541316128
186,-2.436944601
187,-2.331821966
188,-2.236740453
189,-2.141959052
190,-2.063490527
191,-1.994931098
192,-1.949110674
193,-1.898150691
194,-1.842914045
195,-1.792907016
196,-1.740455703
197,-1.696153342
198,-1.651792912
199,-1.614679604
200,-1.579570332
