,chan1
0,-0.3880480116
1,-0.4076144398
2,-0.4233462687
3,-0.4417858435
4,-0.457829805
5,-0.4748569256
6,-0.4857015654
7,-0.4938670973
8,-0.5010610517
9,-0.5102835115
10,-0.5187556015
11,-0.5287452445
12,-0.5393049538
13,-0.5485776148
14,-0.5644741548
15,-0.5796245292
16,-0.5965853897
17,-0.6140776101
18,-0.6307470575
19,-0.6512335252
20,-0.6710100592
21,-0.6991872131
22,-0.7261830625
23,-0.7491385603
24,-0.7718215983
25,-0.7916795304
26,-0.8106741133
27,-0.8258167924
28,-0.8434388163
29,-0.8606839047
30,-0.8799409922
31,-0.9020438135
32,-0.9251029857
33,-0.9520700198
34,-0.98020137
35,-1.01054636
36,-1.047131638
37,-1.087555534
38,-1.131292422
39,-1.180854865
40,-1.2353884
41,-1.292022159
42,-1.348145823
43,-1.399591378
44,-1.446259761
45,-1.487810179
46,-1.529042779
47,-1.566044426
48,-1.604294924
49,-1.639151822
50,-1.674832097
51,-1.711255905
52,-1.753249485
53,-1.804260353
54,-1.859960007
55,-1.927359499
56,-2.005055071
57,-2.090140703
58,-2.185833305
59,-2.290447402
60,-2.399072524
61,-2.494292625
62,-2.589233804
63,-2.681237975
64,-2.766929213
65,-2.85167193
66,-2.932431422
67,-3.007649654
68,-3.080610989
69,-3.158537167
70,-3.234440249
71,-3.318081983
72,-3.405766155
73,-3.497686204
74,-3.600612704
75,-3.709255152
76,-3.833230268
77,-3.964284841
78,-4.103653175
79,-4.252617249
80,-4.408102951
81,-4.550366706
82,-4.678507314
83,-4.799184167
84,-4.918281735
85,-5.041132059
86,-5.165588577
87,-5.292513436
88,-5.416063404
89,-5.536339008
90,-5.652258636
91,-5.741875489
92,-5.80636453
93,-5.844547337
94,-5.896742995
95,-5.940841021
96,-5.978625083
97,-6.001771723
98,-6.020468114
99,-6.034922621
100,-6.044870445
101,-6.03788605
102,-6.000769715
103,-5.948199404
104,-5.88040547
105,-5.80417332
106,-5.715110696
107,-5.620384456
108,-5.515336965
109,-5.411075279
110,-5.3163841
111,-5.226699759
112,-5.132658469
113,-5.035185209
114,-4.930989762
115,-4.824213686
116,-4.727555776
117,-4.637706489
118,-4.558938257
119,-4.483605668
120,-4.412789346
121,-4.316131082
122,-4.208999191
123,-4.099744826
124,-3.994886269
125,-3.906443386
126,-3.813228578
127,-3.725795341
128,-3.641571728
129,-3.557828028
130,-3.476697609
131,-3.396570915
132,-3.322527753
133,-3.246901659
134,-3.173442071
135,-3.099256581
136,-3.028240158
137,-2.96268927
138,-2.904404784
139,-2.852264975
140,-2.812845307
141,-2.758861304
142,-2.690580104
143,-2.62125198
144,-2.550359128
145,-2.483439942
146,-2.418609481
147,-2.356415825
148,-2.302169349
149,-2.2524812
150,-2.204623523
151,-2.165825978
152,-2.130636473
153,-2.100045019
154,-2.077082885
155,-2.057974884
156,-2.03972713
157,-2.02434042
158,-2.008562868
159,-1.990897595
160,-1.977456847
161,-1.943855446
162,-1.907881901
163,-1.868824809
164,-1.8277902
165,-1.785530999
166,-1.744106082
167,-1.700940376
168,-1.660073349
169,-1.622541473
170,-1.592278926
171,-1.56327968
172,-1.538497858
173,-1.51748555
174,-1.500390809
175,-1.487076554
176,-1.47887175
177,-1.472198251
178,-1.47202051
179,-1.471620931
180,-1.473141898
181,-1.448029918
182,-1.422896431
183,-1.39369135
184,-1.368755674
185,-1.342029255
186,-1.313640993
187,-1.287098868
188,-1.26368646
189,-1.242176731
190,-1.222681637
191,-1.20575787
192,-1.207608447
193,-1.198865512
194,-1.192559658
195,-1.188468197
196,-1.184570009
197,-1.182758515
198,-1.177891099
199,-1.174068935
200,-1.170024912
