,chan1
0,-0.6070946255
1,-0.6268649748
2,-0.6467083988
3,-0.6643663378
4,-0.6831928491
5,-0.6980882537
6,-0.7120786808
7,-0.7208786264
8,-0.7319240209
9,-0.7436904917
10,-0.7524240408
11,-0.7640009892
12,-0.7763550262
13,-0.7906644439
14,-0.8091191823
15,-0.8279058006
16,-0.8465051956
17,-0.866782197
18,-0.8893371837
19,-0.9110214406
20,-0.9385381845
21,-0.9663348892
22,-0.9987513571
23,-1.028790343
24,-1.056814382
25,-1.079577349
26,-1.103001254
27,-1.126556653
28,-1.146400324
29,-1.165834664
30,-1.187265342
31,-1.211561889
32,-1.24096577
33,-1.271885303
34,-1.304053523
35,-1.342757276
36,-1.383925339
37,-1.427812137
38,-1.479063059
39,-1.531673333
40,-1.587718258
41,-1.649228204
42,-1.70706999
43,-1.760455127
44,-1.811727386
45,-1.864750606
46,-1.909849009
47,-1.955892552
48,-1.999850505
49,-2.040799175
50,-2.083257772
51,-2.123787206
52,-2.171413474
53,-2.226663616
54,-2.287378113
55,-2.363182032
56,-2.448596292
57,-2.542961121
58,-2.644795132
59,-2.75523932
60,-2.874187574
61,-2.981436877
62,-3.089913668
63,-3.19888819
64,-3.301780563
65,-3.402920049
66,-3.496940394
67,-3.587539964
68,-3.676255318
69,-3.773481677
70,-3.864714685
71,-3.95805781
72,-4.053944279
73,-4.159761994
74,-4.277947678
75,-4.40373471
76,-4.542764772
77,-4.689648426
78,-4.853208008
79,-5.019446197
80,-5.191991389
81,-5.351810226
82,-5.498397173
83,-5.63072202
84,-5.75506578
85,-5.869147995
86,-5.974420771
87,-6.07088988
88,-6.148015515
89,-6.213085562
90,-6.265919318
91,-6.300139229
92,-6.309936334
93,-6.299865726
94,-6.291248327
95,-6.266590241
96,-6.233196833
97,-6.1977462
98,-6.168629691
99,-6.144026174
100,-6.127993828
101,-6.097253739
102,-6.031040491
103,-5.950624476
104,-5.856777411
105,-5.748740114
106,-5.632553103
107,-5.507717648
108,-5.379336679
109,-5.25681047
110,-5.14555503
111,-5.038612682
112,-4.934963674
113,-4.835142727
114,-4.730017633
115,-4.63131532
116,-4.531964737
117,-4.438088282
118,-4.348960756
119,-4.265788417
120,-4.19276921
121,-4.104227948
122,-4.021623771
123,-3.94588009
124,-3.87369552
125,-3.80480886
126,-3.728565849
127,-3.648039754
128,-3.570635231
129,-3.484062919
130,-3.39843342
131,-3.322937084
132,-3.250496773
133,-3.180029971
134,-3.114036944
135,-3.04550135
136,-2.98793541
137,-2.934086321
138,-2.886497232
139,-2.84640708
140,-2.814453249
141,-2.767795479
142,-2.707468883
143,-2.64339423
144,-2.576439441
145,-2.51415255
146,-2.451520456
147,-2.393048764
148,-2.34279421
149,-2.293130087
150,-2.249265115
151,-2.210298633
152,-2.18143284
153,-2.154290559
154,-2.131804807
155,-2.111456898
156,-2.09560676
157,-2.083619452
158,-2.067540106
159,-2.054452826
160,-2.044397484
161,-2.011668941
162,-1.974623586
163,-1.936623815
164,-1.891492903
165,-1.850355303
166,-1.812179012
167,-1.774237075
168,-1.740359404
169,-1.713878208
170,-1.687090718
171,-1.665039856
172,-1.646769472
173,-1.630701334
174,-1.618065549
175,-1.608272503
176,-1.602466764
177,-1.595891363
178,-1.5942642
179,-1.592402441
180,-1.588749977
181,-1.562802423
182,-1.533102706
183,-1.504864691
184,-1.47541404
185,-1.4515739
186,-1.427363804
187,-1.405343446
188,-1.384322887
189,-1.365086049
190,-1.34906658
191,-1.336617792
192,-1.339533506
193,-1.330234463
194,-1.325689818
195,-1.321516683
196,-1.319634446
197,-1.316150556
198,-1.309789955
199,-1.303113151
200,-1.294863089
