,chan1
0,0.07222906754
1,0.06250150848
2,0.04910768813
3,0.0404933895
4,0.03040961722
5,0.0208697732
6,0.01726672862
7,0.01163980377
8,0.007772437201
9,0.006228525285
10,0.005302397059
11,0.001114848833
12,0.001117083551
13,-0.0005394231825
14,-0.004126100283
15,-0.007546391807
16,-0.008938021438
17,-0.01486474988
18,-0.01669483392
19,-0.02210758688
20,-0.0263858833
21,-0.03818923601
22,-0.04676226656
23,-0.05316371311
24,-0.05902827473
25,-0.06323618472
26,-0.06351248719
27,-0.05970061224
28,-0.05980947893
29,-0.05718681347
30,-0.05513790712
31,-0.05459108572
32,-0.05651407483
33,-0.05675081173
34,-0.06189418908
35,-0.06603995115
36,-0.07444450851
37,-0.08192554249
38,-0.09239359389
39,-0.1046919258
40,-0.1188131663
41,-0.13347738
42,-0.1486761792
43,-0.157454694
44,-0.1610850895
45,-0.164967793
46,-0.1624145442
47,-0.156738755
48,-0.1488431752
49,-0.1405625189
50,-0.1315001474
51,-0.1207021864
52,-0.1139249201
53,-0.114691572
54,-0.1148134867
55,-0.1203173299
56,-0.13237613
57,-0.1465867094
58,-0.1652335832
59,-0.1875614118
60,-0.2148895518
61,-0.2278377247
62,-0.2369108513
63,-0.2448796444
64,-0.2436388692
65,-0.2432434988
66,-0.2375760698
67,-0.2337563922
68,-0.2278581878
69,-0.2200904043
70,-0.2113616193
71,-0.2074525415
72,-0.1998481346
73,-0.1999659253
74,-0.1996550235
75,-0.2046568426
76,-0.2134539628
77,-0.2260906605
78,-0.2512774906
79,-0.2766608999
80,-0.3070447559
81,-0.3266327805
82,-0.3364781571
83,-0.3338009586
84,-0.3282476676
85,-0.3270263142
86,-0.3310274977
87,-0.3432965281
88,-0.3600888185
89,-0.3738938173
90,-0.3830059973
91,-0.3849671092
92,-0.3766110837
93,-0.3637030743
94,-0.3714699018
95,-0.3907378888
96,-0.421716596
97,-0.4628967995
98,-0.5117663993
99,-0.5682051
100,-0.6273928034
101,-0.6713222478
102,-0.6938428556
103,-0.7158811253
104,-0.7367051778
105,-0.7576471848
106,-0.779689802
107,-0.8015952769
108,-0.8257899458
109,-0.8524468755
110,-0.8970208961
111,-0.9464078032
112,-1.004167664
113,-1.066548312
114,-1.139992202
115,-1.220240558
116,-1.307919263
117,-1.403956112
118,-1.504673682
119,-1.615437428
120,-1.731675349
121,-1.83837493
122,-1.955549071
123,-2.083799214
124,-2.226869854
125,-2.390822998
126,-2.56562283
127,-2.765421359
128,-2.992062884
129,-3.248888889
130,-3.534438799
131,-3.854936908
132,-4.205894249
133,-4.588630396
134,-5.005718241
135,-5.473311338
136,-6.093704685
137,-6.67220831
138,-7.20749999
139,-7.731158198
140,-8.209608165
141,-8.633386967
142,-8.956147178
143,-9.148479833
144,-9.176429131
145,-9.032655529
146,-8.731335572
147,-8.309367317
148,-7.802949172
149,-7.262265618
150,-6.713507489
151,-6.176599458
152,-5.677574544
153,-5.220561203
154,-4.804688013
155,-4.43278407
156,-4.105283907
157,-3.821519311
158,-3.563207359
159,-3.332131442
160,-3.130532523
161,-2.939258831
162,-2.760598638
163,-2.594865779
164,-2.44099655
165,-2.296872908
166,-2.163014013
167,-2.037100036
168,-1.917498249
169,-1.809947639
170,-1.70778014
171,-1.61528234
172,-1.527503892
173,-1.450231582
174,-1.378190417
175,-1.316429057
176,-1.265502796
177,-1.219038458
178,-1.178830944
179,-1.143310892
180,-1.113621513
181,-1.064422643
182,-1.0180993
183,-0.9717852245
184,-0.928996056
185,-0.8895306524
186,-0.8497000663
187,-0.8182472113
188,-0.7830656964
189,-0.7483861703
190,-0.718042391
191,-0.6916923753
192,-0.6822729944
193,-0.6628661239
194,-0.6475768943
195,-0.6345467933
196,-0.6232456327
197,-0.6155192271
198,-0.6090088835
199,-0.6001756266
200,-0.5962872297
