,real,imag
0,-0.8643446565,-0.307071209
1,-0.8671002984,-0.2930601537
2,-0.8702943921,-0.2782787085
3,-0.8741037846,-0.2632984221
4,-0.8777607083,-0.2473287284
5,-0.8815006614,-0.2308595479
6,-0.8848632574,-0.217154026
7,-0.8881513476,-0.2027539164
8,-0.8911398053,-0.1873417199
9,-0.8939561248,-0.1718016863
10,-0.8962305784,-0.1559411883
11,-0.8983631134,-0.1397555172
12,-0.8996770382,-0.1242922619
13,-0.9007995129,-0.1087434068
14,-0.9016224146,-0.093541421
15,-0.9022447467,-0.07852832973
16,-0.9027981758,-0.06417930871
17,-0.9030679464,-0.04905286059
18,-0.9028508067,-0.03435944393
19,-0.9021353126,-0.0193453487
20,-0.9010756612,-0.00402894849
21,-0.9000357985,0.01290036645
22,-0.8991534114,0.02950331755
23,-0.8978516459,0.04644230753
24,-0.8969080448,0.06266253442
25,-0.8958957195,0.07914141566
26,-0.894792676,0.09578365088
27,-0.893358767,0.1120366007
28,-0.8913847804,0.1280390471
29,-0.8892928958,0.1435460448
30,-0.8860478401,0.1606916189
31,-0.8819838762,0.1775992364
32,-0.8774208426,0.1939465851
33,-0.8717759848,0.2101252228
34,-0.8657403588,0.2258951068
35,-0.8591227531,0.2413868606
36,-0.8519414067,0.2562666237
37,-0.8446497321,0.2710264623
38,-0.8367103934,0.2859206498
39,-0.8284746408,0.3002088964
40,-0.8198055625,0.3142472506
41,-0.811342597,0.3302666545
42,-0.8030142188,0.3464106917
43,-0.7949292064,0.3630537987
44,-0.7868295908,0.3796781898
45,-0.7783842683,0.3966162503
46,-0.7696231008,0.4126277566
47,-0.7603570223,0.4282281995
48,-0.750354588,0.4435549676
49,-0.7398284078,0.4582329988
50,-0.728376925,0.4726867974
51,-0.7156043649,0.4866872132
52,-0.7020615339,0.4997596145
53,-0.6870875359,0.5116588473
54,-0.6709757447,0.5236960053
55,-0.6547225118,0.5335996151
56,-0.6385050416,0.5420248508
57,-0.6224102378,0.549239099
58,-0.6060148478,0.5560631156
59,-0.5889832377,0.5631811619
60,-0.5713225603,0.5706297159
61,-0.5550760627,0.5798476338
62,-0.5385894775,0.5898211598
63,-0.5223976374,0.5994221568
64,-0.5068474412,0.608512342
65,-0.4914537072,0.6161285639
66,-0.476970166,0.622590363
67,-0.4625009596,0.6286572218
68,-0.447476536,0.6343645453
69,-0.4315753877,0.6395296454
70,-0.4163747132,0.6441374421
71,-0.401807487,0.6478556395
72,-0.3867576122,0.6514786482
73,-0.3719288409,0.6551094651
74,-0.3561502993,0.6589052081
75,-0.3393308222,0.6622743607
76,-0.3209170401,0.6656985283
77,-0.3016263247,0.6685699821
78,-0.2834297419,0.670199275
79,-0.2653522193,0.6721957326
80,-0.2459988743,0.6744406819
81,-0.2272976488,0.6778333187
82,-0.2086651474,0.6811301112
83,-0.190614,0.6839154363
84,-0.1714226454,0.6854906082
85,-0.1516248584,0.6856691837
86,-0.1306536347,0.6851860881
87,-0.1093729287,0.6838735342
88,-0.08787675947,0.6816594005
89,-0.06589610875,0.6778603196
90,-0.04405068234,0.6724231839
91,-0.02273543738,0.6661300659
92,-0.00121087092,0.6594521999
93,0.02138330787,0.652380228
94,0.0446206741,0.6424612403
95,0.06837936491,0.6303915977
96,0.09197119623,0.6160054207
97,0.1151107773,0.5995368361
98,0.1368423104,0.5811361074
99,0.1570263654,0.561927557
100,0.1765080243,0.5425733328
101,0.1943551898,0.5250893235
102,0.2127338648,0.5073529482
103,0.230112955,0.4878239334
104,0.2459361702,0.4665984809
105,0.2592156231,0.4444257617
106,0.2721672356,0.4223782718
107,0.2842162848,0.3981830478
108,0.2947564721,0.3725703061
109,0.3034788966,0.3452138603
110,0.3097020686,0.31670928
111,0.3149964213,0.2880885303
112,0.3192951977,0.2581860423
113,0.3215762675,0.2272320688
114,0.3222560585,0.1962552816
115,0.3212263882,0.164886415
116,0.3191644251,0.1334987581
117,0.3156251013,0.101333417
118,0.3096090257,0.06892380863
119,0.3005137444,0.03696777299
120,0.2886849046,0.006658463273
121,0.272895515,-0.02001667581
122,0.2551041842,-0.04508152604
123,0.234897837,-0.0687841922
124,0.2120019495,-0.09021309763
125,0.1880201846,-0.1079422608
126,0.1648424566,-0.1226720288
127,0.1422732919,-0.1367809027
128,0.1188696101,-0.1498953253
129,0.09470964223,-0.1611106992
130,0.07109729201,-0.1704197675
131,0.04783191532,-0.1781889796
132,0.0248054266,-0.1844462156
133,0.002784231678,-0.1882533878
134,-0.0161279235,-0.1905251294
135,-0.03239607438,-0.194289431
136,-0.04844972119,-0.1999085844
137,-0.06496652216,-0.2062030137
138,-0.08276542276,-0.213528648
139,-0.1028295755,-0.2204710394
140,-0.1250582635,-0.225050509
141,-0.1483399123,-0.2247278392
142,-0.1717288196,-0.2223768383
143,-0.1950993985,-0.2184139937
144,-0.2184131593,-0.2125988901
145,-0.241319865,-0.2051157653
146,-0.2629032433,-0.1964714974
147,-0.2827539742,-0.1866835654
148,-0.3006749749,-0.1775635332
149,-0.3179778159,-0.1698085964
150,-0.3349785209,-0.1618478149
151,-0.35114187,-0.1544192433
152,-0.3669667244,-0.1473541409
153,-0.3830004334,-0.1403054893
154,-0.3979848921,-0.1324530244
155,-0.4122518599,-0.1255245358
156,-0.4267085493,-0.1186501831
157,-0.4416715205,-0.111485213
158,-0.4577905238,-0.1009374186
