,real,imag
0,-0.8677699566,-0.267748028
1,-0.869335711,-0.2536125183
2,-0.8717498779,-0.2389258295
3,-0.8745684624,-0.223731786
4,-0.8777853847,-0.2078772187
5,-0.8813531995,-0.1911602765
6,-0.8841074705,-0.1768327057
7,-0.8867415786,-0.1619082987
8,-0.8891168833,-0.1461088061
9,-0.8914098144,-0.1304168403
10,-0.8930624723,-0.1141708493
11,-0.8945948482,-0.09771622717
12,-0.8957005739,-0.08139421791
13,-0.8960555196,-0.06503358483
14,-0.8957466483,-0.04917378724
15,-0.8951102495,-0.03333385289
16,-0.894549787,-0.01842417009
17,-0.8934528232,-0.003577886382
18,-0.8922145367,0.01136371307
19,-0.8904784322,0.02676884457
20,-0.8882263303,0.04208111763
21,-0.8862972856,0.0594114773
22,-0.884367466,0.07666677982
23,-0.8820217848,0.09385968745
24,-0.8798416257,0.1107798219
25,-0.8775011897,0.1276595592
26,-0.8751946688,0.1448196471
27,-0.8720151186,0.1615270227
28,-0.8685457706,0.1777585
29,-0.8648019433,0.1935500354
30,-0.8600037694,0.2108059675
31,-0.8545243144,0.2280206233
32,-0.8483957648,0.2445489466
33,-0.8412003517,0.2608585954
34,-0.8333376646,0.2767262161
35,-0.8251017332,0.2920726538
36,-0.8163772821,0.3070063293
37,-0.8075875044,0.3219079673
38,-0.7981957197,0.3368433118
39,-0.7883179188,0.3517048657
40,-0.7778449059,0.3655323386
41,-0.7672333717,0.3818845153
42,-0.7568974495,0.3982047141
43,-0.7464578748,0.4142676294
44,-0.7360457182,0.4304870665
45,-0.7257108688,0.4467258155
46,-0.7149550915,0.4621797502
47,-0.7039110065,0.4770375192
48,-0.6923373938,0.4916320443
49,-0.6805687547,0.5058900118
50,-0.667594552,0.5201455355
51,-0.6529679298,0.5339081287
52,-0.6372311115,0.5467822552
53,-0.6202263236,0.5578583479
54,-0.6019544005,0.5686369538
55,-0.5839822292,0.5776355267
56,-0.5662617087,0.5853536129
57,-0.5487642288,0.5921613574
58,-0.5305402875,0.5985782146
59,-0.5117648244,0.605448544
60,-0.4917049706,0.6124434471
61,-0.4727336168,0.6218613386
62,-0.4530785382,0.6312266588
63,-0.4333684742,0.6402076483
64,-0.4141386151,0.648006916
65,-0.3952050209,0.6548573971
66,-0.376639694,0.6605758071
67,-0.3576208651,0.6648231149
68,-0.3382509351,0.66793859
69,-0.3182201982,0.6706176996
70,-0.298815757,0.672604084
71,-0.2796383202,0.6733364463
72,-0.2604766488,0.6735150218
73,-0.241370827,0.6733702421
74,-0.2215109169,0.672903657
75,-0.2001030147,0.6714951396
76,-0.177713424,0.6692595482
77,-0.1547992826,0.6658318043
78,-0.133678332,0.6612430215
79,-0.1127393544,0.6574443579
80,-0.09143789858,0.6533849239
81,-0.06975173205,0.6508382559
82,-0.04873023555,0.6476958394
83,-0.02773523889,0.6444354653
84,-0.005386561155,0.639208436
85,0.0168674197,0.6318633556
86,0.04023776576,0.6229083538
87,0.06313139945,0.612800777
88,0.08598895371,0.6011705399
89,0.1087067649,0.5874585509
90,0.1303424537,0.5719698668
91,0.1510812938,0.5554258227
92,0.1714505553,0.5384671688
93,0.1923314482,0.520480454
94,0.2126078755,0.499917537
95,0.2324100584,0.4770511091
96,0.2514053583,0.4522862136
97,0.2687611878,0.4253390431
98,0.2839247584,0.3975518048
99,0.2974227965,0.3692814708
100,0.3100543618,0.3413925171
101,0.3215004206,0.3149656355
102,0.3327174485,0.28689906
103,0.3414937556,0.2568842173
104,0.3470180035,0.2255479544
105,0.3494459093,0.1938662231
106,0.350579828,0.1620585173
107,0.3492497504,0.1287065595
108,0.3442129791,0.09451651573
109,0.3358602822,0.06129921228
110,0.3250507414,0.0298904404
111,0.3146387935,-0.001021392643
112,0.3027181923,-0.03320522234
113,0.2881660163,-0.06573216617
114,0.2706498802,-0.09744373709
115,0.2509875,-0.1273774952
116,0.2297332138,-0.1555894315
117,0.207394287,-0.1822863966
118,0.1833091974,-0.2074703872
119,0.1571571231,-0.2303089947
120,0.129364416,-0.2499167025
121,0.09933976084,-0.2645219564
122,0.06894376129,-0.2761106193
123,0.03809633479,-0.285479635
124,0.007697791327,-0.292367816
125,-0.02204297483,-0.2974411547
126,-0.05078944936,-0.3020390868
127,-0.08056747168,-0.3058065176
128,-0.1112776622,-0.3071194589
129,-0.1413872391,-0.3052821755
130,-0.1697234511,-0.3013843894
131,-0.1965048611,-0.29623124
132,-0.2221209258,-0.2900035977
133,-0.2458122373,-0.2822575867
134,-0.2669404745,-0.2743375897
135,-0.286480099,-0.2673116922
136,-0.305690676,-0.2605514824
137,-0.3246061802,-0.2533352375
138,-0.3427550495,-0.2463532984
139,-0.3611560464,-0.2392928749
140,-0.3802533746,-0.2308215797
141,-0.4001847506,-0.2185919434
142,-0.4200854301,-0.204257533
143,-0.4388685226,-0.1884427965
144,-0.4560748935,-0.171209529
145,-0.4714336991,-0.1541180462
146,-0.4854083061,-0.1371063888
147,-0.4981324077,-0.1210684031
148,-0.5102931261,-0.1064877361
149,-0.5226638317,-0.09276677668
150,-0.5351418257,-0.07911224663
151,-0.5472402573,-0.0654823184
152,-0.5590475202,-0.05232840404
153,-0.5703570843,-0.03860579059
154,-0.5809512734,-0.02464594133
155,-0.590777874,-0.01061275881
156,-0.5999299884,0.003339006333
157,-0.6084873676,0.01772376895
158,-0.6165488362,0.03573416919
159,-0.6237422228,0.05391648412
160,-0.6291240454,0.07318288833
161,-0.6346364021,0.09377260506
162,-0.6396639943,0.113637872
163,-0.6445329785,0.1332439035
164,-0.6493649483,0.1536722034
165,-0.6529901028,0.175585404
166,-0.6549699306,0.1963786632
167,-0.6559938192,0.2163479477
168,-0.6561837792,0.2355159819
169,-0.6566542387,0.254005909
170,-0.657063365,0.2725165784
171,-0.6563193798,0.2921395898
172,-0.6546989679,0.3116317987
173,-0.6521040797,0.3308289349
174,-0.6480648518,0.350448966
