,real,imag
0,-0.939696312,-0.2723958492
1,-0.9423935413,-0.2555347979
2,-0.9456768632,-0.2375845462
3,-0.9487013221,-0.2191097438
4,-0.9519535303,-0.2000949234
5,-0.9548569322,-0.1803714335
6,-0.9571194053,-0.1638916582
7,-0.9591059089,-0.1460536122
8,-0.961176753,-0.1283283383
9,-0.9629895091,-0.1100235283
10,-0.9643901587,-0.09186886996
11,-0.9655023217,-0.07302375138
12,-0.966178,-0.05437250435
13,-0.9664512873,-0.03607816249
14,-0.965960443,-0.01718513109
15,-0.9648953676,0.0007925168029
16,-0.963673532,0.01864529029
17,-0.9620280266,0.03624413908
18,-0.9600598812,0.05358739942
19,-0.957498908,0.07149710506
20,-0.9545952082,0.08922877163
21,-0.9518348575,0.1088897958
22,-0.9490187168,0.1284048706
23,-0.9459156394,0.1484515071
24,-0.9425190687,0.1677839756
25,-0.9390494227,0.1871782094
26,-0.9349543452,0.2060784549
27,-0.9309319854,0.2246241122
28,-0.9263803363,0.242655769
29,-0.921358943,0.2603569031
30,-0.9153317809,0.2786723077
31,-0.9084576964,0.2972966135
32,-0.9012688398,0.3148503304
33,-0.8934379816,0.3325355649
34,-0.8848215938,0.3498359919
35,-0.8760076165,0.3667770624
36,-0.8661132455,0.3837094307
37,-0.8562203646,0.400082022
38,-0.8456063271,0.416220367
39,-0.8346408606,0.4317649305
40,-0.8230921626,0.4473756552
41,-0.8118277192,0.4651961923
42,-0.8001512289,0.4832985103
43,-0.7881637216,0.5011070967
44,-0.7760971189,0.5182086825
45,-0.7637105584,0.5354532599
46,-0.7517917156,0.5508614779
47,-0.7398595214,0.5657470226
48,-0.7279186845,0.5803663731
49,-0.7161485553,0.5949266553
50,-0.7037093043,0.6095975637
51,-0.6898140907,0.6246522069
52,-0.6749158502,0.6391652226
53,-0.6590807438,0.652526021
54,-0.6410921216,0.666585207
55,-0.6231346726,0.6789903641
56,-0.6050226688,0.6903337836
57,-0.5868106484,0.7007266283
58,-0.5676969886,0.7108217478
59,-0.5476045012,0.7214845419
60,-0.5258296132,0.7323764563
61,-0.5046908259,0.7460871339
62,-0.4830895066,0.7596230507
63,-0.4609650671,0.7728336453
64,-0.4389956594,0.7851295471
65,-0.417308569,0.7968551517
66,-0.3962809741,0.8062327504
67,-0.3752115071,0.815307796
68,-0.3528737724,0.8243762851
69,-0.3286965787,0.8328410983
70,-0.3048518896,0.8402177691
71,-0.2800970078,0.8466319442
72,-0.2547937036,0.852113843
73,-0.2286243141,0.8563124537
74,-0.201670289,0.859433651
75,-0.1736164838,0.8617118597
76,-0.1436946392,0.8627123237
77,-0.1123864949,0.8626787663
78,-0.08181679249,0.8605973721
79,-0.05138115212,0.8572590947
80,-0.02142969333,0.8531423807
81,0.00742696831,0.8501091003
82,0.03543078899,0.8468931317
83,0.06292114407,0.8433473706
84,0.09163915366,0.839281261
85,0.1214555353,0.8329725266
86,0.1535530239,0.8240194321
87,0.1854413152,0.8126873374
88,0.216432184,0.7989528775
89,0.2465003282,0.7832959294
90,0.2750681341,0.7660996318
91,0.3030440807,0.7480668426
92,0.3306247592,0.7295320034
93,0.3587675393,0.71023947
94,0.3858534396,0.688256979
95,0.4130499959,0.6643067598
96,0.4399132729,0.6383817196
97,0.4661903381,0.6100944281
98,0.490842402,0.5805927515
99,0.5143398046,0.5492632985
100,0.536835134,0.5168499947
101,0.5562035441,0.4856534004
102,0.5758453012,0.4534755051
103,0.5932876468,0.4200723767
104,0.6089340448,0.3852327168
105,0.6224313378,0.3495486379
106,0.6337957978,0.3127717674
107,0.6431544423,0.2754073739
108,0.6510536671,0.2365753651
109,0.6568616629,0.1968251467
110,0.6601137519,0.1554115117
111,0.661053896,0.1128809005
112,0.6598256826,0.0700744912
113,0.6564332247,0.0265917033
114,0.6509039998,-0.01653428189
115,0.6432016492,-0.06020078436
116,0.6333968043,-0.1035386398
117,0.6212705374,-0.1463057846
118,0.6071366668,-0.1877446175
119,0.59095186,-0.2280699313
120,0.5729339719,-0.2669349611
121,0.5512618423,-0.3030063212
122,0.5270729065,-0.3375972211
123,0.5006909966,-0.370949775
124,0.4722287655,-0.4031425118
125,0.4414646029,-0.4338750839
126,0.4099255204,-0.4623250663
127,0.3766053319,-0.4892231226
128,0.3414689302,-0.5146633387
129,0.3050054312,-0.5378715396
130,0.2673726976,-0.5590296388
131,0.2289840132,-0.578130424
132,0.1902301162,-0.5950348973
133,0.1509157121,-0.6099040508
134,0.1120235622,-0.6225753427
135,0.072897695,-0.6333352327
136,0.03357097134,-0.6415547132
137,-0.005185133778,-0.6475445628
138,-0.04365956038,-0.6516233087
139,-0.08130981028,-0.6530598402
140,-0.1188953891,-0.6528004408
141,-0.1558510959,-0.6483252048
142,-0.1929187179,-0.6425908208
143,-0.2298119664,-0.635338068
144,-0.2667186856,-0.6259783506
145,-0.3033824563,-0.6152721643
146,-0.3394261003,-0.6027835608
147,-0.3747994304,-0.5889900327
148,-0.4089941382,-0.5736292601
149,-0.4416741133,-0.5575430393
150,-0.4729067683,-0.5405440331
151,-0.5026360154,-0.5226439238
152,-0.5301886201,-0.5043024421
153,-0.5565397739,-0.485001415
154,-0.5807120204,-0.4651686549
155,-0.6030860543,-0.4451777339
156,-0.6232073307,-0.4241599143
157,-0.6410059333,-0.4035036862
158,-0.6596457362,-0.3803596199
159,-0.6763964295,-0.3568331599
160,-0.6913841367,-0.3332706392
161,-0.7067062259,-0.3078441918
162,-0.7211608291,-0.2819686234
163,-0.7345196605,-0.2563293576
164,-0.7474659681,-0.230036065
165,-0.7596709132,-0.2036546022
166,-0.7708576322,-0.1778520197
167,-0.7808328271,-0.1525772363
168,-0.7903234959,-0.1271499395
169,-0.7987013459,-0.1017844826
170,-0.8062502146,-0.07596874982
171,-0.8126658797,-0.04990185052
172,-0.8183255196,-0.02405578829
173,-0.8227126002,0.001732036122
174,-0.8258314729,0.02714186162
175,-0.828137815,0.05253489316
176,-0.8289794326,0.07696702331
177,-0.829343915,0.1008414701
178,-0.8282421827,0.123926118
179,-0.8267713785,0.1462952197
180,-0.824516058,0.1671435535
181,-0.8234447837,0.1883320212
182,-0.8218339086,0.2108346373
183,-0.8195041418,0.2328567505
184,-0.8166243434,0.2553183436
185,-0.8129184842,0.278349489
186,-0.8080037832,0.3030319214
187,-0.8016421199,0.327929467
188,-0.7947041988,0.352689296
189,-0.7870416641,0.3769985437
190,-0.7802451849,0.3975108266
191,-0.7726050019,0.4171822369
192,-0.768155396,0.4276328087
193,-0.7597359419,0.4464989603
194,-0.7504960299,0.4649465084
