,real,imag
0,-0.7244823575,-0.597830236
1,-0.732195437,-0.5861716866
2,-0.7407036424,-0.5739372969
3,-0.7496751547,-0.5611352921
4,-0.7593053579,-0.547360599
5,-0.7687844038,-0.5326530933
6,-0.7766224742,-0.5206768513
7,-0.7847275138,-0.5080561042
8,-0.7925649881,-0.4949024022
9,-0.8004305959,-0.4813532531
10,-0.8084139228,-0.4677084684
11,-0.8159945011,-0.453936547
12,-0.8232372999,-0.4398614764
13,-0.8301327825,-0.4260644019
14,-0.8366914392,-0.411875397
15,-0.8423962593,-0.3979718089
16,-0.8480019569,-0.3846479952
17,-0.8533670306,-0.371009618
18,-0.8584502339,-0.3577567935
19,-0.8633887172,-0.3439634144
20,-0.8678382039,-0.3303025663
21,-0.872938633,-0.3147917092
22,-0.8779985309,-0.2992351055
23,-0.8829081655,-0.2835402191
24,-0.8879464865,-0.268119067
25,-0.8924574256,-0.2522681057
26,-0.8970555663,-0.2365997881
27,-0.9013125896,-0.2215728611
28,-0.9050635099,-0.2064869702
29,-0.9086390734,-0.1916901171
30,-0.9119926691,-0.1751471907
31,-0.9146331549,-0.1587359458
32,-0.9168927073,-0.1421235204
33,-0.918253839,-0.1259970963
34,-0.9186621904,-0.1098699197
35,-0.9192381501,-0.09343852103
36,-0.918722868,-0.07706949115
37,-0.9180114269,-0.06120561436
38,-0.916275382,-0.04507449269
39,-0.9143853784,-0.0293066036
40,-0.9113695621,-0.01402880438
41,-0.9089410305,0.002952768235
42,-0.9070891738,0.01980699413
43,-0.905561626,0.03677314892
44,-0.9043217301,0.05391087011
45,-0.9033283591,0.07145149261
46,-0.9023446441,0.08850605786
47,-0.9006122351,0.1060775146
48,-0.8984361291,0.1234318689
49,-0.8955661654,0.1406048387
50,-0.8915519118,0.1579208672
51,-0.8864861727,0.1750493199
52,-0.8807374835,0.1915185452
53,-0.8738431334,0.2072307467
54,-0.8656424284,0.2238188237
55,-0.8568633199,0.2384081334
56,-0.8474312425,0.2514214218
57,-0.8381139636,0.2633901238
58,-0.8282392621,0.2751639187
59,-0.8178744912,0.2876442373
60,-0.8064724803,0.3007765114
61,-0.7973209023,0.3154878914
62,-0.7878462076,0.3306746185
63,-0.7786419392,0.3459905088
64,-0.7695522308,0.3596697152
65,-0.7612112761,0.3726399243
66,-0.7531692982,0.384293437
67,-0.7450128198,0.3961467147
68,-0.7364037037,0.4083511233
69,-0.7264088988,0.4210635126
70,-0.7166787386,0.4326842725
71,-0.7061439157,0.4441716373
72,-0.6953119636,0.4549303353
73,-0.684120357,0.4652711153
74,-0.6729208827,0.4751392901
75,-0.6607251167,0.4855746329
76,-0.6468231678,0.4972518682
77,-0.6312975883,0.5088188648
78,-0.6155619621,0.5179389715
79,-0.6003802419,0.526371479
80,-0.5853016973,0.5349538326
81,-0.5708925128,0.5442937613
82,-0.5572517514,0.5534606576
83,-0.5444799066,0.5624223351
84,-0.5315534472,0.5715085864
85,-0.5172436833,0.5804034472
86,-0.5010196567,0.5897120833
87,-0.4844582379,0.5976976752
88,-0.4678578377,0.6044877768
89,-0.4520181119,0.610611558
90,-0.436645925,0.6165841818
91,-0.42143628,0.6232941747
92,-0.4049662948,0.6309288144
93,-0.3862396777,0.6390746236
94,-0.3659121692,0.6442037821
95,-0.3436810374,0.6482771039
96,-0.3202618361,0.6505817175
97,-0.2964909673,0.6511560082
98,-0.2728427052,0.6502047181
99,-0.2485393137,0.6487926841
100,-0.2240353227,0.6470169425
101,-0.1996753216,0.645822823
102,-0.1743051112,0.6448494196
103,-0.1494259983,0.6418139935
104,-0.1250171959,0.6372849345
105,-0.1007741168,0.6314008832
106,-0.07626388222,0.6234833598
107,-0.05224298686,0.6125186682
108,-0.02985127456,0.5992990732
109,-0.008908179589,0.584682703
110,0.01106039807,0.5691897869
111,0.03198650852,0.5532989502
112,0.05408307537,0.5350552797
113,0.07608168572,0.5135577917
114,0.09708109498,0.4892088771
115,0.1174961999,0.4619522989
116,0.1359737217,0.4314251542
117,0.1514842808,0.3978194594
118,0.1622987092,0.362814486
119,0.168657735,0.3277672827
120,0.1713579297,0.2938630283
121,0.1701870859,0.2631975412
122,0.1666865051,0.2324209064
123,0.1591101885,0.2017163783
124,0.1473783553,0.1732541025
125,0.1335343421,0.1481720954
126,0.1189455092,0.1258590817
127,0.1036807597,0.1041187868
128,0.08644291013,0.08383176476
129,0.06743632257,0.06601388007
130,0.04772400483,0.05138633773
131,0.02833460458,0.0398116298
132,0.01016787067,0.03097506799
133,-0.005523888394,0.02425126359
134,-0.01890113391,0.01792402379
135,-0.03046603315,0.01145413984
136,-0.04023408145,0.004710340872
137,-0.0482731387,-0.004079883453
138,-0.05701716617,-0.01543726679
139,-0.06807421893,-0.02769188397
140,-0.08145121485,-0.03922603279
141,-0.09697061032,-0.04710258171
142,-0.1137286648,-0.05347656831
143,-0.1314429194,-0.0585668087
144,-0.1497925669,-0.06217680499
145,-0.1683500707,-0.06493706256
146,-0.1869869381,-0.06658501178
147,-0.2054550946,-0.06765227765
148,-0.2235409766,-0.06813076138
149,-0.241503492,-0.0683856383
150,-0.2587080598,-0.06838490814
151,-0.2754585743,-0.06885610521
152,-0.2925112844,-0.07006103545
153,-0.3107857108,-0.07122857869
154,-0.3302977979,-0.07124273479
155,-0.3504705727,-0.06944006681
156,-0.3703928888,-0.06468589604
157,-0.3883809745,-0.05779111013
158,-0.4041436613,-0.04782161117
159,-0.4171946943,-0.03869829327
160,-0.4298398793,-0.03164636716
161,-0.4462701082,-0.02368734777
162,-0.4653238654,-0.01441353001
163,-0.4859774113,-0.001432930934
164,-0.5055565238,0.01526975073
165,-0.5222650766,0.03477006406
166,-0.5361210108,0.05368899927
167,-0.5486027598,0.07170151174
168,-0.5614861846,0.0891591683
169,-0.5743808746,0.1084390804
170,-0.5857803226,0.1297106594
171,-0.5942977071,0.1521079838
172,-0.6010251045,0.1744278967
173,-0.6062044501,0.1965897977
174,-0.6093951464,0.2188469172
175,-0.6112410426,0.2404286265
176,-0.6118662357,0.2617757022
177,-0.6106875539,0.2828170061
178,-0.6076283455,0.3028549254
179,-0.6035393476,0.3208403885
180,-0.5993834138,0.3367826939
181,-0.5973783135,0.3527004421
182,-0.5953674316,0.369951576
183,-0.592941165,0.3874457777
184,-0.589527607,0.4051019251
185,-0.5847067237,0.4235605001
186,-0.5783252716,0.4426375329
187,-0.5708158016,0.4619030952
188,-0.5624923706,0.4808327258
189,-0.5534561276,0.4997378588
190,-0.5448992252,0.5157358646
191,-0.5358241796,0.5302398801
192,-0.5311471224,0.53750664
193,-0.521640718,0.5504778624
194,-0.5118828416,0.5630956292
195,-0.5016267896,0.5756759644
196,-0.4912221134,0.5876995325
197,-0.4800174236,0.599863708
198,-0.4683479369,0.6119872928
199,-0.4561408758,0.6234264374
200,-0.4430762529,0.6338251233
