,chan1
0,-0.04980212037
1,-0.06219267922
2,-0.07403144805
3,-0.08426618371
4,-0.09446896788
5,-0.1035329187
6,-0.1081569857
7,-0.1132227619
8,-0.1163550284
9,-0.1182485128
10,-0.1213407989
11,-0.1223193876
12,-0.123610174
13,-0.1234849844
14,-0.1273605023
15,-0.1290913597
16,-0.1304693056
17,-0.1342662506
18,-0.1353276338
19,-0.1377695147
20,-0.1421430363
21,-0.1502622793
22,-0.1627528162
23,-0.1704452479
24,-0.174512085
25,-0.1776845691
26,-0.1754384893
27,-0.1748822029
28,-0.1741653823
29,-0.169503754
30,-0.1672911412
31,-0.1672006412
32,-0.167833479
33,-0.1678994225
34,-0.1717858225
35,-0.1743773859
36,-0.1809310555
37,-0.185126916
38,-0.1950969041
39,-0.2068596474
40,-0.221373202
41,-0.2366232952
42,-0.2498190586
43,-0.2607533148
44,-0.2656189059
45,-0.2706689503
46,-0.2698903326
47,-0.2680466835
48,-0.2623993262
49,-0.2540311649
50,-0.2457947891
51,-0.2347122237
52,-0.2276670573
53,-0.225525549
54,-0.2232121322
55,-0.2279446117
56,-0.23824869
57,-0.2531646027
58,-0.2682037021
59,-0.2919766636
60,-0.3171461792
61,-0.3341242983
62,-0.3453184928
63,-0.3520038204
64,-0.3542414672
65,-0.3531725882
66,-0.3504593528
67,-0.347017321
68,-0.340870739
69,-0.3360367871
70,-0.3261218103
71,-0.3210089435
72,-0.3160060384
73,-0.3128323233
74,-0.3104967171
75,-0.3158579183
76,-0.3216399216
77,-0.3328941247
78,-0.3556469367
79,-0.379739364
80,-0.4036209357
81,-0.4237146378
82,-0.4277303064
83,-0.4252029942
84,-0.4166287619
85,-0.4129244759
86,-0.4134128902
87,-0.4224522808
88,-0.4331847357
89,-0.442374564
90,-0.4478848741
91,-0.4414914512
92,-0.4270010354
93,-0.4053053004
94,-0.4033111416
95,-0.4126330074
96,-0.4358030491
97,-0.4686926256
98,-0.5108401261
99,-0.5584493911
100,-0.6114989528
101,-0.6501387223
102,-0.6645591056
103,-0.6794513066
104,-0.6923130364
105,-0.7063232784
106,-0.7160586892
107,-0.7299094206
108,-0.741531968
109,-0.7589005407
110,-0.7877349816
111,-0.8202950143
112,-0.8617519467
113,-0.9064024612
114,-0.9599997728
115,-1.015628983
116,-1.076738076
117,-1.147463987
118,-1.223008669
119,-1.302173579
120,-1.385583611
121,-1.453628409
122,-1.523639616
123,-1.60562146
124,-1.692131798
125,-1.791560001
126,-1.892491102
127,-2.006520039
128,-2.134232967
129,-2.279714138
130,-2.441752005
131,-2.62120071
132,-2.82361126
133,-3.0519554
134,-3.310554438
135,-3.598737968
136,-3.925077008
137,-4.28359813
138,-4.676337092
139,-5.112085966
140,-5.590124873
141,-6.089915247
142,-6.637040006
143,-7.247814752
144,-7.931283031
145,-8.677191046
146,-9.469194295
147,-10.26726067
148,-11.0029454
149,-11.56113407
150,-11.82907669
151,-11.73113178
152,-11.3001801
153,-10.64415032
154,-9.891378557
155,-9.130400154
156,-8.425173405
157,-7.692928131
158,-7.038399903
159,-6.471548768
160,-5.968205839
161,-5.518822488
162,-5.105794791
163,-4.728570845
164,-4.388030436
165,-4.073153378
166,-3.786971218
167,-3.528416852
168,-3.291842475
169,-3.075545488
170,-2.879226832
171,-2.70336522
172,-2.545172066
173,-2.405177354
174,-2.276794382
175,-2.162518917
176,-2.064441477
177,-1.977077526
178,-1.899560563
179,-1.831125473
180,-1.770383198
181,-1.694820832
182,-1.622324718
183,-1.55333005
184,-1.490110221
185,-1.429072509
186,-1.369254773
187,-1.314168699
188,-1.261019504
189,-1.21258803
190,-1.167840005
191,-1.130718875
192,-1.109339606
193,-1.080237088
194,-1.054056595
195,-1.03313308
196,-1.013614325
197,-0.9993651206
198,-0.9830168992
199,-0.9685629739
200,-0.9535199857
