,real,imag
0,-0.3916109204,-0.85914886
1,-0.403953284,-0.8512864113
2,-0.4171596169,-0.8434278965
3,-0.4305622876,-0.8351407051
4,-0.4444744587,-0.8260329962
5,-0.4590237439,-0.8166732192
6,-0.4706173539,-0.8089607954
7,-0.48288697,-0.8007708788
8,-0.4954031706,-0.7921458483
9,-0.5080851912,-0.7829891443
10,-0.5204132795,-0.7738139033
11,-0.5327785611,-0.7643030286
12,-0.5451794863,-0.7547753453
13,-0.5571441054,-0.7451514006
14,-0.5687540174,-0.735231936
15,-0.5804124475,-0.7252771258
16,-0.5910776258,-0.7153209448
17,-0.6017554402,-0.7057592273
18,-0.6121490598,-0.6955572367
19,-0.6223466396,-0.6851973534
20,-0.6323025227,-0.6748001575
21,-0.6423532367,-0.6629056931
22,-0.6521472335,-0.6508105397
23,-0.6619499922,-0.6387920976
24,-0.6718299985,-0.6267366409
25,-0.6817634106,-0.6147841811
26,-0.6915146112,-0.6029584408
27,-0.7008300424,-0.5911812782
28,-0.7098326683,-0.5793755651
29,-0.7185346484,-0.5683302879
30,-0.7276719809,-0.5554397106
31,-0.7365612388,-0.5428017974
32,-0.7448866367,-0.5296055675
33,-0.7524586916,-0.516874671
34,-0.7598962784,-0.5037565231
35,-0.7667620182,-0.4906592667
36,-0.7731062174,-0.4772813916
37,-0.7788063884,-0.4640960097
38,-0.7840527296,-0.4506474733
39,-0.7886096239,-0.4374684989
40,-0.7926049232,-0.4246064425
41,-0.7966421843,-0.4101103544
42,-0.8007637262,-0.3956930935
43,-0.8053674698,-0.3812292814
44,-0.8099606037,-0.3663324714
45,-0.8149136901,-0.3514826
46,-0.8192647696,-0.3377330005
47,-0.8237603307,-0.3238875866
48,-0.8279784322,-0.3102733195
49,-0.8319423795,-0.2969112992
50,-0.8361667395,-0.2834203541
51,-0.8401308656,-0.2695718408
52,-0.8434243202,-0.2555355132
53,-0.8457194567,-0.2417293489
54,-0.8480085731,-0.2265569568
55,-0.8488841057,-0.2124971151
56,-0.8487705588,-0.1991699487
57,-0.8478881717,-0.1867040396
58,-0.8466311693,-0.1739119142
59,-0.8447166085,-0.1600648761
60,-0.8424142599,-0.1453075409
61,-0.8412129283,-0.1294902563
62,-0.8400216103,-0.1130688787
63,-0.8387285471,-0.09723122418
64,-0.8374278545,-0.08235297352
65,-0.8360207081,-0.06880299747
66,-0.8344165087,-0.05609744042
67,-0.832768321,-0.04363107681
68,-0.8310055137,-0.03044988215
69,-0.8290611506,-0.0165548604
70,-0.8270437121,-0.00379217416
71,-0.8244459033,0.009220935404
72,-0.8217658401,0.02226496488
73,-0.8186824322,0.03514673561
74,-0.8146852255,0.04850120097
75,-0.8097861409,0.06269157678
76,-0.8039538264,0.07776068151
77,-0.7969354987,0.09361232817
78,-0.7887583971,0.1076005772
79,-0.780002296,0.1206893697
80,-0.7710874081,0.1332857907
81,-0.7615879178,0.1461512446
82,-0.7535162568,0.1584205478
