,real,imag
0,-0.4517647028,-0.8428717852
1,-0.4638252854,-0.8338341117
2,-0.4763406217,-0.8247550726
3,-0.4897617698,-0.8145006895
4,-0.5029852986,-0.8043338656
5,-0.5168203115,-0.7932984829
6,-0.5277967453,-0.7846149802
7,-0.5398440957,-0.7752926946
8,-0.5522233248,-0.765560329
9,-0.5644254088,-0.7553588748
10,-0.5768966675,-0.744715035
11,-0.5891649723,-0.733659327
12,-0.6014002562,-0.7221765518
13,-0.6131219864,-0.7109282017
14,-0.6244111657,-0.6987332106
15,-0.6351739168,-0.6867412329
16,-0.6453124881,-0.6747002602
17,-0.6550439596,-0.6626178026
18,-0.6644775867,-0.6506063938
19,-0.6735126972,-0.6380673051
20,-0.682431519,-0.6254004836
21,-0.6911132336,-0.6112772226
22,-0.6996120214,-0.5971307158
23,-0.708401978,-0.5828624964
24,-0.7168571949,-0.5685893297
25,-0.7252482176,-0.5544130802
26,-0.7332978845,-0.5403667092
27,-0.7412577271,-0.5266602039
28,-0.7486367226,-0.5128633976
29,-0.7557643056,-0.4990417659
30,-0.763132751,-0.4839647412
31,-0.7698097229,-0.4688721299
32,-0.7761026025,-0.4536634386
33,-0.7816379666,-0.4383894503
34,-0.7866311073,-0.4232838154
35,-0.791187644,-0.4079506695
36,-0.7948607206,-0.3923657238
37,-0.7978563905,-0.3766958714
38,-0.8003041148,-0.360814929
39,-0.8015646338,-0.3455765545
40,-0.802076757,-0.3302942812
41,-0.8025070429,-0.3140950501
42,-0.8027971387,-0.2977485955
43,-0.8032206297,-0.2816748917
44,-0.8038524985,-0.2656719685
45,-0.804715693,-0.2497364581
46,-0.8049992323,-0.2349543273
47,-0.8054035902,-0.2204231173
48,-0.8053284287,-0.206381321
49,-0.8053575158,-0.192409426
50,-0.805090189,-0.1784436107
51,-0.8045721054,-0.1643067896
52,-0.8033022285,-0.1501651257
53,-0.8009889722,-0.1358760595
54,-0.7981286049,-0.1209343821
55,-0.7937910557,-0.1072161794
56,-0.7882301807,-0.09442741424
57,-0.7818061709,-0.08231335878
58,-0.7742727995,-0.07092233747
59,-0.7659315467,-0.05906900764
60,-0.7571994066,-0.04703083634
61,-0.7496138215,-0.03405793011
62,-0.7419298887,-0.02109313756
63,-0.734354198,-0.008987023495
64,-0.7271977663,0.001562986639
65,-0.720066309,0.01024023816
66,-0.713246882,0.01801900379
67,-0.7068743706,0.02517627366
68,-0.7006295323,0.03299357742
69,-0.6939178109,0.04122632369
70,-0.6873679161,0.04873229936
71,-0.6801863313,0.05602066591
72,-0.6727058291,0.06283773482
73,-0.6649284959,0.06922233105
74,-0.6563494802,0.07523039728
75,-0.6473087668,0.08162581176
76,-0.6371572018,0.08787808567
77,-0.626542747,0.09401477128
78,-0.6156902909,0.09820128977
79,-0.6043816209,0.1016554609
80,-0.5929615498,0.1039127782
81,-0.5826476812,0.1060374379
82,-0.5735254288,0.107674472
83,-0.5651887059,0.1084207445
84,-0.5572113395,0.1083968058
85,-0.549095571,0.1083557233
86,-0.5409480929,0.10850209
87,-0.5329684019,0.1075861827
88,-0.5256282687,0.1051347554
89,-0.5188009143,0.1016636565
90,-0.5126536489,0.09651323408
91,-0.508302331,0.09055089206
92,-0.5054965615,0.08434954286
93,-0.5041431785,0.0786274299
94,-0.5019882321,0.07238945365
95,-0.500218451,0.06644705683
96,-0.4987506568,0.06062806398
97,-0.4980475605,0.05508918315
98,-0.4974940717,0.0500723049
99,-0.4970698953,0.04580825195
100,-0.4968425035,0.04188435525
101,-0.4974397421,0.0395045653
102,-0.4996744096,0.0383355245
103,-0.5028194189,0.03708468378
104,-0.5068532825,0.0360785462
105,-0.5114170909,0.03502465039
106,-0.5167739391,0.03410747647
107,-0.5225337148,0.03304036334
108,-0.5289462209,0.03256748989
109,-0.5353758931,0.03226858005
110,-0.5412618518,0.0323304981
111,-0.5469081402,0.03218281642
112,-0.5529042482,0.03180067614
113,-0.5591785312,0.03155164048
114,-0.5659345388,0.03179497272
115,-0.5728907585,0.03295825422
116,-0.5792073011,0.03492727876
117,-0.5850779414,0.03772573918
118,-0.5902562737,0.04035172611
119,-0.5952120423,0.04333523288
120,-0.5998603106,0.0466692932
121,-0.6061862111,0.05192365497
122,-0.613216579,0.05803303793
123,-0.6203124523,0.06542526931
124,-0.6270373464,0.073487252
125,-0.6325159669,0.08185273409
126,-0.638485074,0.08909738809
127,-0.6440087557,0.09646782279
128,-0.6492419243,0.1041261479
129,-0.6544299126,0.1117888018
130,-0.6593651175,0.1196845397
131,-0.6641502976,0.1278812736
132,-0.6684415936,0.136018455
133,-0.6727989316,0.1443278641
134,-0.6771758795,0.151653558
135,-0.6814790368,0.1595273912
136,-0.6852915287,0.1682686508
137,-0.6885173321,0.1773567647
138,-0.6909716129,0.1868146509
139,-0.6927437782,0.1965593994
140,-0.6933639646,0.2061647922
141,-0.6944141984,0.2181542069
142,-0.6966817379,0.2298530936
143,-0.6988241076,0.2418742627
144,-0.7007586956,0.2545496821
145,-0.7021237016,0.2674172521
146,-0.7031838298,0.2801998556
147,-0.7038688064,0.2929379046
148,-0.7040072083,0.3048334718
149,-0.7036325932,0.3165803254
150,-0.7033653259,0.3274074793
151,-0.7023258805,0.3377248943
152,-0.7009911537,0.3476665914
153,-0.6992240548,0.3573154509
154,-0.6970521808,0.3660266995
155,-0.694799602,0.3739572763
156,-0.6924135685,0.3818054795
157,-0.6897270679,0.3894965351
158,-0.6853518486,0.4000092149
159,-0.6811504364,0.4102624059
160,-0.6764265895,0.420342803
161,-0.673166275,0.4312937856
162,-0.6695950031,0.4428611994
163,-0.666782856,0.4535485208
164,-0.663513124,0.4650048912
165,-0.6601648331,0.4765298367
166,-0.6567738652,0.4877495766
167,-0.6533162594,0.4991136789
168,-0.64961344,0.510224998
169,-0.6450883746,0.5216420293
170,-0.6393909454,0.5331428051
171,-0.6333328485,0.5446051955
172,-0.6263744831,0.5561950803
173,-0.6195403934,0.5668076277
174,-0.6116235256,0.5777531862
175,-0.6037567258,0.5878208876
176,-0.5952507257,0.5975574255
177,-0.5868309736,0.6067303419
178,-0.5782999396,0.6148907542
179,-0.5704900622,0.6221961975
180,-0.5633183122,0.6284981966
181,-0.5582891703,0.6362244487
182,-0.5522212982,0.6447312236
183,-0.5462418795,0.6535356641
184,-0.5400590301,0.6618177891
185,-0.5321608186,0.6715471745
186,-0.5231755972,0.6821090579
187,-0.5130905509,0.6930034161
188,-0.5019852519,0.7039499283
189,-0.4907585084,0.7144244909
190,-0.4819221795,0.7227566242
191,-0.4733408689,0.730425179
