,real,imag
0,-0.4272301793,-0.889231503
1,-0.4398934543,-0.8816025257
2,-0.4530596137,-0.8733252287
3,-0.4669086039,-0.8645821214
4,-0.4810587466,-0.8555487394
5,-0.4956704676,-0.8461894989
6,-0.5076904297,-0.838419497
7,-0.5202866197,-0.8303853273
8,-0.5333675146,-0.8217458725
9,-0.5464193821,-0.8128806353
10,-0.5597013831,-0.8037602901
11,-0.5727450252,-0.7940976024
12,-0.5858368278,-0.784431994
13,-0.59869802,-0.7746306658
14,-0.6109591126,-0.76444906
15,-0.6229147911,-0.7542222738
16,-0.6345555186,-0.7440773845
17,-0.6457485557,-0.7339425683
18,-0.6566243768,-0.7236579657
19,-0.6676783562,-0.7132499814
20,-0.6784004569,-0.7021926641
21,-0.6893186569,-0.6897163987
22,-0.6994717121,-0.6773467064
23,-0.7100328207,-0.6645159125
24,-0.7207170725,-0.6522549391
25,-0.7310643792,-0.6400132775
26,-0.7412531376,-0.627604723
27,-0.7514730096,-0.6154581308
28,-0.7612966299,-0.6037066579
29,-0.770100832,-0.5917336345
30,-0.7801761031,-0.5785479546
31,-0.7898442149,-0.5655930638
32,-0.798900485,-0.5521097779
33,-0.8076959252,-0.5385534763
34,-0.8154839277,-0.5249494314
35,-0.8233167529,-0.5111833215
36,-0.830335021,-0.4975797832
37,-0.8370156884,-0.483725071
38,-0.8436864018,-0.4698690474
39,-0.8495056629,-0.4558124244
40,-0.854654789,-0.4421002269
41,-0.8598994017,-0.4268774092
42,-0.8655532002,-0.4114100039
43,-0.8714691997,-0.3957336843
44,-0.8773943782,-0.3796186149
45,-0.883359611,-0.3634541333
46,-0.8885190487,-0.3483542502
47,-0.893887043,-0.3331917822
48,-0.8990594149,-0.3186703622
49,-0.9042681456,-0.3042471409
50,-0.9092489481,-0.2894760072
51,-0.9141261578,-0.2742955983
52,-0.9181553721,-0.2593345642
53,-0.9216585159,-0.2442624271
54,-0.9250577092,-0.2279328406
55,-0.9269804955,-0.212489903
56,-0.9278918505,-0.1981613338
57,-0.9279515743,-0.184542045
58,-0.9273616076,-0.1708827317
59,-0.9266822338,-0.1562087983
60,-0.9254851341,-0.1403898448
61,-0.9253255725,-0.1236814782
62,-0.925495863,-0.1063588485
63,-0.9260685444,-0.08951916546
64,-0.9265536666,-0.07337099314
65,-0.926846683,-0.05860609934
66,-0.9272288084,-0.04462943599
67,-0.9271171689,-0.03074986488
68,-0.9266928434,-0.01619584858
69,-0.9257574677,-0.001349552767
70,-0.9252392054,0.01314577367
71,-0.9247607589,0.02722400241
72,-0.9233627915,0.04148999974
73,-0.9217759371,0.05580355972
74,-0.9195564985,0.07063019276
75,-0.9164597392,0.0863410756
76,-0.91286093,0.1030540094
77,-0.9078025222,0.1210607886
78,-0.9017313719,0.1370703578
79,-0.8950154781,0.1526358426
80,-0.8885367513,0.1675485075
81,-0.8820735812,0.1832654327
82,-0.8765023351,0.1985095739
83,-0.8721174002,0.2133946419
84,-0.8669419289,0.2286227345
85,-0.8609169722,0.2440389991
86,-0.8535176516,0.2613820732
87,-0.8458852172,0.2782669961
88,-0.8373227119,0.2937004268
89,-0.8288456798,0.3089491129
90,-0.8201167583,0.3236033022
91,-0.8118764162,0.3379395306
92,-0.8033607602,0.3530340195
93,-0.7945460081,0.3691608906
94,-0.7832019329,0.3838591278
95,-0.769729495,0.3991349936
96,-0.7538233995,0.41413939
97,-0.7360864878,0.4278448522
98,-0.7168796659,0.4396893382
99,-0.6968073249,0.4504333735
100,-0.6766166091,0.45993945
101,-0.6572852135,0.469968617
102,-0.6387745738,0.4813119471
103,-0.6200125217,0.491897732
104,-0.6009981632,0.5007192492
105,-0.5828356147,0.5081880093
106,-0.5653616786,0.5147984624
107,-0.547775507,0.5210497975
108,-0.5292004943,0.5260577798
109,-0.510632813,0.5296598673
110,-0.4916706979,0.5318526626
111,-0.4726483524,0.5337123871
112,-0.4523925781,0.5350785851
