,chan1
0,-0.7500553797
1,-0.7688702478
2,-0.7839083659
3,-0.7915510999
4,-0.8006705282
5,-0.8074427731
6,-0.8084925815
7,-0.8096274007
8,-0.8132652749
9,-0.8161661601
10,-0.822073818
11,-0.8271096266
12,-0.8361589192
13,-0.8446040519
14,-0.8530099634
15,-0.8607373207
16,-0.8662939122
17,-0.8727966838
18,-0.8813948296
19,-0.892569728
20,-0.9046879921
21,-0.9139122047
22,-0.9186507617
23,-0.9243039456
24,-0.9238947162
25,-0.921091892
26,-0.9160697511
27,-0.9117085251
28,-0.9100012506
29,-0.9073966897
30,-0.9103132243
31,-0.918169225
32,-0.9286682029
33,-0.9466510648
34,-0.9661969291
35,-0.9889082306
36,-1.015618421
37,-1.040867943
38,-1.068849469
39,-1.098609941
40,-1.130399858
41,-1.150048766
42,-1.164338345
43,-1.170655496
44,-1.173295837
45,-1.173693096
46,-1.177138016
47,-1.18317436
48,-1.193161342
49,-1.207185356
50,-1.226483803
51,-1.255448261
52,-1.292157739
53,-1.343725463
54,-1.39982018
55,-1.466729117
56,-1.539849376
57,-1.617441627
58,-1.697577605
59,-1.777833429
60,-1.857339268
61,-1.908898183
62,-1.952013593
63,-1.9914124
64,-2.02606692
65,-2.068096957
66,-2.110406468
67,-2.152992508
68,-2.199322256
69,-2.252965958
70,-2.304152178
71,-2.356996621
72,-2.41083659
73,-2.460345367
74,-2.510378285
75,-2.566841152
76,-2.626942032
77,-2.692465755
78,-2.761344565
79,-2.821141476
80,-2.878676528
81,-2.914752308
82,-2.945816061
83,-2.975056847
84,-3.016531363
85,-3.070365264
86,-3.128722129
87,-3.190796725
88,-3.257067853
89,-3.336346951
90,-3.428548094
91,-3.523763128
92,-3.61631893
93,-3.705320831
94,-3.822162757
95,-3.956990818
96,-4.112562848
97,-4.286465397
98,-4.480074811
99,-4.679851128
100,-4.873944347
101,-5.037725158
102,-5.190410818
103,-5.36220208
104,-5.556448378
105,-5.772345789
106,-5.977757558
107,-6.210053343
108,-6.464876627
109,-6.751579536
110,-7.072564203
111,-7.39409328
112,-7.731180735
113,-8.09540249
114,-8.465964541
115,-8.848092684
116,-9.219499391
117,-9.590510509
118,-9.973664474
119,-10.37748481
120,-10.78920873
121,-11.25676915
122,-11.73209598
123,-12.22513302
124,-12.75042662
125,-13.27873299
126,-13.74466731
127,-14.09484678
128,-14.36535613
129,-14.56844016
130,-14.67274633
131,-14.68020597
132,-14.60475834
133,-14.50419412
134,-14.36994587
135,-14.11191908
136,-13.73548583
137,-13.30308209
138,-12.80299233
139,-12.27814759
140,-11.78569665
141,-11.39618079
142,-11.02690523
143,-10.66672449
144,-10.31972149
145,-9.98665492
146,-9.677070232
147,-9.400559802
148,-9.138742927
149,-8.862409252
150,-8.588472017
151,-8.322517883
152,-8.058248465
153,-7.789120298
154,-7.546458341
155,-7.311693753
156,-7.073938601
157,-6.829762799
158,-6.580503138
159,-6.338988809
160,-6.124326642
161,-5.912465047
162,-5.705776036
163,-5.498262671
164,-5.288670267
165,-5.092977219
166,-4.926138583
167,-4.78162516
168,-4.643943252
169,-4.499122534
170,-4.348952356
171,-4.210565234
172,-4.087620026
173,-3.980168147
174,-3.879682201
175,-3.780311779
176,-3.681968588
177,-3.596352805
178,-3.526210034
179,-3.472894425
180,-3.426151657
181,-3.352379887
182,-3.271768134
183,-3.187436866
184,-3.105214812
185,-3.022468253
186,-2.940003988
187,-2.861305483
188,-2.787723379
189,-2.72250547
190,-2.666812646
191,-2.621636654
192,-2.594312232
193,-2.553933408
194,-2.515389783
195,-2.482043013
196,-2.453940644
197,-2.423115762
198,-2.391486106
199,-2.358585199
200,-2.327476185
