,real,imag
0,-0.9300711751,-0.3011983037
1,-0.9336023331,-0.2847560942
2,-0.9373834133,-0.2678554952
3,-0.9412955046,-0.2497694641
4,-0.9449267983,-0.2314746529
5,-0.9485475421,-0.212297231
6,-0.9514679313,-0.1965421885
7,-0.9544723034,-0.1796864867
8,-0.9569751024,-0.1623226702
9,-0.9595517516,-0.1448234618
10,-0.961777389,-0.1268465668
11,-0.9638233781,-0.1088952422
12,-0.9650373459,-0.09073770791
13,-0.9660542011,-0.07294044644
14,-0.9663081765,-0.05455621332
15,-0.9662570953,-0.03745156154
16,-0.9657667279,-0.01998234913
17,-0.9648108482,-0.003214607481
18,-0.9636880159,0.0138165392
19,-0.962050736,0.03087161109
20,-0.9600448608,0.048116602
21,-0.9582403898,0.0671043545
22,-0.9565367699,0.08593160659
23,-0.9544529319,0.1049729586
24,-0.952240169,0.123810254
25,-0.9498617053,0.1423128843
26,-0.9472197294,0.1608058661
27,-0.9445761442,0.1787453294
28,-0.9408810735,0.1960516125
29,-0.9371762276,0.2129334062
30,-0.9327324033,0.2309756577
31,-0.9276511073,0.2485347688
32,-0.9219636917,0.2660413384
33,-0.915738821,0.2829451561
34,-0.908772409,0.2999494672
35,-0.9015352726,0.3159897029
36,-0.8938395977,0.3322949708
37,-0.8855615258,0.3483883142
38,-0.8769438863,0.3642120361
39,-0.8678333163,0.3794081807
40,-0.8587685227,0.3946329951
41,-0.8493121862,0.4118960202
42,-0.8402429819,0.4295625389
43,-0.8306412101,0.4471006095
44,-0.8213227987,0.4643191099
45,-0.8116286397,0.4813519716
46,-0.8020934463,0.496889025
47,-0.7925673723,0.5123553276
48,-0.7832070589,0.5271237493
49,-0.773858428,0.541651845
50,-0.7638942003,0.5566433668
51,-0.7528749108,0.5716828108
52,-0.7407817841,0.5865646005
53,-0.727670908,0.6003218293
54,-0.7132097483,0.6149142981
55,-0.698115766,0.6279617548
56,-0.6833839417,0.6398525834
57,-0.6683276296,0.6509581208
58,-0.6525247693,0.6621291041
59,-0.6361888647,0.6735796928
60,-0.6179667711,0.6859006286
61,-0.6011294723,0.7009550333
62,-0.5831752419,0.7163144946
63,-0.5652450919,0.7313289642
64,-0.5475546718,0.745549798
65,-0.5308016539,0.7587224245
66,-0.514103055,0.7710821033
67,-0.4969632626,0.7827920318
68,-0.4788089693,0.7947854996
69,-0.4592216611,0.8062765002
70,-0.4398920536,0.8169101477
