,chan1
0,-1.020004654
1,-1.05570971
2,-1.084777127
3,-1.11674309
4,-1.148504043
5,-1.177975005
6,-1.205557069
7,-1.22687496
8,-1.247893588
9,-1.268974298
10,-1.294264586
11,-1.324906592
12,-1.359061088
13,-1.3942213
14,-1.438157764
15,-1.481516373
16,-1.529650548
17,-1.578600055
18,-1.629974713
19,-1.683832481
20,-1.738991071
21,-1.784802534
22,-1.829235189
23,-1.873442208
24,-1.918032812
25,-1.965755047
26,-2.011015402
27,-2.060482147
28,-2.110641271
29,-2.168113966
30,-2.229084403
31,-2.294664824
32,-2.366241883
33,-2.443060436
34,-2.525695425
35,-2.613915092
36,-2.71442258
37,-2.822498017
38,-2.938276019
39,-3.068496923
40,-3.202260885
41,-3.327378597
42,-3.452395017
43,-3.579241599
44,-3.703500437
45,-3.822119281
46,-3.935530927
47,-4.041294727
48,-4.14109983
49,-4.239027978
50,-4.35015264
51,-4.474946931
52,-4.617802459
53,-4.779719155
54,-4.964423286
55,-5.176007348
56,-5.414849285
57,-5.673371117
58,-5.94094117
59,-6.216715892
60,-6.50207525
61,-6.759860957
62,-7.023488069
63,-7.304194722
64,-7.593137146
65,-7.872248958
66,-8.157357755
67,-8.456486308
68,-8.77963305
69,-9.115055219
70,-9.466133681
71,-9.84756249
72,-10.26263047
73,-10.71467772
74,-11.20451509
75,-11.73036144
76,-12.31311744
77,-12.96322641
78,-13.67378161
79,-14.44251968
80,-15.2493156
81,-16.01947468
82,-16.84367007
83,-17.77209747
84,-18.86935166
85,-20.17156668
86,-21.78227776
87,-23.8783102
88,-26.69969989
89,-30.93644754
90,-39.5836825
91,-39.20198313
92,-30.57471903
93,-26.2267684
94,-23.30931263
95,-21.13366574
96,-19.46824255
97,-18.16699087
98,-17.10448433
99,-16.20126213
100,-15.41660714
101,-14.75148666
102,-14.12476455
103,-13.54805385
104,-12.99866961
105,-12.47503687
106,-11.97678966
107,-11.50375453
108,-11.05335843
109,-10.63462136
110,-10.25899796
111,-9.919558075
112,-9.595513945
113,-9.281259143
114,-8.971643583
115,-8.683284385
116,-8.405136321
117,-8.143879563
118,-7.904116149
119,-7.687158997
120,-7.494525148
121,-7.293403972
122,-7.099385015
123,-6.914981074
124,-6.737654284
125,-6.571250841
126,-6.408388222
127,-6.251187587
128,-6.098073991
129,-5.952984384
130,-5.812847051
131,-5.677125653
132,-5.545082456
133,-5.419863357
134,-5.299750799
135,-5.184646043
136,-5.073080391
137,-4.964684139
138,-4.865899085
139,-4.77841036
140,-4.704640367
141,-4.612219746
142,-4.501458568
143,-4.389065465
144,-4.281981394
145,-4.181353391
146,-4.087084142
147,-3.996954079
148,-3.911671887
149,-3.832022648
150,-3.758252226
151,-3.693021022
152,-3.635907814
153,-3.584297647
154,-3.536065514
155,-3.491204456
156,-3.44415717
157,-3.395539395
158,-3.345131604
159,-3.305393763
160,-3.268386649
161,-3.20664088
162,-3.136590391
163,-3.066935746
164,-2.99467139
165,-2.921957946
166,-2.856825489
167,-2.796310818
168,-2.741711796
169,-2.691489207
170,-2.649217152
171,-2.608671249
172,-2.569262895
173,-2.530593672
174,-2.491426141
175,-2.458536877
176,-2.426431231
177,-2.402072388
178,-2.378629297
179,-2.356639444
180,-2.33267827
181,-2.283764784
182,-2.23808086
183,-2.18885156
184,-2.146989794
185,-2.102884715
186,-2.06025526
187,-2.021657995
188,-1.978481221
189,-1.943611009
190,-1.9153998
191,-1.898954373
192,-1.894572846
193,-1.875857854
194,-1.859888567
195,-1.842683841
196,-1.831674372
197,-1.825472356
198,-1.813463022
199,-1.803513871
200,-1.789605471
