,chan1
0,-0.7093380631
1,-0.7385672744
2,-0.7697194254
3,-0.7967316825
4,-0.8247440823
5,-0.8528225201
6,-0.8742203512
7,-0.8957182151
8,-0.9175793085
9,-0.9389058321
10,-0.960496045
11,-0.9834060597
12,-1.012012214
13,-1.041612601
14,-1.075852777
15,-1.111428209
16,-1.147048193
17,-1.185193445
18,-1.223824267
19,-1.265711142
20,-1.308199851
21,-1.347047506
22,-1.389690814
23,-1.430110701
24,-1.468948589
25,-1.508137852
26,-1.543218409
27,-1.58034747
28,-1.615990325
29,-1.659700197
30,-1.704197554
31,-1.756431713
32,-1.813304068
33,-1.874021474
34,-1.941327254
35,-2.013272364
36,-2.092640985
37,-2.181235512
38,-2.274035614
39,-2.374661592
40,-2.47665693
41,-2.576748843
42,-2.674263416
43,-2.767894387
44,-2.857897727
45,-2.948144382
46,-3.035643642
47,-3.12298536
48,-3.210214833
49,-3.303424758
50,-3.410100913
51,-3.530237079
52,-3.657773413
53,-3.80025685
54,-3.951278953
55,-4.12239648
56,-4.311214909
57,-4.513764662
58,-4.729426563
59,-4.952214989
60,-5.184540428
61,-5.390945984
62,-5.5987916
63,-5.822026545
64,-6.047482806
65,-6.270494995
66,-6.492622327
67,-6.714789778
68,-6.949064172
69,-7.18885065
70,-7.440307848
71,-7.703010803
72,-7.976767341
73,-8.258507227
74,-8.55132202
75,-8.857516193
76,-9.180395523
77,-9.517772727
78,-9.882488364
79,-10.24501173
80,-10.5926608
81,-10.87337712
82,-11.11915236
83,-11.34582562
84,-11.5597866
85,-11.75766861
86,-11.95029293
87,-12.14152266
88,-12.33235399
89,-12.51218189
90,-12.66324597
91,-12.75583099
92,-12.77195192
93,-12.70505062
94,-12.59833208
95,-12.42046517
96,-12.17762859
97,-11.89767571
98,-11.6150238
99,-11.31988639
100,-11.02653316
101,-10.70370325
102,-10.35978205
103,-10.02402697
104,-9.703323505
105,-9.392645513
106,-9.093382462
107,-8.795202782
108,-8.495022516
109,-8.189587838
110,-7.898758532
111,-7.637075205
112,-7.406491103
113,-7.191242156
114,-6.983875823
115,-6.794920611
116,-6.625464484
117,-6.469202624
118,-6.316868331
119,-6.167314444
120,-6.02692534
121,-5.866006813
122,-5.703112528
123,-5.540893828
124,-5.388292459
125,-5.239659357
126,-5.09071557
127,-4.95109893
128,-4.821260057
129,-4.705322383
130,-4.599998261
131,-4.50084405
132,-4.404024769
133,-4.312865579
134,-4.223652949
135,-4.141815346
136,-4.06480269
137,-3.997396042
138,-3.939160858
139,-3.887575288
140,-3.838918649
141,-3.775646664
142,-3.692363986
143,-3.606109047
144,-3.516618984
145,-3.432628108
146,-3.353635299
147,-3.282815229
148,-3.220127557
149,-3.167123208
150,-3.118136663
151,-3.07513164
152,-3.036383355
153,-2.997647161
154,-2.966481922
155,-2.937881229
156,-2.911001207
157,-2.882679862
158,-2.845764788
159,-2.807074997
160,-2.769272826
161,-2.708790329
162,-2.648282904
163,-2.589073602
164,-2.527040751
165,-2.462723069
166,-2.400944895
167,-2.342729884
168,-2.294831988
169,-2.251628716
170,-2.21569404
171,-2.180517838
172,-2.149201682
173,-2.116148232
174,-2.086804305
175,-2.060767338
176,-2.038453615
177,-2.017243192
178,-1.997759115
179,-1.978967323
180,-1.961148364
181,-1.921937342
182,-1.879606173
183,-1.841242897
184,-1.806517686
185,-1.77237949
186,-1.738186964
187,-1.702842348
188,-1.670233259
189,-1.641869979
190,-1.621093154
191,-1.60518799
192,-1.604833891
193,-1.592505998
194,-1.578698421
195,-1.567017617
196,-1.557324188
197,-1.550326641
198,-1.543397314
199,-1.534198539
200,-1.525361024
