,chan1
0,-2.655455943
1,-2.614350839
2,-2.587258158
3,-2.584077473
4,-2.581797038
5,-2.568230851
6,-2.546692801
7,-2.533601622
8,-2.514029523
9,-2.486420951
10,-2.459100609
11,-2.518896052
12,-2.532919818
13,-2.525019221
14,-2.500560154
15,-2.458673234
16,-2.412965046
17,-2.377779878
18,-2.3612066
19,-2.362168135
20,-2.379106094
21,-2.366475675
22,-2.36820758
23,-2.38212614
24,-2.408061443
25,-2.444940249
26,-2.4884055
27,-2.534070644
28,-2.583030479
29,-2.612637169
30,-2.616861402
31,-2.652663495
32,-2.704341234
33,-2.773178291
34,-2.84315723
35,-2.917237915
36,-2.99879418
37,-3.085119311
38,-3.177166472
39,-3.276603115
40,-3.383748894
41,-3.51091831
42,-3.636035162
43,-3.767394362
44,-3.904865532
45,-4.060604192
46,-4.248937634
47,-4.471653812
48,-4.73593849
49,-5.052163031
50,-5.415506008
51,-5.788396281
52,-6.191838572
53,-6.632288346
54,-7.113287139
55,-7.63495716
56,-8.186610144
57,-8.751956616
58,-9.306571692
59,-9.790705199
60,-10.16222206
61,-10.32728455
62,-10.27643086
63,-10.0163762
64,-9.585464646
65,-9.052424368
66,-8.464052124
67,-7.873742133
68,-7.306634293
69,-6.783249216
70,-6.302872898
71,-5.885996673
72,-5.492253669
73,-5.116455918
74,-4.766895099
75,-4.453085111
76,-4.178775831
77,-3.946885122
78,-3.750720799
79,-3.588540202
80,-3.45426198
81,-3.322099723
82,-3.200098658
83,-3.085709493
84,-2.971542504
85,-2.874590121
86,-2.790402405
87,-2.718761443
88,-2.662348461
89,-2.628514542
90,-2.615898429
91,-2.595366322
92,-2.544161993
93,-2.502720625
94,-2.490096084
95,-2.484134621
96,-2.455732739
97,-2.425245043
98,-2.443309177
99,-2.508943753
100,-2.608448075
101,-2.693487219
102,-2.767851473
103,-2.83502772
104,-2.891830029
105,-2.964535779
106,-3.044447533
107,-3.087663833
108,-3.068514258
109,-3.004479432
110,-2.925266782
111,-2.822171272
112,-2.721366748
113,-2.625124907
114,-2.537827279
115,-2.470578248
116,-2.413048216
117,-2.369365789
118,-2.337364813
119,-2.320466099
120,-2.321270258
121,-2.303137705
122,-2.279000324
123,-2.260900874
124,-2.250862901
125,-2.249684362
126,-2.262152062
127,-2.283507166
128,-2.315038728
129,-2.347615951
130,-2.385311665
131,-2.409541211
132,-2.43970625
133,-2.471585281
134,-2.514765969
135,-2.567930417
136,-2.634968713
137,-2.714019848
138,-2.812275527
139,-2.922013963
140,-3.041426844
141,-3.15065583
142,-3.267217962
143,-3.394447543
144,-3.531938949
145,-3.686726665
146,-3.881573739
147,-4.082138039
148,-4.304165933
149,-4.548997956
150,-4.814651712
151,-5.065234684
152,-5.346282729
153,-5.662433771
154,-6.022621997
155,-6.443202537
156,-6.929162995
157,-7.480868815
158,-8.103109066
159,-8.791163061
160,-9.540365384
161,-10.30738925
162,-11.16219872
163,-12.09776377
164,-13.1149272
165,-14.18413956
166,-15.23972532
167,-16.127452
168,-16.66326221
169,-16.72181365
170,-16.314144
171,-15.33294717
172,-14.23190588
173,-13.13513071
174,-12.11312772
175,-11.20875026
176,-10.44376015
177,-9.8017093
178,-9.269925229
179,-8.817549304
180,-8.416496101
181,-7.902650189
182,-7.423255003
183,-6.982032113
184,-6.595550093
185,-6.258528915
186,-5.967619173
187,-5.728278546
188,-5.529079852
189,-5.347103498
190,-5.173321399
191,-4.966845541
192,-4.770265359
193,-4.601685545
194,-4.460914153
195,-4.334099769
196,-4.216879066
197,-4.109307204
198,-4.011322624
199,-3.916829116
200,-3.832353867
201,-3.720076742
202,-3.610021446
203,-3.504991833
204,-3.417431151
205,-3.336916033
206,-3.271192147
207,-3.212332282
