,real,imag
0,-0.4650647044,0.3085723817
1,-0.4584669471,0.3074833453
2,-0.4519920647,0.3068748116
3,-0.4455208182,0.3057558239
4,-0.439044714,0.3045877218
5,-0.4326926172,0.3034004271
6,-0.4261316955,0.3019539416
7,-0.4198034406,0.3004094064
8,-0.4134089649,0.29869017
9,-0.4070401788,0.2968272567
10,-0.4007591605,0.2946986556
11,-0.3953029811,0.291780144
12,-0.3896774352,0.2886202037
13,-0.3842553198,0.2851991057
14,-0.3788669407,0.2817307115
15,-0.3736618161,0.2780970931
16,-0.3683626354,0.2742290199
17,-0.3633258343,0.2701969743
18,-0.3584243655,0.2659479678
19,-0.3536664844,0.2614001632
20,-0.3490496576,0.2568374276
21,-0.3445349634,0.2520185709
22,-0.3402785063,0.2469150424
23,-0.3360797763,0.2415955961
24,-0.3321826458,0.2361133248
25,-0.3283789456,0.2303101569
26,-0.324814558,0.2243006378
27,-0.3214623332,0.2182136327
28,-0.3183439374,0.211740613
29,-0.3155421019,0.2051170766
30,-0.312911272,0.1984133869
31,-0.3105547428,0.1914047003
32,-0.308596909,0.1842925847
33,-0.3068554699,0.1770565361
34,-0.3053076267,0.1697203666
35,-0.3040527701,0.1622223407
36,-0.3031563461,0.1546869129
37,-0.3024609685,0.1471042484
38,-0.3019100428,0.1395360529
39,-0.3018339872,0.1318032444
40,-0.3019574881,0.1241483688
41,-0.3022279739,0.1172241643
42,-0.3030195534,0.1104242355
43,-0.3039396703,0.1037540361
44,-0.3054083586,0.09700318426
45,-0.307028532,0.09037874639
46,-0.3091696501,0.08371490985
47,-0.3114192784,0.07712747902
48,-0.3141717613,0.0705615133
49,-0.3170684278,0.0640251413
50,-0.3205863237,0.05750266835
51,-0.32436046,0.05120890215
52,-0.3284215927,0.04508467019
53,-0.3328629732,0.03903723508
54,-0.3372742832,0.03312404454
55,-0.3421807587,0.02734286152
56,-0.3472757041,0.02164578997
57,-0.3525048494,0.0161166247
58,-0.3579716086,0.01087370794
59,-0.3635399044,0.006038683932
60,-0.3693097234,0.00130374881
61,-0.3751570582,-0.003205081448
62,-0.3811314106,-0.007606795058
63,-0.3873380423,-0.01180152968
64,-0.3936749101,-0.01563280821
65,-0.4000445306,-0.01954690553
66,-0.4065574408,-0.02306341939
67,-0.413008213,-0.0263127815
68,-0.4197918773,-0.02948226221
69,-0.42645365,-0.03235689178
70,-0.433247596,-0.03500981629
71,-0.4400652349,-0.03761343285
72,-0.4470244348,-0.03958140686
73,-0.4536721706,-0.04165427759
74,-0.4606763124,-0.04336235672
75,-0.4675038755,-0.04474348202
76,-0.4744106829,-0.0459844172
77,-0.481292069,-0.04687739909
78,-0.4882851541,-0.04776307195
79,-0.4950141609,-0.0482769534
80,-0.5018540621,-0.04849066213
81,-0.5083361268,-0.04772004485
82,-0.5147358775,-0.04646710679
83,-0.5210669637,-0.04473822564
84,-0.5273828506,-0.04280251265
85,-0.5338779092,-0.04085741565
86,-0.5401279926,-0.03842181712
87,-0.5464585423,-0.03604652733
88,-0.5526787043,-0.03334819898
89,-0.5589212179,-0.03050197475
90,-0.5653156042,-0.02750614844
91,-0.5715047121,-0.02479384281
92,-0.577437222,-0.0217912402
93,-0.5835590363,-0.01859886199
94,-0.5897160769,-0.01516440045
95,-0.595467031,-0.01191175729
96,-0.6012414694,-0.008490786888
97,-0.6068856716,-0.00507116504
98,-0.6125562191,-0.001437456114
99,-0.6179121733,0.002111509209
100,-0.6231049895,0.005881261546
101,-0.6282122135,0.00976103358
102,-0.6331584454,0.01355951466
103,-0.6378567219,0.01746824011
104,-0.64237535,0.02133000456
105,-0.6467671394,0.02512441389
106,-0.6509506106,0.02867597528
107,-0.6549016833,0.03304736689
108,-0.6587271094,0.03712442517
109,-0.6625139117,0.04112784937
110,-0.6660376191,0.04482188448
111,-0.6695689559,0.04825722426
112,-0.672927916,0.05174229294
113,-0.6761308312,0.05511282012
114,-0.6791457534,0.05840793997
115,-0.6821085215,0.06165667251
116,-0.684784174,0.06510088593
117,-0.6874310374,0.06881529093
118,-0.6899962425,0.07263191044
119,-0.6921994686,0.07696118206
120,-0.6944425702,0.08146447688
121,-0.6963467598,0.08689169586
122,-0.6986060739,0.09299632907
123,-0.7005660534,0.09911029041
124,-0.7024033666,0.1053239927
125,-0.7040667534,0.1117327213
126,-0.7058265805,0.1178396419
127,-0.7076488733,0.1238564625
128,-0.7093488574,0.1293224096
129,-0.7110097408,0.1347300857
130,-0.71278584,0.1399327368
131,-0.714437902,0.1446839571
132,-0.7161123753,0.1491055191
133,-0.7178087234,0.1536818594
134,-0.7193774581,0.1581059545
135,-0.7209621668,0.1624297202
136,-0.7224502563,0.1672280729
137,-0.7237212062,0.1719930917
138,-0.7250201106,0.1767811328
139,-0.7264909148,0.181075111
140,-0.7274748087,0.1854319125
141,-0.7286606431,0.1899908036
142,-0.7297869921,0.1943912357
143,-0.7306135893,0.1986849606
144,-0.7316579223,0.203089729
145,-0.7324334979,0.2070996612
146,-0.7334917188,0.2114257216
147,-0.7340970635,0.2155901194
148,-0.7346582413,0.2200221419
149,-0.7354084253,0.2241553813
150,-0.7357360721,0.2286759466
151,-0.7358896136,0.2335263044
152,-0.7361246347,0.2383949608
153,-0.7358499169,0.2437935472
154,-0.7353671789,0.2489636838
155,-0.7346734405,0.2539536953
156,-0.734026134,0.2582583427
157,-0.7331448197,0.2626702487
158,-0.732350111,0.2670361698
159,-0.7314177155,0.2711986601
160,-0.7306872606,0.2753926218
161,-0.7292048931,0.2803679407
162,-0.727894485,0.2852131128
163,-0.726584971,0.2900453806
164,-0.7257093787,0.2946003377
165,-0.7252425551,0.2991556823
166,-0.7249304056,0.303671509
167,-0.7246406078,0.3078143895
168,-0.7241461873,0.3127980828
169,-0.7236532569,0.3172478378
170,-0.7229070663,0.3220590949
171,-0.7215100527,0.3278136551
172,-0.7198870778,0.332972914
173,-0.7183365822,0.33847633
174,-0.7164973617,0.3431985676
175,-0.7147378325,0.3478884399
176,-0.7129941583,0.3523449004
177,-0.7112141252,0.3562277257
178,-0.7096905708,0.3603185117
179,-0.7079440355,0.3636432588
180,-0.7066389322,0.3673407137
181,-0.7053582668,0.3705446124
182,-0.7043776512,0.3740449548
183,-0.7035914063,0.3775779009
184,-0.7028867602,0.3813826144
185,-0.7022423148,0.3850952387
186,-0.7013404965,0.389295131
187,-0.6999337077,0.3927232921
188,-0.6982767582,0.3962180614
189,-0.6965725422,0.4000613391
190,-0.6944387555,0.4036622345
191,-0.6916517615,0.4075885713
192,-0.6885653138,0.411452502
193,-0.6854052544,0.4149679244
194,-0.6819574237,0.4182608724
195,-0.6782363653,0.4214415252
196,-0.6744008064,0.424228698
197,-0.6703763604,0.4270132482
198,-0.6661836505,0.4296948314
199,-0.6620331407,0.4325462282
200,-0.6577163935,0.434984535
201,-0.6531763673,0.4383457899
202,-0.6486150622,0.4413847625
203,-0.6448680162,0.4449745417
204,-0.6407040358,0.448297739
205,-0.6367663741,0.4516460001
206,-0.6328399777,0.4546658993
