,chan1
0,-4.24089833
1,-4.312539122
2,-4.386360999
3,-4.462981805
4,-4.535824476
5,-4.612558899
6,-4.692240846
7,-4.771419192
8,-4.853689472
9,-4.935073348
10,-5.020472912
11,-5.105135587
12,-5.192675722
13,-5.279170674
14,-5.36759676
15,-5.45811458
16,-5.549742376
17,-5.644510378
18,-5.73668632
19,-5.834028978
20,-5.932163137
21,-6.032062607
22,-6.132566881
23,-6.231889274
24,-6.33547201
25,-6.442028661
26,-6.543998313
27,-6.65114748
28,-6.756920818
29,-6.861789302
30,-6.966717572
31,-7.069645974
32,-7.171601732
33,-7.273196469
34,-7.36994971
35,-7.46715848
36,-7.558803856
37,-7.647373915
38,-7.73605203
39,-7.817275817
40,-7.896598586
41,-7.959959556
42,-8.013949026
43,-8.059314114
44,-8.099478399
45,-8.137043054
46,-8.163350532
47,-8.186865884
48,-8.202155179
49,-8.209490379
50,-8.211344226
51,-8.197209174
52,-8.182153063
53,-8.165065988
54,-8.136475649
55,-8.100756111
56,-8.066646444
57,-8.024295443
58,-7.979058998
59,-7.928940057
60,-7.877846572
61,-7.822381952
62,-7.766246659
63,-7.708815192
64,-7.644941372
65,-7.584298734
66,-7.524467021
67,-7.458711923
68,-7.391652362
69,-7.328708605
70,-7.264568624
71,-7.200208606
72,-7.134852627
73,-7.071177331
74,-7.007545904
75,-6.947627715
76,-6.885608593
77,-6.82328925
78,-6.763349246
79,-6.709842272
80,-6.653465006
81,-6.596405914
82,-6.539601226
83,-6.486853877
84,-6.432557177
85,-6.379707509
86,-6.327689663
87,-6.276266239
88,-6.223830545
89,-6.174867549
90,-6.125918658
91,-6.080963232
92,-6.035182172
93,-5.99300713
94,-5.952073721
95,-5.912825592
96,-5.87881416
97,-5.846824377
98,-5.814749427
99,-5.789602506
100,-5.76822709
101,-5.748198842
102,-5.73319933
103,-5.718051949
104,-5.711427223
105,-5.70622885
106,-5.70354943
107,-5.70379604
108,-5.708693376
109,-5.71555409
110,-5.724782842
111,-5.739741121
112,-5.755979067
113,-5.776318971
114,-5.793608318
115,-5.81920384
116,-5.844830837
117,-5.874701334
118,-5.902564261
119,-5.934092842
120,-5.969971682
121,-5.995190625
122,-6.01824136
123,-6.042258166
124,-6.066763975
125,-6.095352811
126,-6.125000951
127,-6.152544951
128,-6.184966563
129,-6.216910462
130,-6.25187673
131,-6.288236337
132,-6.326266038
133,-6.364906765
134,-6.406189445
135,-6.451865051
136,-6.500426673
137,-6.549414838
138,-6.603144023
139,-6.65784368
140,-6.715955863
141,-6.776007672
142,-6.841182279
143,-6.90787777
144,-6.979600514
145,-7.054143062
146,-7.132891735
147,-7.213253837
148,-7.2942559
149,-7.381893714
150,-7.475883609
151,-7.571679653
152,-7.67193441
153,-7.774972339
154,-7.887095152
155,-8.003553138
156,-8.12801413
157,-8.253775926
158,-8.38510464
159,-8.5180305
160,-8.658169972
161,-8.786721237
162,-8.911511581
163,-9.037231782
164,-9.164454781
165,-9.294012036
166,-9.424342317
167,-9.558476446
168,-9.696134947
169,-9.841683269
170,-9.996141366
171,-10.15089659
172,-10.31476036
173,-10.48879377
174,-10.67014437
175,-10.8579458
176,-11.05782535
177,-11.27054991
178,-11.49109764
179,-11.71846715
180,-11.95268582
181,-12.19787415
182,-12.45517751
183,-12.71290654
184,-12.98619858
185,-13.26051382
186,-13.54345415
187,-13.85096759
188,-14.16258656
189,-14.48367142
190,-14.82523299
191,-15.17322431
192,-15.5369413
193,-15.9156633
194,-16.3089964
195,-16.70859957
196,-17.11545111
