,chan1
0,-5.721127171
1,-5.817752108
2,-5.91572639
3,-6.015434269
4,-6.117477781
5,-6.218540209
6,-6.320313763
7,-6.42731474
8,-6.52914771
9,-6.637134363
10,-6.744487331
11,-6.850168531
12,-6.9577485
13,-7.061567319
14,-7.16797097
15,-7.27639171
16,-7.381267089
17,-7.486041657
18,-7.584861089
19,-7.690348104
20,-7.791330355
21,-7.891522851
22,-7.988842338
23,-8.082288364
24,-8.1724869
25,-8.258748811
26,-8.34165394
27,-8.420217743
28,-8.491748546
29,-8.559611285
30,-8.618124325
31,-8.669804534
32,-8.71538731
33,-8.751437032
34,-8.778606486
35,-8.799544683
36,-8.80784034
37,-8.812624251
38,-8.80618993
39,-8.794078554
40,-8.772505236
41,-8.738103897
42,-8.698099454
43,-8.646834769
44,-8.590500818
45,-8.525398503
46,-8.453464774
47,-8.371598998
48,-8.284680774
49,-8.194198784
50,-8.099259456
51,-7.999833856
52,-7.896016505
53,-7.789328578
54,-7.682172752
55,-7.57154665
56,-7.46290139
57,-7.351824765
58,-7.240838071
59,-7.130612813
60,-7.020104734
61,-6.90952166
62,-6.799359587
63,-6.69497122
64,-6.586590309
65,-6.484070574
66,-6.382079678
67,-6.281814642
68,-6.18118159
69,-6.087093966
70,-5.993135429
71,-5.89789427
72,-5.807286817
73,-5.716716989
74,-5.631067376
75,-5.545848341
76,-5.462701171
77,-5.385803694
78,-5.309761301
79,-5.23561584
80,-5.163274658
81,-5.097389312
82,-5.035742727
83,-4.973811935
84,-4.914362539
85,-4.856838782
86,-4.798985517
87,-4.743072017
88,-4.684347672
89,-4.627989763
90,-4.572180837
91,-4.515607391
92,-4.458219012
93,-4.402282654
94,-4.348011398
95,-4.292457165
96,-4.240027382
97,-4.19124386
98,-4.141086958
99,-4.092757
100,-4.047868109
101,-4.005318014
102,-3.962370704
103,-3.922575867
104,-3.883259022
105,-3.848607455
106,-3.812202228
107,-3.778782223
108,-3.74663526
109,-3.716648801
110,-3.688693062
111,-3.664423825
112,-3.639262079
113,-3.621166886
114,-3.600730047
115,-3.585491234
116,-3.569962562
117,-3.55631969
118,-3.54325261
119,-3.532328818
120,-3.521025915
121,-3.508402899
122,-3.492829
123,-3.476879529
124,-3.46158332
125,-3.44955113
126,-3.435649982
127,-3.421699329
128,-3.405875665
129,-3.391141539
130,-3.375471096
131,-3.359851566
132,-3.346305464
133,-3.330055886
134,-3.3148794
135,-3.299728684
136,-3.283473449
137,-3.26958201
138,-3.259095774
139,-3.244945099
140,-3.23224441
141,-3.221569604
142,-3.211698764
143,-3.202083681
144,-3.193950939
145,-3.186597081
146,-3.178733619
147,-3.172172212
148,-3.164998754
149,-3.157882975
150,-3.153150923
151,-3.150291635
152,-3.144735589
153,-3.142890837
154,-3.136904411
155,-3.137002847
156,-3.141331344
157,-3.140302642
158,-3.144531486
159,-3.144409589
160,-3.146738656
161,-3.149374
162,-3.14844333
163,-3.144778984
164,-3.139887685
165,-3.129253761
166,-3.116583802
167,-3.101413041
168,-3.087706871
169,-3.073241326
170,-3.058381583
171,-3.04772574
172,-3.037386287
173,-3.026843321
174,-3.020372648
175,-3.011604172
176,-3.004894172
177,-2.999626595
178,-2.989101353
179,-2.980650442
180,-2.970051924
181,-2.954659491
182,-2.938328132
183,-2.91892251
184,-2.892371711
185,-2.8634141
186,-2.83163935
187,-2.810242103
188,-2.785939327
189,-2.764716729
190,-2.744009349
191,-2.724428641
192,-2.708044851
193,-2.692549486
194,-2.67896275
195,-2.667684019
196,-2.658810902
197,-2.651078644
198,-2.643140361
199,-2.635464275
200,-2.628798294
201,-2.620303208
202,-2.610583284
203,-2.592336632
204,-2.573724021
205,-2.553174344
206,-2.534583315
207,-2.515685636
208,-2.49518497
209,-2.476413184
210,-2.454464235
211,-2.432861889
212,-2.411469642
213,-2.388830133
214,-2.366736423
215,-2.344170836
216,-2.322034131
217,-2.299211438
218,-2.275599638
219,-2.259141388
220,-2.239563225
221,-2.223590661
222,-2.209285114
223,-2.19101972
224,-2.178881435
225,-2.164615686
226,-2.152191383
227,-2.140135729
228,-2.12879994
229,-2.117044986
230,-2.11097936
231,-2.101379113
232,-2.092916343
233,-2.088373103
234,-2.081023488
235,-2.075135112
236,-2.068787422
237,-2.067317498
238,-2.06223631
239,-2.059010188
240,-2.056004182
241,-2.049657544
242,-2.042967698
243,-2.035004374
244,-2.029936868
245,-2.021465754
246,-2.016358914
247,-2.008795064
248,-2.002614368
249,-1.996820139
250,-1.989970962
251,-1.980117194
252,-1.969035441
253,-1.961742012
254,-1.954437622
255,-1.945218884
256,-1.93558245
257,-1.929055192
258,-1.921163162
259,-1.912397062
260,-1.909486787
261,-1.902515202
262,-1.898187779
263,-1.892635871
264,-1.888111074
265,-1.883183732
266,-1.879350307
267,-1.876236737
268,-1.874485949
269,-1.872210244
270,-1.873856523
271,-1.872393576
272,-1.871602839
273,-1.87258718
274,-1.873582499
275,-1.87650706
276,-1.879369289
277,-1.88278074
278,-1.887060359
279,-1.892984988
280,-1.898925386
281,-1.90255443
282,-1.905787646
283,-1.903633877
284,-1.901440167
285,-1.900982599
286,-1.900026862
287,-1.898624329
288,-1.895557572
289,-1.896055205
290,-1.896102183
291,-1.896366022
292,-1.894789135
293,-1.896372177
294,-1.898155903
295,-1.897521163
296,-1.90094473
297,-1.902258344
298,-1.904000345
299,-1.907360652
300,-1.913959534
301,-1.915450238
302,-1.921149896
303,-1.927558897
304,-1.93273686
305,-1.938770549
306,-1.945749847
307,-1.953414479
308,-1.963317643
309,-1.970741133
310,-1.979410392
311,-1.989250175
312,-1.999305209
313,-2.011024548
314,-2.021894038
315,-2.030523899
316,-2.037219641
317,-2.048041853
318,-2.056785946
319,-2.067182198
320,-2.078261781
321,-2.085452776
322,-2.095844121
323,-2.103465629
324,-2.112236395
325,-2.120092186
326,-2.128296362
327,-2.138941331
328,-2.146824965
329,-2.15396032
330,-2.161722151
331,-2.173116726
332,-2.185269118
333,-2.194997492
334,-2.205828486
335,-2.218326695
336,-2.228740377
337,-2.242628662
338,-2.254722905
339,-2.272200707
340,-2.287856315
341,-2.302654648
342,-2.318941532
343,-2.336401372
344,-2.35476275
345,-2.3737204
346,-2.393497879
347,-2.414672426
348,-2.437529817
349,-2.461446035
350,-2.485736418
351,-2.509951398
352,-2.537302907
353,-2.5635328
354,-2.589644264
355,-2.619058887
356,-2.649675757
357,-2.680385901
358,-2.710995704
359,-2.74301466
360,-2.774286586
361,-2.803867689
362,-2.830512222
363,-2.858804549
