,chan1
0,-2.509589607
1,-2.512169716
2,-2.513803982
3,-2.515081092
4,-2.518140226
5,-2.51947058
6,-2.520297726
7,-2.519777645
8,-2.522133172
9,-2.526093907
10,-2.528356677
11,-2.526845449
12,-2.528261602
13,-2.530240509
14,-2.53048559
15,-2.532577628
16,-2.534207398
17,-2.534836415
18,-2.537030386
19,-2.538433585
20,-2.538109077
21,-2.541451892
22,-2.541731872
23,-2.544909876
24,-2.547509541
25,-2.551753395
26,-2.556321976
27,-2.562027481
28,-2.566991165
29,-2.572873762
30,-2.577657404
31,-2.584368962
32,-2.591926645
33,-2.597304066
34,-2.603207163
35,-2.612593554
36,-2.621277686
37,-2.629245533
38,-2.63758365
39,-2.648648082
40,-2.659337064
41,-2.670062891
42,-2.677369379
43,-2.686211704
44,-2.696756698
45,-2.708307399
46,-2.719612091
47,-2.729722932
48,-2.740478595
49,-2.750962111
50,-2.76292086
51,-2.77239516
52,-2.785695899
53,-2.798634723
54,-2.810434585
55,-2.823944615
56,-2.837143721
57,-2.850930025
58,-2.86822472
59,-2.883727608
60,-2.898011421
61,-2.914090836
62,-2.933217531
63,-2.95105666
64,-2.970236558
65,-2.992405597
66,-3.013815644
67,-3.036072377
68,-3.057565992
69,-3.080915061
70,-3.104733813
71,-3.131501481
72,-3.155332829
73,-3.183974457
74,-3.209966277
75,-3.237095256
76,-3.265563362
77,-3.29726234
78,-3.325857517
79,-3.358675497
80,-3.390864908
81,-3.420395973
82,-3.449847231
83,-3.479173813
84,-3.511024595
85,-3.541205337
86,-3.568957982
87,-3.597260566
88,-3.625373873
89,-3.653525806
90,-3.681644345
91,-3.707146557
92,-3.737526851
93,-3.765373828
94,-3.795312674
95,-3.825432399
96,-3.85702366
97,-3.887321153
98,-3.921736961
99,-3.9569543
100,-3.997463277
101,-4.035641078
102,-4.076751177
103,-4.122637984
104,-4.167544816
105,-4.218138468
106,-4.268476729
107,-4.3217922
108,-4.379017295
109,-4.436328207
110,-4.497189988
111,-4.559017898
112,-4.625709579
113,-4.690050008
114,-4.756903187
115,-4.822861604
116,-4.89003695
117,-4.958417483
118,-5.029384427
119,-5.098790941
120,-5.16951386
121,-5.23279555
122,-5.291719795
123,-5.353986241
124,-5.417740444
125,-5.482354038
126,-5.545809473
127,-5.609688867
128,-5.674383957
129,-5.736689782
130,-5.802092992
131,-5.868559389
132,-5.93496387
133,-6.001230719
134,-6.070342483
135,-6.143226664
136,-6.216384908
137,-6.292261672
138,-6.369827635
139,-6.445998487
140,-6.524524013
141,-6.604863831
142,-6.688026028
143,-6.772062362
144,-6.854926765
145,-6.943559938
146,-7.03487059
147,-7.123330698
148,-7.215677394
149,-7.312696811
150,-7.407833725
151,-7.50740961
152,-7.612490796
153,-7.713076327
154,-7.821300945
155,-7.931773489
156,-8.046236953
157,-8.162031648
158,-8.27943618
159,-8.400419976
160,-8.523400763
161,-8.636384195
162,-8.744345161
163,-8.850316957
164,-8.960315244
165,-9.069998324
166,-9.180157081
167,-9.292441359
168,-9.409460637
169,-9.531358764
170,-9.660396484
171,-9.794704001
172,-9.933146981
173,-10.08284323
174,-10.23626037
175,-10.40176754
176,-10.57084967
177,-10.75133978
178,-10.93385654
179,-11.12575348
180,-11.32488753
181,-11.52794844
182,-11.73951661
183,-11.94988913
184,-12.16781536
185,-12.39478026
186,-12.6252298
187,-12.87253802
188,-13.12977593
189,-13.39571097
190,-13.67750264
191,-13.9652683
192,-14.27296544
193,-14.58552501
194,-14.9243418
195,-15.27287694
196,-15.63864857
197,-16.01643849
198,-16.40823155
199,-16.82896653
200,-17.25311266
201,-17.6715618
202,-18.08842628
203,-18.52435598
204,-18.98858271
205,-19.47531389
206,-20.00774226
207,-20.57099392
208,-21.178727
209,-21.83806515
210,-22.55362555
211,-23.31843185
212,-24.17298168
213,-25.10579496
214,-26.12315303
215,-27.24670543
216,-28.42117713
217,-29.66616316
218,-30.83902329
219,-31.69001997
220,-31.96546856
221,-31.58127483
222,-30.6445826
223,-29.45143699
224,-28.17959022
225,-26.98497546
226,-25.87326652
227,-24.85374265
228,-23.92079291
229,-23.07493035
230,-22.3054705
231,-21.59653246
232,-20.94825063
233,-20.35086625
234,-19.7955519
235,-19.28568954
236,-18.80262749
237,-18.35712786
238,-17.94856432
239,-17.55608299
240,-17.19839173
241,-16.83961217
242,-16.49635719
243,-16.16410582
244,-15.84282454
245,-15.53156735
246,-15.22960083
247,-14.94629185
248,-14.66587785
249,-14.40024472
250,-14.13950972
251,-13.87772245
252,-13.63255976
253,-13.39354966
254,-13.16335391
255,-12.93881602
256,-12.7227136
257,-12.51891126
258,-12.31367223
259,-12.12130897
260,-11.92984473
261,-11.75164447
262,-11.57287893
263,-11.4073143
264,-11.2442315
265,-11.08756784
266,-10.93741121
267,-10.79052933
268,-10.65021838
269,-10.51666578
270,-10.38866286
271,-10.26267915
272,-10.14536873
273,-10.03007163
274,-9.923563469
275,-9.817811594
276,-9.717995256
277,-9.623801087
278,-9.532267118
279,-9.446800264
280,-9.366057295
281,-9.280068995
282,-9.199709784
283,-9.113314345
284,-9.025333789
285,-8.939691974
286,-8.856784247
287,-8.77455783
288,-8.695094276
289,-8.611187183
290,-8.53231206
291,-8.454395243
292,-8.378039676
293,-8.304782745
294,-8.229720288
295,-8.161847325
296,-8.094126944
297,-8.027655969
298,-7.965555197
299,-7.904876957
300,-7.845711671
301,-7.791550835
302,-7.739342222
303,-7.689490926
304,-7.642774749
305,-7.599370586
306,-7.558846561
307,-7.52301534
308,-7.484565581
309,-7.452585057
310,-7.423731638
311,-7.395532012
312,-7.37012743
313,-7.348846111
314,-7.328715276
315,-7.307826551
316,-7.290382384
317,-7.272892846
318,-7.258397013
319,-7.245872056
320,-7.236096097
321,-7.217345705
322,-7.194989617
323,-7.176046499
324,-7.156908075
325,-7.138476229
326,-7.117215036
327,-7.099801562
328,-7.083568173
329,-7.066737728
330,-7.04994356
331,-7.034334313
332,-7.01949284
333,-7.008199871
334,-6.993673172
335,-6.983833725
336,-6.973509331
337,-6.965062699
338,-6.957530315
339,-6.951606101
340,-6.945691208
341,-6.944748377
342,-6.944685312
343,-6.942112225
344,-6.946201879
345,-6.948224826
346,-6.953731507
347,-6.959861263
348,-6.969711664
349,-6.978730794
350,-6.992391282
351,-7.005486802
352,-7.018427877
353,-7.037939169
354,-7.055688295
355,-7.075063171
356,-7.095488186
357,-7.119494722
358,-7.14120596
359,-7.166158408
360,-7.194310099
361,-7.205511021
362,-7.220463538
363,-7.234033691
364,-7.247089067
365,-7.258203624
366,-7.273084704
367,-7.287838928
368,-7.302953053
369,-7.318555448
370,-7.332133213
371,-7.347312209
372,-7.363922495
373,-7.378250737
374,-7.390938544
375,-7.406987777
376,-7.42255704
377,-7.438035677
378,-7.450753797
379,-7.46543451
380,-7.481779398
381,-7.50059612
382,-7.517402843
383,-7.548594762
384,-7.565863999
385,-7.58278615
386,-7.598353612
387,-7.615319485
388,-7.633210224
389,-7.648621983
390,-7.66455051
391,-7.678987974
392,-7.694889213
393,-7.70837131
394,-7.722602376
395,-7.733938909
396,-7.743608832
397,-7.753356194
398,-7.760702946
399,-7.766557972
400,-7.773760236
