,real,imag
0,-0.6789275408,0.3164781034
1,-0.6761205792,0.3219141364
2,-0.6732093096,0.327636987
3,-0.6703099608,0.3332814276
4,-0.6670725942,0.3391334713
5,-0.6640002728,0.3448615372
6,-0.6608276367,0.3507507145
7,-0.6576266885,0.3568100333
8,-0.6541626453,0.362703681
9,-0.6506325006,0.3683070242
10,-0.6469703913,0.3743138611
11,-0.6443634033,0.3790406287
12,-0.6415691972,0.383513689
13,-0.6385583878,0.3881783783
14,-0.6355954409,0.3929709792
15,-0.6323981881,0.3977579176
16,-0.6292607784,0.4024429023
17,-0.6262886524,0.4069534838
18,-0.6230967045,0.4114819169
19,-0.6198975444,0.416069448
20,-0.6167630553,0.4207513928
21,-0.613370657,0.4251775444
22,-0.6101968884,0.4296782017
23,-0.6067073941,0.434122473
24,-0.6033884883,0.4383440018
25,-0.5999785662,0.4423862398
26,-0.5964933038,0.44642061
27,-0.5929706097,0.4502806962
28,-0.5894826651,0.4541407228
29,-0.5857471228,0.4581314027
30,-0.5822863579,0.4618635178
31,-0.5786480904,0.465498358
32,-0.5750664473,0.4688944221
33,-0.571639657,0.4723454416
34,-0.5680323243,0.4758933485
35,-0.5641406178,0.479265064
36,-0.5603469014,0.4825623333
37,-0.5565167069,0.4859442711
38,-0.5524765849,0.4894643128
39,-0.5482147932,0.4928285778
40,-0.5438655615,0.4962800443
41,-0.5391803384,0.500031054
42,-0.5343850851,0.5042520165
43,-0.529541254,0.5082573891
44,-0.5245156288,0.5121682882
45,-0.5197279453,0.5156436563
46,-0.5148068666,0.5192167163
47,-0.5100057721,0.5227456689
48,-0.5052713156,0.5260708332
49,-0.5004159212,0.5294815898
50,-0.4958223403,0.5324167013
51,-0.491209507,0.5355997682
52,-0.4864554107,0.5384235978
53,-0.4817958474,0.541151762
54,-0.4774410725,0.5436893106
55,-0.472779274,0.546261549
56,-0.4684500396,0.5485368371
57,-0.4640006423,0.5508106351
58,-0.4593375325,0.5528440475
59,-0.4543834627,0.5552677512
60,-0.449680537,0.5575694442
61,-0.4445280135,0.5599954724
62,-0.4396316111,0.5618520379
63,-0.4344399571,0.5640295148
64,-0.4293581247,0.5659376383
65,-0.4240108728,0.5676963925
66,-0.4188542664,0.5693474412
67,-0.4135122895,0.5710071921
68,-0.4082629085,0.5726335645
69,-0.4025907516,0.5743314028
70,-0.397239387,0.5757135749
71,-0.3914923966,0.5770379305
72,-0.3858670294,0.5785195231
73,-0.3800040185,0.5796520114
74,-0.374147594,0.5809875727
75,-0.3681900799,0.5822330713
76,-0.3622573614,0.5832909346
77,-0.3560340703,0.5841830373
78,-0.3499031067,0.5852575302
79,-0.3436860442,0.5859506726
80,-0.3374644816,0.5866586566
81,-0.3307095766,0.5878586173
82,-0.3240648806,0.588942945
83,-0.3173112273,0.5900375843
84,-0.3106862307,0.5907835364
85,-0.3042154908,0.5915390849
86,-0.2979466915,0.5923469067
87,-0.2914770544,0.5931546092
88,-0.285427779,0.5937203765
89,-0.2793701887,0.5942400098
90,-0.2732820213,0.5947295427
91,-0.2679166496,0.5950620174
92,-0.2621659338,0.5951288939
93,-0.2566972971,0.5952418447
94,-0.251162678,0.5951780081
95,-0.2455738336,0.5950872302
96,-0.2402784824,0.5947250128
97,-0.234880805,0.594476521
98,-0.2293596566,0.5939196348
99,-0.223975569,0.5932180285
100,-0.2182597816,0.5922013521
101,-0.2126601338,0.5912944078
102,-0.2068154663,0.5902209282
103,-0.201174438,0.5886861086
104,-0.1954244375,0.5872397423
105,-0.1896565557,0.5853505135
106,-0.1839073747,0.5834551454
107,-0.1775003821,0.58152318
108,-0.1714181602,0.579182446
109,-0.1654198021,0.5767927766
110,-0.1595048755,0.5741090775
111,-0.1535517275,0.5713546872
112,-0.1480274796,0.5681356788
113,-0.1424557567,0.5650908947
114,-0.1369329244,0.5618565679
115,-0.131438911,0.558673799
116,-0.1257763058,0.5554432273
117,-0.1200436279,0.5521409512
118,-0.1138515249,0.548756063
119,-0.1075763479,0.5454749465
120,-0.101027213,0.5421402454
121,-0.09483060986,0.5391942263
122,-0.08891180158,0.5364502072
123,-0.08279686421,0.5334976315
124,-0.07682402432,0.5304012895
125,-0.07118109614,0.5271802545
126,-0.06558796763,0.5240031481
127,-0.06040625274,0.5207304358
128,-0.05559049174,0.51735425
129,-0.0511373058,0.5140760541
130,-0.04702375829,0.5105769634
131,-0.04308921099,0.5070014596
132,-0.03938704357,0.503415525
133,-0.03576564789,0.4998382628
134,-0.03214082867,0.4961047173
135,-0.02865726128,0.4921570122
136,-0.02499615401,0.4882163107
137,-0.02128203027,0.4841363728
138,-0.01779845729,0.4799657166
139,-0.01461602282,0.4758776724
140,-0.01154260896,0.4716760218
141,-0.00841230154,0.4673976004
142,-0.005288560409,0.4629886746
143,-0.00234740274,0.4585547447
144,0.0006629687268,0.4542063475
145,0.003519649617,0.4495817721
146,0.0064804391,0.4448467195
147,0.009376464412,0.4402861297
148,0.01218060683,0.4355583787
149,0.01527979318,0.4306177497
150,0.0184394531,0.4257958829
151,0.02163710259,0.4207809865
152,0.02506284602,0.4155151546
153,0.02867328376,0.4104773402
154,0.03205755726,0.4051160514
155,0.03534952924,0.3996863961
156,0.03821634874,0.3941451907
157,0.04149216041,0.3885402977
158,0.04455047101,0.3829205036
159,0.04765661061,0.3771721721
160,0.05046249554,0.3714138269
161,0.05311768502,0.3661493063
162,0.05556689948,0.3611623049
163,0.05771643668,0.3563368917
164,0.05973673612,0.3513967991
165,0.06153294444,0.3465449512
166,0.06311648339,0.3417503834
167,0.06486407667,0.3368784189
