,real,imag
0,-0.446117878,0.2997981012
1,-0.4394060671,0.2981951535
2,-0.4328744113,0.2968174815
3,-0.426445812,0.2951883972
4,-0.419908911,0.2934676111
5,-0.4134889245,0.2914343476
6,-0.4069855809,0.2895104885
7,-0.4006023705,0.2870422602
8,-0.3943710923,0.2846820354
9,-0.3881478906,0.282047689
10,-0.3820619881,0.2792282104
11,-0.3767280579,0.2753648162
12,-0.3712765276,0.2715086639
13,-0.3661034107,0.2673133612
14,-0.3611240685,0.263097018
15,-0.3560186028,0.2587064505
16,-0.3512356281,0.2540811896
17,-0.3466212451,0.2492144108
18,-0.3421101868,0.2442209721
19,-0.3378448188,0.23889938
20,-0.3336337507,0.2334459126
21,-0.3296836019,0.2276710719
22,-0.3260836005,0.2219147533
23,-0.3225010335,0.2156943381
24,-0.319426775,0.2095236331
25,-0.3164029121,0.203114599
26,-0.313817203,0.1963338405
27,-0.3112400174,0.1895537227
28,-0.3090045154,0.1825138181
29,-0.3071005642,0.1753415316
30,-0.3054563701,0.1680776179
31,-0.3041150272,0.1606954634
32,-0.3031185865,0.1529057473
33,-0.3023884892,0.1453796327
34,-0.3019399941,0.1376951486
35,-0.3017883003,0.1297920793
36,-0.301902324,0.122044459
37,-0.3023414612,0.1143146232
38,-0.303009063,0.106491521
39,-0.3040019274,0.09869454056
40,-0.3052102327,0.09094684571
41,-0.306750685,0.0839766562
42,-0.3085095584,0.07733695954
43,-0.310852617,0.07062895596
44,-0.3132990599,0.06403601915
45,-0.316059649,0.05757691339
46,-0.3192352057,0.05113028735
47,-0.3227680624,0.04488871619
48,-0.3265428543,0.03874542937
49,-0.330696255,0.03256804869
50,-0.3351664841,0.02679511905
51,-0.339899987,0.02085638605
52,-0.3448732495,0.01527546998
53,-0.3499955833,0.009705309756
54,-0.3554928899,0.0043444084
55,-0.3611114621,-0.0008000448579
56,-0.3669383526,-0.00593379885
57,-0.3729496002,-0.01086220611
58,-0.3791692853,-0.01570151374
59,-0.3854801357,-0.01981126517
60,-0.3919842839,-0.02387326956
61,-0.3987385333,-0.02769314311
62,-0.4053865075,-0.03133047
63,-0.4123259187,-0.03467571363
64,-0.4192810059,-0.03773825988
65,-0.4262280762,-0.04075042158
66,-0.433265686,-0.0433507897
67,-0.440302521,-0.0459292382
68,-0.4474761188,-0.04809546098
69,-0.4547126293,-0.05013319477
70,-0.4617352784,-0.05181150511
71,-0.468814522,-0.0531215556
72,-0.4760096669,-0.05438632891
73,-0.4831537306,-0.05536809564
74,-0.4901895821,-0.05607725307
