,chan1
0,-2.255768397
1,-2.259569313
2,-2.264913841
3,-2.266412914
4,-2.273285223
5,-2.276253899
6,-2.28045695
7,-2.284169038
8,-2.289626224
9,-2.294510843
10,-2.297423047
11,-2.300078477
12,-2.303454058
13,-2.307500337
14,-2.309172835
15,-2.312912834
16,-2.316027163
17,-2.319233146
18,-2.322263462
19,-2.327323586
20,-2.331619116
21,-2.334229588
22,-2.338038196
23,-2.343138651
24,-2.345719627
25,-2.349669133
26,-2.355412605
27,-2.361906555
28,-2.366972496
29,-2.374727105
30,-2.382858497
31,-2.38991905
32,-2.397831401
33,-2.406574207
34,-2.411951148
35,-2.420299257
36,-2.430290485
37,-2.43588285
38,-2.447257713
39,-2.458305116
40,-2.467394249
41,-2.477008279
42,-2.486600219
43,-2.497946101
44,-2.507715571
45,-2.517669341
46,-2.529537455
47,-2.541441409
48,-2.552763405
49,-2.561926868
50,-2.574885429
51,-2.585261241
52,-2.597237668
53,-2.608544252
54,-2.621652167
55,-2.633486676
56,-2.643823036
57,-2.658108719
58,-2.673690841
59,-2.686333339
60,-2.702346732
61,-2.717713537
62,-2.736233801
63,-2.754688581
64,-2.771173241
65,-2.790716699
66,-2.811386397
67,-2.830460804
68,-2.854051039
69,-2.875657698
70,-2.897650745
71,-2.920024904
72,-2.945809273
73,-2.969938773
74,-2.994717564
75,-3.020313504
76,-3.048151954
77,-3.074118047
78,-3.104751477
79,-3.133807737
80,-3.163027748
81,-3.192546415
82,-3.222576295
83,-3.250313541
84,-3.282494666
85,-3.311815089
86,-3.341005523
87,-3.36991958
88,-3.398568063
89,-3.425087514
90,-3.454541715
91,-3.482200131
92,-3.512378321
93,-3.54083006
94,-3.571315425
95,-3.602295829
96,-3.632265532
97,-3.664339935
98,-3.696626887
99,-3.73187962
100,-3.767744057
101,-3.807233696
102,-3.848003107
103,-3.890504844
104,-3.936451551
105,-3.98303428
106,-4.034390921
107,-4.085585145
108,-4.136893917
109,-4.19336546
110,-4.250018916
111,-4.312134852
112,-4.373343024
113,-4.437924777
114,-4.50420323
115,-4.568817128
116,-4.639712288
117,-4.708909044
118,-4.78071658
119,-4.853651966
120,-4.927965378
121,-4.995357002
