,chan1
0,-2.945203006
1,-2.942279784
2,-2.942299952
3,-2.938175593
4,-2.93904197
5,-2.935590086
6,-2.934298681
7,-2.933255615
8,-2.930845294
9,-2.931415019
10,-2.930079001
11,-2.926860719
12,-2.924843721
13,-2.923168881
14,-2.92311131
15,-2.920349721
16,-2.919459851
17,-2.920735393
18,-2.917046528
19,-2.915657863
20,-2.914918575
21,-2.917355616
22,-2.91755895
23,-2.918950089
24,-2.919997945
25,-2.919056372
26,-2.922409081
27,-2.924313846
28,-2.928565763
29,-2.932751032
30,-2.939664955
31,-2.942953875
32,-2.946980544
33,-2.95297037
34,-2.958035027
35,-2.96447532
36,-2.971935442
37,-2.978122341
38,-2.986450902
39,-2.993280436
40,-3.004874029
41,-3.010334095
42,-3.018400869
43,-3.026301174
44,-3.035556083
45,-3.047008853
46,-3.054369183
47,-3.063160985
48,-3.071884758
49,-3.080807566
50,-3.089337107
51,-3.097942667
52,-3.108325256
53,-3.119702413
54,-3.128745456
55,-3.139442476
56,-3.151997669
57,-3.164804626
58,-3.174804388
59,-3.187630606
60,-3.202707143
61,-3.215817612
62,-3.231084146
63,-3.245639283
64,-3.263159853
65,-3.279289527
66,-3.297530408
67,-3.314998021
68,-3.332380306
69,-3.352662802
70,-3.372691001
71,-3.393259484
72,-3.414419203
73,-3.434346722
74,-3.456111048
75,-3.48005913
76,-3.501701075
77,-3.526469089
78,-3.54885994
79,-3.572156305
80,-3.59928683
81,-3.624531956
82,-3.648631857
83,-3.670906307
84,-3.693573085
85,-3.719439983
86,-3.740478137
87,-3.761387694
88,-3.781971894
89,-3.801570609
90,-3.821028672
91,-3.842580874
92,-3.86104904
93,-3.880341201
94,-3.90076788
95,-3.924441701
96,-3.945790035
97,-3.968851267
98,-3.993056199
99,-4.017516278
100,-4.044011082
101,-4.074904223
102,-4.10433306
103,-4.138240059
104,-4.171274926
105,-4.207047583
106,-4.244887995
107,-4.285518258
108,-4.324331294
109,-4.369126855
110,-4.412675556
111,-4.460324105
112,-4.507774474
113,-4.554934099
114,-4.607260973
115,-4.656781377
116,-4.708340999
117,-4.762773915
118,-4.815418168
119,-4.868776865
120,-4.925450958
121,-4.973135671
122,-5.01435517
123,-5.059137571
124,-5.108041768
125,-5.151840982
126,-5.202289825
127,-5.250107342
128,-5.295680248
129,-5.34698663
130,-5.394589449
131,-5.443146469
132,-5.493266105
133,-5.546037201
134,-5.599333205
135,-5.655800771
136,-5.710730185
137,-5.769454723
138,-5.833642864
139,-5.893197855
140,-5.95793254
141,-6.023609416
142,-6.09082793
143,-6.162563871
144,-6.233647664
145,-6.307631031
146,-6.3854932
147,-6.466027554
148,-6.54631335
149,-6.630964932
150,-6.716688826
151,-6.806890116
152,-6.900032942
153,-6.993502657
154,-7.092726063
155,-7.196322711
156,-7.302391954
157,-7.408295447
158,-7.520822672
159,-7.634673458
160,-7.748673616
161,-7.85336509
162,-7.952067701
163,-8.053221145
164,-8.151924605
165,-8.252276841
166,-8.354474756
167,-8.457043222
168,-8.565294417
169,-8.674967562
170,-8.79007552
171,-8.908160147
172,-9.036838602
173,-9.168100965
174,-9.307357374
175,-9.453150315
176,-9.60298818
177,-9.761924457
178,-9.926621158
179,-10.09334043
180,-10.26894915
181,-10.44576923
182,-10.6295852
183,-10.80857291
184,-10.99716566
185,-11.18389774
186,-11.37201148
187,-11.58003717
188,-11.78511146
189,-11.99951332
190,-12.21921719
191,-12.4448615
192,-12.6791465
193,-12.9171229
194,-13.16451778
195,-13.41220377
196,-13.67173509
197,-13.93271323
198,-14.19321792
199,-14.45671681
200,-14.72673463
201,-14.97757656
202,-15.22991484
203,-15.47722983
204,-15.74185619
205,-16.00789648
206,-16.28630926
207,-16.57491089
208,-16.86959354
209,-17.1706526
210,-17.48193611
211,-17.80589387
212,-18.13692915
213,-18.46553686
214,-18.79373792
215,-19.12268209
216,-19.44475693
217,-19.74534836
218,-20.0289456
219,-20.28279097
220,-20.50709191
221,-20.68741296
222,-20.823512
223,-20.89448953
224,-20.90294278
225,-20.85515783
226,-20.74515899
227,-20.58520491
228,-20.3725372
229,-20.1295793
230,-19.86005076
231,-19.56571828
232,-19.25699103
233,-18.94015701
234,-18.62505875
235,-18.30865906
236,-17.99229075
237,-17.68823084
238,-17.39455178
239,-17.10013762
240,-16.82360167
241,-16.58274509
242,-16.35105445
243,-16.12301859
244,-15.89306451
245,-15.66543714
246,-15.43684533
247,-15.2133117
248,-14.98255096
249,-14.76205291
250,-14.53372914
251,-14.31255805
252,-14.08537002
253,-13.86232922
254,-13.64494705
255,-13.42719495
256,-13.21524111
257,-13.00399241
258,-12.79430813
259,-12.59610315
260,-12.39816239
261,-12.19788076
262,-12.00877972
263,-11.82067221
264,-11.63546221
265,-11.45519346
266,-11.27804572
267,-11.10743523
268,-10.94554149
269,-10.78408804
270,-10.62926693
271,-10.47496187
272,-10.3263828
273,-10.18457097
274,-10.04479324
275,-9.909660863
276,-9.780173894
277,-9.654033626
278,-9.533267353
279,-9.416053714
280,-9.30319228
281,-9.201676288
282,-9.102270768
283,-8.998093902
284,-8.893398135
285,-8.792493502
286,-8.687790936
287,-8.586531611
288,-8.485573377
289,-8.380300733
290,-8.280242735
291,-8.180953742
292,-8.08299202
293,-7.983304957
294,-7.886285475
295,-7.788932761
296,-7.695379917
297,-7.599802058
298,-7.504818048
299,-7.415957449
300,-7.326416761
301,-7.240078903
302,-7.154182894
303,-7.071345564
304,-6.989788636
305,-6.911496712
306,-6.837004153
307,-6.761708425
308,-6.689126594
309,-6.620977649
310,-6.553913626
311,-6.48779229
312,-6.42862496
313,-6.368096586
314,-6.311225621
315,-6.253216934
316,-6.195949723
317,-6.140339342
318,-6.08868027
319,-6.038257348
320,-5.990124543
321,-5.941305244
322,-5.888572521
323,-5.838946859
324,-5.789507447
325,-5.739976252
326,-5.692754824
327,-5.642031467
328,-5.59179715
329,-5.543425895
330,-5.49452786
331,-5.447687719
332,-5.398699252
333,-5.351772758
334,-5.304604945
335,-5.258098928
336,-5.212069726
337,-5.166260047
338,-5.12201115
339,-5.078337644
340,-5.035271694
341,-4.991049523
342,-4.94911321
343,-4.908017253
344,-4.86857914
345,-4.826997372
346,-4.787972469
347,-4.751446512
348,-4.715592747
349,-4.681532761
350,-4.646454582
351,-4.613188744
352,-4.581691126
353,-4.551627254
354,-4.51999958
355,-4.491838333
356,-4.463880337
357,-4.435537319
358,-4.410090201
359,-4.386479995
360,-4.361636904
361,-4.333597797
362,-4.306673789
363,-4.277086826
364,-4.24856879
365,-4.221766438
366,-4.197531863
367,-4.169441113
368,-4.141972608
369,-4.1158051
370,-4.091782298
371,-4.064498662
372,-4.040313333
373,-4.015668813
374,-3.991166969
375,-3.965629552
376,-3.941790052
377,-3.918065544
378,-3.894023873
379,-3.870930383
380,-3.847811541
381,-3.827340838
382,-3.805698927
383,-3.798323213
384,-3.777142082
385,-3.757755345
386,-3.73953698
387,-3.719555027
388,-3.704814965
389,-3.686579601
390,-3.66949738
391,-3.654845653
392,-3.639831103
393,-3.626184047
394,-3.61117096
395,-3.596532456
396,-3.581500051
397,-3.567146719
398,-3.553796728
399,-3.539108386
400,-3.526713467
