,real,imag
0,-0.6874437928,0.1870081425
1,-0.685944736,0.1933198869
2,-0.6841632128,0.1995271891
3,-0.682603538,0.2059741914
4,-0.6804795861,0.2126477957
5,-0.6786925793,0.2192078531
6,-0.6766406298,0.2257973403
7,-0.6744963527,0.2323873341
8,-0.6724585891,0.2388120443
9,-0.6700452566,0.2453656495
10,-0.6676006317,0.2522518635
11,-0.6658462882,0.2575808465
12,-0.663878262,0.2630619705
13,-0.6618384719,0.2685190439
14,-0.6596295834,0.2739127874
15,-0.6575465202,0.2794574499
16,-0.6553753614,0.2846956849
17,-0.6528580189,0.2901636958
18,-0.6508476138,0.2953805625
19,-0.6484361291,0.3009090424
20,-0.646102488,0.3060297966
21,-0.6434032321,0.3112044632
22,-0.6408750415,0.3163403273
23,-0.638279736,0.3212902248
24,-0.6356057525,0.32635957
25,-0.6331819892,0.331204623
26,-0.6303861141,0.3359095752
27,-0.6276102662,0.3407396674
28,-0.6246979833,0.3453281522
29,-0.6218618155,0.3497087657
30,-0.6187324524,0.3540745676
31,-0.6159200668,0.3584081531
32,-0.612983346,0.3627598882
33,-0.6100209355,0.3667676747
34,-0.6069163084,0.3710878193
35,-0.6038117409,0.3751200736
36,-0.6005889773,0.3791165054
37,-0.5974434018,0.3831184208
38,-0.593970716,0.3872364461
39,-0.590532124,0.3914525509
40,-0.5867440701,0.3954193592
41,-0.5827726722,0.4004648328
42,-0.5785760283,0.405361563
43,-0.5743112564,0.4102776647
44,-0.5700415373,0.4149136841
45,-0.5655553937,0.4194504023
46,-0.5615172386,0.4238518476
47,-0.5571187139,0.4284504354
48,-0.5528978109,0.4327399135
49,-0.5487601161,0.4368184805
50,-0.5446699858,0.4408144951
51,-0.5405654907,0.4447469413
52,-0.5363740325,0.4484905005
53,-0.5321493149,0.4520829618
54,-0.5280681849,0.4557320774
55,-0.5239112973,0.4592033923
56,-0.519797802,0.4623418152
57,-0.5156781077,0.4654038846
58,-0.5116709471,0.4686232805
59,-0.5071756244,0.4719831944
60,-0.5026097894,0.475094974
61,-0.4981043041,0.4783117473
62,-0.4934802055,0.481345892
63,-0.4888831675,0.4843757153
64,-0.4841626883,0.4871408343
65,-0.4793634415,0.4900833368
66,-0.4745753407,0.4927265346
