,chan1
0,-5.461172666
1,-5.566934855
2,-5.670670872
3,-5.778781701
4,-5.88607942
5,-5.996774257
6,-6.113428139
7,-6.225715392
8,-6.346428493
9,-6.464338322
10,-6.586116592
11,-6.708585656
12,-6.83434288
13,-6.961618561
14,-7.087508979
15,-7.21594956
16,-7.346520177
17,-7.478217035
18,-7.608452536
19,-7.740694152
20,-7.871572563
21,-8.002129604
22,-8.133265385
23,-8.263324986
24,-8.391336048
25,-8.514300914
26,-8.634073628
27,-8.752138955
28,-8.862639434
29,-8.96859956
30,-9.059822333
31,-9.151093594
32,-9.226284055
33,-9.294266603
34,-9.34853319
35,-9.395086612
36,-9.427843938
37,-9.449377019
38,-9.454163774
39,-9.447976704
40,-9.427134024
41,-9.391804468
42,-9.342013262
43,-9.281811747
44,-9.209614661
45,-9.126079819
46,-9.034820146
47,-8.936847471
48,-8.822752847
49,-8.704392003
50,-8.579354365
51,-8.445980505
52,-8.30598509
53,-8.16283845
54,-8.022017261
55,-7.875690141
56,-7.728287499
57,-7.58333715
58,-7.436484968
59,-7.291430168
60,-7.148691309
61,-7.007857642
62,-6.867577593
63,-6.727725152
64,-6.591688314
65,-6.459859591
66,-6.323098115
67,-6.196560044
68,-6.067478246
69,-5.943570887
70,-5.820346585
71,-5.700928477
72,-5.586788243
73,-5.469857493
74,-5.358382906
75,-5.247460446
76,-5.144572192
77,-5.039284656
78,-4.937179316
79,-4.841999346
80,-4.746671095
81,-4.660009012
82,-4.574470676
83,-4.493354126
84,-4.412566885
85,-4.336666543
86,-4.261330908
87,-4.186049625
88,-4.112402053
89,-4.041110255
90,-3.969877543
91,-3.901633318
92,-3.833851883
93,-3.769446186
94,-3.70546435
95,-3.642136785
96,-3.582322657
97,-3.524528011
98,-3.469027636
99,-3.415459034
100,-3.364656733
101,-3.316763898
102,-3.271588365
103,-3.228269599
104,-3.189308556
105,-3.152874285
106,-3.117839748
107,-3.084419229
108,-3.051830522
109,-3.022167755
110,-2.99621031
111,-2.968986871
112,-2.942593583
113,-2.922809565
114,-2.902388197
115,-2.884679394
116,-2.873150277
117,-2.858331827
118,-2.846579204
119,-2.836746758
120,-2.830310676
121,-2.820281855
122,-2.806581735
123,-2.796852376
124,-2.788165129
125,-2.778281266
126,-2.771650817
127,-2.766362979
128,-2.761068256
129,-2.760199864
130,-2.760062385
131,-2.75793032
132,-2.76145611
133,-2.765247374
134,-2.770730153
135,-2.775295099
136,-2.785073234
137,-2.795242318
138,-2.807586018
139,-2.820525683
140,-2.835303309
141,-2.85290303
142,-2.871393682
143,-2.893424161
144,-2.918109182
145,-2.945499212
146,-2.971298578
147,-3.003361136
148,-3.036552597
149,-3.07503685
150,-3.113689307
151,-3.157103299
152,-3.204943427
153,-3.255103104
154,-3.311038894
155,-3.370683429
156,-3.431358569
157,-3.493435817
158,-3.557590212
159,-3.616004428
160,-3.675356535
161,-3.729707406
162,-3.782890222
163,-3.830959453
164,-3.87232314
165,-3.903421865
166,-3.9292062
167,-3.950072172
168,-3.958720445
169,-3.961149264
170,-3.958329691
171,-3.947570147
172,-3.932911851
173,-3.914038655
174,-3.894086138
175,-3.86628336
176,-3.836247023
177,-3.80223766
178,-3.761243418
179,-3.716943128
180,-3.665794885
181,-3.607725504
182,-3.544065789
183,-3.473033737
184,-3.398195761
185,-3.315940132
186,-3.237170105
187,-3.163958223
188,-3.091182662
189,-3.023747223
190,-2.960446751
191,-2.899969089
192,-2.846181132
193,-2.792229325
194,-2.748163435
