,chan1
0,-4.748427707
1,-4.83063758
2,-4.909580347
3,-4.990687365
4,-5.07654085
5,-5.162156903
6,-5.247584084
7,-5.337453519
8,-5.426045198
9,-5.520468196
10,-5.611381034
11,-5.707125286
12,-5.800418571
13,-5.894243415
14,-5.99358616
15,-6.091859513
16,-6.189229295
17,-6.289986984
18,-6.387702272
19,-6.488710357
20,-6.591271684
21,-6.688437751
22,-6.787892697
23,-6.889109783
24,-6.98620745
25,-7.081112806
26,-7.17444821
27,-7.268403258
28,-7.360302367
29,-7.4442469
30,-7.525681316
31,-7.605428577
32,-7.676587304
33,-7.744687908
34,-7.809260273
35,-7.864909288
36,-7.91192182
37,-7.959396883
38,-7.994771449
39,-8.026114147
40,-8.053052354
41,-8.059781724
42,-8.057928092
43,-8.047381445
44,-8.03316388
45,-8.009898
46,-7.977761059
47,-7.940580044
48,-7.897068729
49,-7.847251658
50,-7.794486541
51,-7.735512274
52,-7.672534263
53,-7.605336607
54,-7.535196312
55,-7.462626865
56,-7.390031405
57,-7.31233738
58,-7.239581665
59,-7.161342261
60,-7.085500693
61,-7.009542062
62,-6.934169592
63,-6.860208612
64,-6.783820764
65,-6.710810151
66,-6.640213399
67,-6.570228693
68,-6.502240745
69,-6.436673567
70,-6.375157992
71,-6.314621687
72,-6.256598723
73,-6.19991469
74,-6.149698456
75,-6.098319833
76,-6.048971465
77,-6.005663295
78,-5.960285165
79,-5.920569845
80,-5.8816753
81,-5.844192047
82,-5.805927797
83,-5.766977856
84,-5.731756835
85,-5.694374651
86,-5.658252426
87,-5.622627975
88,-5.590084508
89,-5.558864907
90,-5.528007841
91,-5.502440497
92,-5.475809752
93,-5.451258828
94,-5.430405385
95,-5.413046986
96,-5.399428285
97,-5.386005705
98,-5.376943194
99,-5.372128706
100,-5.370381693
101,-5.372584036
102,-5.376988115
103,-5.387412107
104,-5.400351416
105,-5.417639269
106,-5.438826964
107,-5.467401524
108,-5.494515622
109,-5.527767644
110,-5.562052008
111,-5.603466958
112,-5.646234351
113,-5.696010336
114,-5.74579936
115,-5.799669485
116,-5.85793198
117,-5.91706527
118,-5.9801061
119,-6.046397671
120,-6.118462543
121,-6.180570813
122,-6.24402642
123,-6.310056027
124,-6.378565775
125,-6.454087213
126,-6.52578808
127,-6.606043276
128,-6.684589815
129,-6.769014114
130,-6.854914216
131,-6.949279263
132,-7.04641324
133,-7.147816316
134,-7.257320504
135,-7.372109667
136,-7.492972063
137,-7.620879457
138,-7.757535228
139,-7.89770198
140,-8.048680349
