,real,imag
0,-0.2919335067,0.4998615384
1,-0.2864109278,0.4967616498
2,-0.281340152,0.493688494
3,-0.2762434185,0.4905060232
4,-0.2710754871,0.4870538116
5,-0.265845269,0.4836987257
6,-0.2610693872,0.4801532626
7,-0.2562164366,0.4763820767
8,-0.2515555322,0.4726505578
9,-0.2469468266,0.4685406983
10,-0.2426774353,0.464553237
11,-0.2393005341,0.459834218
12,-0.2362717092,0.4551671445
13,-0.2334122807,0.4504433572
14,-0.2304859906,0.4454616606
15,-0.2277972549,0.4404995441
16,-0.2254026383,0.4355141819
17,-0.2230460048,0.4303655028
18,-0.2212374061,0.4251945317
19,-0.2195187956,0.4198408425
20,-0.2179269046,0.414396137
21,-0.2168506384,0.4090745151
22,-0.215813309,0.4036551714
23,-0.2149821222,0.3980817795
24,-0.2144213319,0.3926632106
25,-0.2144483477,0.3870997131
26,-0.2145037204,0.3816524744
27,-0.2147410363,0.3761046231
28,-0.2151974738,0.3705821037
29,-0.2162012011,0.3652158082
30,-0.2173755318,0.3598991036
31,-0.2187567204,0.3545539379
32,-0.2205350846,0.3494375944
33,-0.2224779576,0.3443681598
34,-0.2244593352,0.339445442
35,-0.2268220186,0.3347364664
36,-0.2293014526,0.3303895593
37,-0.2319736034,0.3258316517
38,-0.2348463684,0.3217567801
39,-0.2377646863,0.3178161979
40,-0.2406480461,0.3140916228
41,-0.2436697632,0.3113642037
42,-0.2468133271,0.3089863062
43,-0.250217855,0.3068560362
44,-0.2536740303,0.3048493862
45,-0.2573059499,0.3031866848
46,-0.2610477805,0.3019222319
47,-0.2650230229,0.3007248938
48,-0.2689884305,0.2998928726
49,-0.2731365561,0.2992645204
50,-0.2771341801,0.2989417315
51,-0.2812873423,0.2988625169
52,-0.2854770124,0.2990061045
53,-0.2897208333,0.299380213
54,-0.2939411998,0.2999852896
55,-0.2981243134,0.3008101285
56,-0.3022647202,0.3017023206
57,-0.3062714338,0.3031143248
58,-0.3099720478,0.3045236468
59,-0.313629657,0.3064085245
60,-0.3169797957,0.30848068
61,-0.3202214539,0.3107194006
62,-0.3233163059,0.3131138086
63,-0.3261970282,0.3156716526
64,-0.328902632,0.318641603
65,-0.3314620256,0.3215550184
66,-0.3336172998,0.32474491
67,-0.3357695639,0.3279326856
68,-0.3375630379,0.3313726485
69,-0.3391070068,0.3349131942
70,-0.3402464092,0.338575393
71,-0.3413161337,0.3422546685
72,-0.3419803381,0.3461600542
73,-0.3424410224,0.3501744568
74,-0.3425429165,0.3540370166
75,-0.3425258696,0.3581087887
76,-0.3421682715,0.3623437583
77,-0.3414734006,0.3664112687
78,-0.3408038318,0.3706062138
79,-0.3396772444,0.3747591078
80,-0.33839643,0.378964752
81,-0.3364083469,0.3836578429
82,-0.3341647685,0.3885896802
83,-0.3318601251,0.3935774863
84,-0.3293508887,0.3983974457
85,-0.3269298673,0.4032607079
86,-0.3242430985,0.4081907272
87,-0.321555078,0.4130301476
88,-0.3185670376,0.417812705
89,-0.3155893683,0.4224302769
90,-0.3123490214,0.4271588027
91,-0.3091618419,0.4313918352
92,-0.3059788048,0.4356483519
93,-0.3026375771,0.4398064315
94,-0.2991271615,0.4437499344
95,-0.2953982651,0.4475241899
96,-0.291596055,0.4510131478
97,-0.2877416611,0.4544652998
98,-0.2836331725,0.4577014148
99,-0.2795551717,0.4605527818
100,-0.2751404643,0.4633297622
101,-0.2704604566,0.4659191668
102,-0.26555112,0.4684207141
103,-0.2606596649,0.4704219699
104,-0.2556502223,0.4722528756
105,-0.2504501045,0.4738236964
106,-0.2450308204,0.4751801193
107,-0.2389316559,0.4763123095
108,-0.233043626,0.4773731232
109,-0.227085948,0.4779895544
110,-0.2211035341,0.478490591
111,-0.2149835527,0.4785239398
112,-0.2090510577,0.4783345759
113,-0.2028018534,0.4777784646
114,-0.1966834366,0.4771222174
115,-0.1902926713,0.4762725234
116,-0.1837652028,0.4751545489
117,-0.1768754572,0.4740744829
118,-0.1698229015,0.4727600813
119,-0.1623620987,0.4713363051
120,-0.1547338367,0.4695604444
121,-0.1472145021,0.4682806432
122,-0.1399612576,0.4667704105
123,-0.1326521039,0.4650635719
124,-0.1255438179,0.4630971253
125,-0.1183888242,0.4606902301
126,-0.1115053445,0.4583811462
127,-0.10504058,0.4554540813
128,-0.09870293736,0.4525637031
129,-0.09269477427,0.4492585957
130,-0.08714785427,0.4457686543
131,-0.08169404417,0.4418101609
132,-0.07643911988,0.4376783073
133,-0.07153992355,0.4332799017
134,-0.06644075364,0.4285245538
135,-0.06178176031,0.4234683812
136,-0.05691371858,0.4181827009
137,-0.05243332312,0.4125498235
138,-0.04794021323,0.4065600932
139,-0.04408925399,0.4004035294
140,-0.04052059352,0.3938030005
141,-0.03723264486,0.3871263564
142,-0.03433961421,0.3802811801
143,-0.03169052675,0.3732120097
144,-0.02955812961,0.366299063
145,-0.02770801447,0.3588751554
146,-0.02608261444,0.351703018
147,-0.02480427176,0.3443505466
148,-0.0237169452,0.3371181786
149,-0.02271686681,0.3297140002
150,-0.02209387533,0.3223312497
151,-0.02157250792,0.3149347603
152,-0.02116006985,0.3077148497
153,-0.02100843191,0.3005208373
154,-0.02123552002,0.2935137451
155,-0.02202467993,0.2862847447
156,-0.02297815867,0.2793939114
157,-0.0243122261,0.2727647722
158,-0.02578248829,0.2664233446
159,-0.0276701469,0.2604728937
160,-0.02946283109,0.2547913194
161,-0.03140732273,0.2499958128
162,-0.03354167193,0.2458469272
163,-0.03605549037,0.2419587523
164,-0.03868164495,0.2383374721
165,-0.04139216989,0.2350314707
166,-0.04417556524,0.2322165221
167,-0.04689120129,0.2295035422
168,-0.04952951521,0.2269697785
169,-0.05190508068,0.2245936394
170,-0.05422737822,0.2222697586
171,-0.0562376827,0.220255971
172,-0.05807061121,0.2182270437
173,-0.05987196043,0.2161948234
174,-0.06151215732,0.2142543495
175,-0.06303860247,0.212282896
176,-0.06460382044,0.2103361934
177,-0.06606341898,0.2082804441
178,-0.067383416,0.2062005401
179,-0.06874697655,0.2041424066
180,-0.06997763366,0.2019727379
181,-0.07115940005,0.199764505
182,-0.07227040082,0.1975399554
183,-0.07321009785,0.1954226047
184,-0.07404249161,0.19313097
185,-0.07475594431,0.1909489036
186,-0.07530707866,0.1886898279
187,-0.07563842088,0.1859229654
188,-0.07581336051,0.1831350625
189,-0.07594619691,0.1803417802
190,-0.07593714446,0.1771838665
191,-0.07573528588,0.173893407
192,-0.07553070039,0.1703661382
193,-0.07534840703,0.1667172462
194,-0.07521799207,0.1628465652
195,-0.07505627722,0.1588701755
196,-0.07495507598,0.154851526
197,-0.07496302575,0.1505863369
198,-0.07494844496,0.1462926418
199,-0.07508091629,0.1418935359
200,-0.07525505126,0.1376608163
201,-0.07578157634,0.1338436007
202,-0.07653688639,0.1303693354
203,-0.07758832723,0.1269945353
204,-0.0790046975,0.1235991865
205,-0.08053183556,0.1201949045
206,-0.08231054246,0.1168116033
207,-0.08432496339,0.1133688018
208,-0.08652123809,0.1098650321
209,-0.0890038982,0.1063987389
210,-0.09174767137,0.1028308645
211,-0.09456277639,0.09937867522
212,-0.09778359532,0.09585220367
213,-0.1010635048,0.09231675416
214,-0.1046443433,0.08887254447
215,-0.1083086431,0.08536041528
216,-0.1121933311,0.08194793016
217,-0.1162258908,0.07846516371
218,-0.1204326674,0.075153023
219,-0.1245825291,0.0717304796
220,-0.1288894713,0.06837745011
221,-0.1333022863,0.06510071456
222,-0.1378392577,0.06188200787
223,-0.1424212009,0.05877140909
224,-0.1470745057,0.05563383549
225,-0.1518589705,0.05257111415
226,-0.1565946341,0.04967808723
227,-0.1613255739,0.04684396088
228,-0.1661310941,0.04410394654
229,-0.1709317714,0.04138933122
230,-0.1757826656,0.03880393505
231,-0.1805095226,0.03637393937
232,-0.185332641,0.03411044553
233,-0.1900637001,0.03200634196
234,-0.194851473,0.0299652461
235,-0.1995341778,0.02809390053
236,-0.2042498589,0.02631823346
237,-0.2089386135,0.02476156503
238,-0.2135421783,0.02331232093
239,-0.2179892808,0.02216751501
240,-0.2224818021,0.02103181928
241,-0.2273830473,0.02080804296
242,-0.2324376553,0.02096972987
243,-0.2375966609,0.02123735473
244,-0.242710501,0.02170481905
245,-0.2478393018,0.02223428339
246,-0.2529834509,0.02294779383
247,-0.2581135631,0.02377592959
248,-0.2632869184,0.02470330894
249,-0.2684086561,0.02568112686
250,-0.2734639645,0.02684013359
251,-0.278683722,0.0278302934
252,-0.2839543521,0.02882813849
253,-0.2890542448,0.03001158871
254,-0.2941889763,0.03129356727
255,-0.2992422879,0.03278893232
256,-0.3041441441,0.03430276364
257,-0.3090617657,0.03589118645
258,-0.3139063418,0.03769482672
259,-0.318651706,0.03957985342
260,-0.3232930303,0.04146561399
261,-0.3278400302,0.04353670776
262,-0.3322986662,0.04551816359
263,-0.3367214501,0.04755122587
264,-0.3410380483,0.04975637794
