,chan1
0,-2.214179899
1,-2.219569763
2,-2.224352342
3,-2.226968492
4,-2.231654324
5,-2.236311543
6,-2.240500202
7,-2.24598629
8,-2.249497188
9,-2.254181406
10,-2.258184576
11,-2.263233573
12,-2.266225407
13,-2.269129109
14,-2.273238884
15,-2.277557125
16,-2.277871692
17,-2.282128921
18,-2.287482092
19,-2.29013375
20,-2.294983024
21,-2.298864791
22,-2.30445598
23,-2.30833519
24,-2.312651118
25,-2.319066843
26,-2.32458148
27,-2.331565977
28,-2.339958795
29,-2.348448792
30,-2.357292375
31,-2.364536584
32,-2.372121975
33,-2.382843863
34,-2.391671334
35,-2.401706331
36,-2.411560231
37,-2.420741012
38,-2.43263994
39,-2.444983688
40,-2.45721454
41,-2.469001965
42,-2.481153558
43,-2.494769212
44,-2.50739315
45,-2.519533071
46,-2.536068803
47,-2.548439365
48,-2.560166971
49,-2.574451447
50,-2.588247191
51,-2.605151166
52,-2.621273243
53,-2.636862725
54,-2.654245967
55,-2.668738618
56,-2.687246333
57,-2.704752934
58,-2.723763025
59,-2.744255266
60,-2.76370434
61,-2.785127957
62,-2.80556924
63,-2.828377088
64,-2.854263111
65,-2.880622281
66,-2.906069631
67,-2.932087524
68,-2.959481655
69,-2.987289063
70,-3.01573135
71,-3.046700671
72,-3.077368944
73,-3.109566582
74,-3.143424547
75,-3.178578757
76,-3.213006643
77,-3.247631411
78,-3.283408782
79,-3.32248533
80,-3.361215108
81,-3.39991538
82,-3.436563417
83,-3.472335661
84,-3.508170584
85,-3.544470654
86,-3.584121779
87,-3.618706711
88,-3.65582378
89,-3.691074404
90,-3.726102044
91,-3.760905907
92,-3.798929382
93,-3.836371749
94,-3.875561499
95,-3.912103698
96,-3.950752022
97,-3.99173652
98,-4.03224697
99,-4.074377712
100,-4.117274287
101,-4.164622408
102,-4.210457755
103,-4.261001974
104,-4.314741772
105,-4.366303304
106,-4.423732142
107,-4.479551621
108,-4.538216809
109,-4.601049579
110,-4.663448751
111,-4.729797425
112,-4.795343446
113,-4.863707362
114,-4.930879092
115,-4.996609689
116,-5.065966947
117,-5.132056963
118,-5.20030346
119,-5.266360749
120,-5.335887371
121,-5.394024536
122,-5.451352158
123,-5.510488846
124,-5.565829105
125,-5.623650486
126,-5.684048104
127,-5.741900585
128,-5.799752977
129,-5.856958061
130,-5.91966365
131,-5.979446097
132,-6.042968959
133,-6.105051006
134,-6.169405708
135,-6.235300411
136,-6.301808473
137,-6.373731983
138,-6.446225414
139,-6.519033219
140,-6.593174088
141,-6.668516911
142,-6.75012108
143,-6.832522099
144,-6.917308331
145,-7.009791334
146,-7.097796677
147,-7.192129793
148,-7.290670674
149,-7.39155015
150,-7.495830491
151,-7.605301568
152,-7.720192341
153,-7.837781703
154,-7.960914887
155,-8.088474987
156,-8.223719683
157,-8.359642459
158,-8.500849381
159,-8.648651654
160,-8.795170074
161,-8.932060724
162,-9.070040682
163,-9.210133926
164,-9.34989084
165,-9.490008704
166,-9.635853513
167,-9.784083602
168,-9.935340493
169,-10.09354057
170,-10.25945875
171,-10.43146535
172,-10.61229464
173,-10.80166799
174,-11.0012513
175,-11.21392843
176,-11.4334026
177,-11.66397351
178,-11.9066593
179,-12.15692867
180,-12.41509479
181,-12.68315086
182,-12.95862916
183,-13.24610745
184,-13.53393745
185,-13.83406297
186,-14.14786097
187,-14.48041391
188,-14.82271445
189,-15.18732843
190,-15.56127216
191,-15.95699742
192,-16.36811477
193,-16.79341299
194,-17.24854209
195,-17.72501333
196,-18.21587938
197,-18.72383936
198,-19.26149992
199,-19.80879413
200,-20.37533422
201,-20.87748362
202,-21.35457746
203,-21.81532296
204,-22.25703034
205,-22.64741287
206,-22.98694922
207,-23.25651969
208,-23.43997868
209,-23.50998263
210,-23.47011951
211,-23.32118946
212,-23.06835103
213,-22.74061301
214,-22.34571828
215,-21.89253157
216,-21.41667396
217,-20.91852
218,-20.4158209
219,-19.91960497
220,-19.42277942
221,-18.9431294
222,-18.48148873
223,-18.03225609
224,-17.60136485
225,-17.18797199
226,-16.79429376
227,-16.41214687
228,-16.05104741
229,-15.70584589
230,-15.37511286
231,-15.06577148
232,-14.7610892
233,-14.4795597
234,-14.20534362
235,-13.94616506
236,-13.69819421
237,-13.46377181
238,-13.23643825
239,-13.02132983
240,-12.8148001
241,-12.60655027
242,-12.39406353
243,-12.19067899
244,-11.99205242
245,-11.79503398
246,-11.60563007
247,-11.42224179
248,-11.24071019
249,-11.06576486
250,-10.89681463
251,-10.724325
252,-10.559594
253,-10.39735403
254,-10.24361921
255,-10.09132527
256,-9.941606793
257,-9.80174152
258,-9.661667308
259,-9.525133812
260,-9.39768643
261,-9.269969419
262,-9.14979551
263,-9.033041786
264,-8.915953649
265,-8.808578611
