,chan1
0,-2.52886139
1,-2.530212764
2,-2.531331451
3,-2.531945021
4,-2.532047546
5,-2.533188824
6,-2.534801094
7,-2.533458057
8,-2.534766704
9,-2.536834957
10,-2.538397279
11,-2.536639328
12,-2.537773196
13,-2.536089714
14,-2.535233995
15,-2.535190176
16,-2.538299086
17,-2.536675993
18,-2.536601935
19,-2.539152758
20,-2.540251545
21,-2.54030362
22,-2.542602091
23,-2.543956027
24,-2.545831407
25,-2.547668578
26,-2.55007322
27,-2.554792953
28,-2.557367442
29,-2.564189095
30,-2.567270548
31,-2.573272186
32,-2.578429225
33,-2.58415408
34,-2.589984407
35,-2.597298872
36,-2.602454226
37,-2.6109046
38,-2.618951864
39,-2.626726894
40,-2.6371607
41,-2.645793523
42,-2.652336819
43,-2.660213774
44,-2.669373327
45,-2.677971361
46,-2.68765689
47,-2.697204386
48,-2.705928286
49,-2.715271137
50,-2.725218032
51,-2.736379489
52,-2.74500303
53,-2.75424795
54,-2.767591997
55,-2.778180016
56,-2.790005225
57,-2.801096544
58,-2.816313088
59,-2.829381961
60,-2.842953436
61,-2.855981283
62,-2.873029115
63,-2.888429914
64,-2.907228494
65,-2.924065128
66,-2.943994765
67,-2.962527734
68,-2.982291155
69,-3.002322188
70,-3.022061484
71,-3.046330926
72,-3.067250437
73,-3.090571612
74,-3.114332546
75,-3.137173654
76,-3.164726355
77,-3.188315248
78,-3.214247366
79,-3.240352614
80,-3.269266152
81,-3.294613019
82,-3.322523779
83,-3.347996881
84,-3.37389885
85,-3.397216492
86,-3.422353154
87,-3.44734664
88,-3.471868741
89,-3.494131125
90,-3.516866206
91,-3.541307811
92,-3.565150221
93,-3.587526781
94,-3.612059867
95,-3.635963841
96,-3.661770599
97,-3.688543475
98,-3.71533895
99,-3.744321231
100,-3.776634453
101,-3.809486628
102,-3.844305838
103,-3.880289673
104,-3.922295562
105,-3.96096192
106,-4.004094546
107,-4.048411604
108,-4.094835758
109,-4.143531896
110,-4.194442854
