,real,imag
0,-0.6826249957,0.3043677807
1,-0.6800372601,0.3098260164
2,-0.6773096919,0.3155163825
3,-0.6745173335,0.3213199377
4,-0.6716207862,0.3273109794
5,-0.6685653925,0.3332875669
6,-0.6653941274,0.3392695189
7,-0.6624222994,0.3452859521
8,-0.6591458917,0.3512609601
9,-0.6558731794,0.356962651
10,-0.6523750424,0.3630402386
11,-0.6498876214,0.3677814007
12,-0.6470425129,0.3725687861
13,-0.6444574594,0.3773092031
14,-0.6416705847,0.38217327
15,-0.6387906075,0.3869751096
16,-0.6355842948,0.3917098641
17,-0.6328496933,0.3963756263
18,-0.6298309565,0.4011668563
19,-0.6266946197,0.4056455493
20,-0.6235538125,0.4102854133
21,-0.6204923987,0.4148927331
22,-0.6172502637,0.4193496406
23,-0.6140871644,0.4237633646
24,-0.6108466387,0.4281407297
25,-0.6076909304,0.432336092
26,-0.6043651104,0.4366207719
27,-0.6009500623,0.4406246841
28,-0.5976005197,0.4447871745
29,-0.5940813422,0.4485068023
30,-0.5908328295,0.4523434043
31,-0.5874537826,0.4558852911
32,-0.5839037299,0.4597103298
33,-0.5804276466,0.4633069932
34,-0.5770503283,0.4667146802
35,-0.5734456182,0.4701519907
36,-0.569894135,0.473762691
37,-0.565972507,0.4773236811
38,-0.5621269345,0.4807923734
39,-0.5582811236,0.4842432439
40,-0.5540891886,0.4876924455
41,-0.5495057702,0.4917521477
42,-0.5448614955,0.4960685968
43,-0.5401771665,0.5001828074
44,-0.5354845524,0.5040720701
45,-0.5307164192,0.5080381632
46,-0.5260292888,0.511716187
47,-0.5213474631,0.5153391361
48,-0.5166418552,0.5190187097
49,-0.5123159885,0.5221868157
50,-0.5077707171,0.5254439712
51,-0.5031593442,0.5285666585
52,-0.4988012016,0.5316888094
53,-0.4944425225,0.5346887112
54,-0.4898980558,0.5373436809
55,-0.4856338203,0.5400098562
56,-0.4813437462,0.5425171256
57,-0.477103889,0.5450200438
58,-0.4726645052,0.5472002625
59,-0.4678908885,0.5498608947
60,-0.463191241,0.5523552895
61,-0.4585339427,0.5548266768
62,-0.4535668194,0.5570757985
63,-0.4486461878,0.5594158769
64,-0.4437409639,0.5613398552
65,-0.4386750758,0.563552618
66,-0.4338136315,0.5652415156
67,-0.4284748733,0.5673972368
68,-0.4234541357,0.5691411495
69,-0.4181951582,0.5709922314
70,-0.4129909277,0.5727881193
71,-0.4073388577,0.5744075179
72,-0.4019037187,0.5761592984
73,-0.3964096308,0.5776700377
74,-0.390748471,0.5792070031
75,-0.384949863,0.5808769464
76,-0.3790486455,0.582112968
77,-0.3732682467,0.5836012363
78,-0.3673104048,0.5849320889
79,-0.3612680733,0.5862498283
80,-0.3551351726,0.5873124599
81,-0.3485888541,0.5888985395
82,-0.3419105113,0.5902650356
83,-0.3352572024,0.591774404
84,-0.3288109899,0.5930656791
85,-0.3224315643,0.5944906473
86,-0.3161352873,0.5956509709
87,-0.309987098,0.5966909528
88,-0.3038379252,0.5977197289
89,-0.2977801263,0.598844409
90,-0.2919312716,0.5997735858
91,-0.2864263356,0.6003457904
92,-0.2807068229,0.6010294557
93,-0.2753732502,0.6016152501
94,-0.269831419,0.6020767093
95,-0.2644401491,0.6024843454
96,-0.258995682,0.6027207971
97,-0.2535176277,0.6028558016
98,-0.248029992,0.602956593
99,-0.2427175641,0.6027739644
100,-0.2368547618,0.6025097966
101,-0.231166929,0.6020976901
102,-0.2253759205,0.601534605
103,-0.219561249,0.6008545756
104,-0.2137012035,0.5996882915
105,-0.2079543769,0.5987126231
106,-0.2021279484,0.5973912477
107,-0.1956071109,0.5961810946
108,-0.1892433167,0.5947226286
109,-0.1828738153,0.5930616856
110,-0.1767099649,0.5911427736
111,-0.1705935299,0.5891619325
112,-0.164583236,0.5868088603
113,-0.1585421264,0.5845602155
114,-0.152481243,0.5821167827
115,-0.1464774013,0.5795875192
116,-0.140240401,0.5770145655
117,-0.1338022649,0.5744582415
118,-0.1270460635,0.5718207955
119,-0.1200948283,0.5692284107
120,-0.1128959209,0.5663894415
121,-0.1059178934,0.5642556548
122,-0.09900255501,0.5620881915
123,-0.09208992124,0.5598284602
124,-0.08509450406,0.5573236346
125,-0.07859119773,0.5548014045
126,-0.07186080515,0.5520070195
127,-0.06574033201,0.5491651297
128,-0.05968063697,0.5461145043
129,-0.0541761443,0.5430603027
130,-0.0488541238,0.5400054455
131,-0.04405288771,0.5366564393
132,-0.03929615766,0.5332248807
133,-0.03449324891,0.5298005342
134,-0.02967528626,0.5261695981
135,-0.02500604466,0.5224707127
136,-0.0202334635,0.5185663104
137,-0.01539312117,0.5143799782
138,-0.01035772916,0.5102106929
139,-0.005683375057,0.5060145259
140,-0.001472272561,0.5016033053
141,0.003034051042,0.4969386458
142,0.00753781572,0.4921550751
143,0.01189632993,0.4872379303
144,0.01621660776,0.4822032154
145,0.02031217143,0.4768922329
146,0.0245451089,0.4717073739
147,0.02842369303,0.4662315845
148,0.03269479424,0.4605877995
149,0.03677721322,0.4547832012
150,0.04108443111,0.4487251937
151,0.04526770487,0.4427165091
152,0.04970058799,0.436511308
153,0.05408056825,0.4299620092
154,0.05825955421,0.4235039353
155,0.06240041554,0.4165334105
156,0.06605501473,0.4097368717
157,0.06980414689,0.4026356041
158,0.0732403025,0.3955981433
159,0.07650528103,0.3884161115
160,0.07971331477,0.381284833
161,0.08255464584,0.3746554255
162,0.08513262868,0.3683164418
163,0.08728779107,0.3621205986
164,0.08934762329,0.3558798134
165,0.09103533626,0.3497186899
166,0.09253617376,0.3437028229
167,0.09405060112,0.3374167085
168,0.0954227224,0.3313019276
169,0.09672316164,0.3248432279
170,0.09800590575,0.3183310628
171,0.0995542407,0.3115687668
172,0.1008485556,0.3046156764
173,0.1018106416,0.2974991202
174,0.1026238725,0.2904001474
175,0.103061378,0.2830108404
176,0.1035040542,0.275608927
177,0.1035310254,0.2680087984
178,0.1031659245,0.2604677975
179,0.102692008,0.2531171143
180,0.101959914,0.2454848737
181,0.1009534001,0.2380917072
182,0.09995620698,0.2307100892
183,0.09864302725,0.2233629674
184,0.09739013016,0.2162379026
185,0.09606706351,0.2090125829
186,0.09473910928,0.2019011527
187,0.09312054515,0.1945484281
188,0.09149902314,0.1873036325
189,0.08988746256,0.1800425947
190,0.08809645474,0.1727362126
191,0.08633850515,0.1653730124
192,0.08438841999,0.1580976248
