,real,imag
0,-0.4311753511,0.2853102982
1,-0.4246988595,0.2829970121
2,-0.4182731807,0.2807460725
3,-0.4118278623,0.2784171999
4,-0.4054785967,0.2758369446
5,-0.3992960155,0.2730724514
6,-0.3929170966,0.2701483667
7,-0.3867924809,0.2671017349
8,-0.3808553219,0.2635939717
9,-0.3748553693,0.2601537704
10,-0.3692032397,0.2564605474
11,-0.3642953336,0.2518061101
12,-0.359318912,0.247069329
13,-0.3545077741,0.2420420647
14,-0.3499391973,0.2368273437
15,-0.3455539942,0.2316418141
16,-0.3413212299,0.2260751277
17,-0.3374233544,0.2202599943
18,-0.3336540163,0.2142898142
19,-0.3300900459,0.2082682848
20,-0.3268935382,0.2018821836
21,-0.3238696158,0.1954429448
22,-0.3211351037,0.1888127923
23,-0.3187221289,0.1819478571
24,-0.3164804876,0.1749594063
25,-0.3147734106,0.1677675992
26,-0.3131758273,0.1603663713
27,-0.3118825257,0.1528921276
28,-0.3109406829,0.14539662
29,-0.310333997,0.1376529634
30,-0.3100104332,0.1299066991
31,-0.3100583255,0.121981144
32,-0.3105272353,0.1139724478
33,-0.311332345,0.1061312482
34,-0.3123610914,0.09814652056
35,-0.3137511313,0.09022694826
36,-0.3154626191,0.08228386194
37,-0.3173377812,0.07450696826
38,-0.3197885156,0.0667322576
39,-0.322342217,0.05908318609
40,-0.3252125382,0.05168076977
41,-0.3282631338,0.04499581084
42,-0.3317805827,0.03862479329
43,-0.3355190158,0.03244986758
44,-0.3397372067,0.02640789747
45,-0.3440268636,0.02055604011
46,-0.3487103879,0.01478312258
47,-0.3538901806,0.009192538448
48,-0.3591611683,0.003922859207
49,-0.3647440076,-0.001262864564
50,-0.3704677224,-0.006153931376
51,-0.3766082823,-0.01103163883
52,-0.3829113245,-0.01556155086
53,-0.3894933462,-0.02001317963
54,-0.3960702419,-0.02406373993
55,-0.4028792679,-0.02812938206
56,-0.4098826945,-0.03204168007
57,-0.417034626,-0.03566889837
58,-0.4242302775,-0.03895425051
59,-0.4314893484,-0.04181715474
60,-0.4390010536,-0.04437393323
61,-0.4464909136,-0.046785146
62,-0.4541420043,-0.04877841473
63,-0.4617002606,-0.0506571345
64,-0.4693541229,-0.05216362327
65,-0.4769443274,-0.05354318395
66,-0.4845504761,-0.05478709191
67,-0.4921714962,-0.05554844812
68,-0.4996927083,-0.05602808297
69,-0.5072140098,-0.05634045601
70,-0.514770031,-0.05637909845
71,-0.5220848918,-0.05621661246
72,-0.5295237899,-0.05566744879
73,-0.5367644429,-0.05512648821
74,-0.5439060926,-0.05420850962
75,-0.5509245992,-0.05297994241
76,-0.5579084754,-0.0516869612
77,-0.5647901297,-0.0500626862
78,-0.5715174079,-0.04838212207
79,-0.5781513453,-0.04639956355
80,-0.5845769048,-0.04411594197
81,-0.5906891227,-0.04082903638
82,-0.5966542959,-0.03699794412
83,-0.6023849249,-0.03302488104
84,-0.6081539989,-0.02885661088
85,-0.613748312,-0.02433130145
86,-0.6192523837,-0.01999580301
87,-0.6247311831,-0.01526858378
88,-0.6302798986,-0.01039828826
89,-0.6353825331,-0.005456245039
90,-0.6407393217,-0.0003951279214
91,-0.6458292007,0.004466003273
92,-0.6508585215,0.009139157832
93,-0.6558621526,0.01416151319
94,-0.6608126163,0.01910954341
95,-0.6654528975,0.0243216306
96,-0.6702718735,0.02940867655
97,-0.6747316718,0.03449819982
98,-0.67904073,0.03965486586
99,-0.6833124757,0.04469537735
100,-0.6873298883,0.05006229877
101,-0.6911860108,0.05545496568
102,-0.6947571635,0.06084851548
103,-0.6983935833,0.0661450848
104,-0.7016544342,0.07140537351
105,-0.7045894861,0.0765767172
106,-0.7073962092,0.08154862374
