,chan1
0,-2.239906918
1,-2.244822075
2,-2.24834494
3,-2.254071883
4,-2.258259731
5,-2.263501585
6,-2.267359603
7,-2.271812537
8,-2.276004687
9,-2.279821446
10,-2.283685464
11,-2.287876908
12,-2.291621174
13,-2.293723328
14,-2.297513553
15,-2.301276373
16,-2.306315182
17,-2.307398387
18,-2.310964357
19,-2.315143606
20,-2.319180019
21,-2.324715357
22,-2.326707391
23,-2.332145886
24,-2.336087252
25,-2.341278201
26,-2.346179591
27,-2.353232908
28,-2.360196476
29,-2.367399334
30,-2.374204737
31,-2.381402546
32,-2.387580281
33,-2.396507443
34,-2.406321203
35,-2.413670016
36,-2.42121835
37,-2.428896729
38,-2.4402869
39,-2.449361826
40,-2.458034758
41,-2.470026424
42,-2.479783294
43,-2.491300338
44,-2.500806376
45,-2.511965435
46,-2.521641388
47,-2.533859788
48,-2.543968392
49,-2.556427081
50,-2.567696638
51,-2.578432478
52,-2.590758636
53,-2.603671415
54,-2.616252725
55,-2.629150254
56,-2.639975187
57,-2.653134034
58,-2.669548621
59,-2.682365466
60,-2.701029284
61,-2.717827043
62,-2.735606367
63,-2.751395243
64,-2.770564121
65,-2.787647161
66,-2.81014017
67,-2.830813177
68,-2.853411625
69,-2.875313141
70,-2.898031293
71,-2.922097457
72,-2.945465669
73,-2.96791746
74,-2.996549018
75,-3.022327886
76,-3.049990197
77,-3.079144225
78,-3.108697328
79,-3.139145463
80,-3.166811751
81,-3.19670718
82,-3.227372305
83,-3.257129429
84,-3.288841722
85,-3.318892721
86,-3.34871772
87,-3.377290288
88,-3.4051913
89,-3.436907829
90,-3.463325575
91,-3.493087537
92,-3.522145149
93,-3.553077766
94,-3.58383279
95,-3.612880423
96,-3.64384326
97,-3.679882382
98,-3.711601516
99,-3.749281105
100,-3.785347248
101,-3.828098406
102,-3.868846201
103,-3.913129955
104,-3.95862595
105,-4.006869368
106,-4.059006902
107,-4.110708501
108,-4.164746014
109,-4.222819504
110,-4.281223457
111,-4.344240891
112,-4.405841473
113,-4.473723036
114,-4.541198832
115,-4.609285318
116,-4.679714222
117,-4.752702921
118,-4.825927061
119,-4.89979006
120,-4.977205056
121,-5.045467917
122,-5.110908066
123,-5.180613943
124,-5.250534987
125,-5.322872676
126,-5.394776053
127,-5.46768034
128,-5.541237721
129,-5.615311481
130,-5.695557873
131,-5.774117916
132,-5.854738729
133,-5.937991275
134,-6.024095805
135,-6.113821224
136,-6.204969498
137,-6.29897673
138,-6.396911589
139,-6.49562879
140,-6.600030012
141,-6.706560344
142,-6.815371366
143,-6.929470032
144,-7.049922993
145,-7.173129118
146,-7.302103107
147,-7.434557609
148,-7.570831171
149,-7.713273984
150,-7.858940597
151,-8.012939173
152,-8.169647329
153,-8.33435761
154,-8.503039643
155,-8.681981634
156,-8.867784072
157,-9.059250731
158,-9.259557349
159,-9.461883912
160,-9.67755738
161,-9.878435969
162,-10.07925724
163,-10.2845538
164,-10.49543192
165,-10.71273009
166,-10.93873885
167,-11.17371495
168,-11.41379228
169,-11.66790932
170,-11.937827
171,-12.22156371
172,-12.51868583
173,-12.83669622
174,-13.17668452
175,-13.53705375
176,-13.92384173
177,-14.33211959
178,-14.77007619
179,-15.23367282
180,-15.73014804
181,-16.26600806
182,-16.84053372
183,-17.44840197
184,-18.11598295
185,-18.83319561
186,-19.62389893
187,-20.49793109
188,-21.46841921
189,-22.53388186
190,-23.74034054
191,-25.06480604
192,-26.52864644
193,-28.05274567
194,-29.47001482
195,-30.40812539
196,-30.48773112
197,-29.68028836
198,-28.47814951
199,-27.1785474
200,-25.97464137
201,-24.87968706
202,-23.94000019
203,-23.09983258
204,-22.3663723
205,-21.72276618
206,-21.15899518
207,-20.64556717
208,-20.18135586
209,-19.76112485
210,-19.37300849
211,-19.00215375
212,-18.65080441
213,-18.31414492
214,-17.98948211
215,-17.6679473
216,-17.34524018
217,-17.03110355
218,-16.71168362
219,-16.39700229
220,-16.09113748
221,-15.77981932
222,-15.47693283
223,-15.17366567
224,-14.87646045
225,-14.58417496
226,-14.29346746
227,-14.01630935
228,-13.74115222
229,-13.47443568
230,-13.21353321
231,-12.96424097
232,-12.71986602
233,-12.48419547
234,-12.25431172
235,-12.03110907
236,-11.81758253
237,-11.61340201
238,-11.41508531
239,-11.22173421
240,-11.03881331
241,-10.85554505
242,-10.67470396
243,-10.49923378
244,-10.32321233
245,-10.15013721
246,-9.984976148
247,-9.818380701
248,-9.656035335
249,-9.495902013
250,-9.341680397
251,-9.185204134
252,-9.033646683
253,-8.882558335
254,-8.737991867
255,-8.595782241
256,-8.457803796
257,-8.318177497
258,-8.187139775
259,-8.056477961
260,-7.930068589
261,-7.809233587
262,-7.68782671
263,-7.573139577
264,-7.457843337
265,-7.345611209
266,-7.238260778
267,-7.13419758
268,-7.032020722
269,-6.932885173
270,-6.83947728
271,-6.74699428
272,-6.658241392
273,-6.571471475
274,-6.485871907
275,-6.405589552
276,-6.32837853
277,-6.251743142
278,-6.177858669
279,-6.106644726
280,-6.039584147
281,-5.972829118
282,-5.908680033
283,-5.83813079
284,-5.771422335
285,-5.701371106
286,-5.634175254
287,-5.565916539
288,-5.500415933
289,-5.435212747
290,-5.369515172
291,-5.30399334
292,-5.241597204
293,-5.179694083
294,-5.115869701
295,-5.056348588
296,-4.998082755
297,-4.938243133
298,-4.8816961
299,-4.828533848
300,-4.773681208
301,-4.72208853
302,-4.669890143
303,-4.619399786
304,-4.573764389
305,-4.52620391
306,-4.481319198
307,-4.437800455
308,-4.395373236
309,-4.356616699
310,-4.31680395
