,chan1
0,-0.1753231497
1,-0.1888467558
2,-0.1993672612
3,-0.2136762209
4,-0.2221240287
5,-0.2319053484
6,-0.2356114321
7,-0.2400676491
8,-0.2462299344
9,-0.2478191796
10,-0.2484724598
11,-0.2499860006
12,-0.2515840865
13,-0.2485853781
14,-0.2522804111
15,-0.254912431
16,-0.2552369825
17,-0.2559374202
18,-0.2575258398
19,-0.2613457202
20,-0.2637707593
21,-0.2751354218
22,-0.2837043467
23,-0.289374767
24,-0.2921925133
25,-0.2949303737
26,-0.2980149488
27,-0.2904515141
28,-0.2887127549
29,-0.2867131573
30,-0.2850655659
31,-0.284056386
32,-0.285519857
33,-0.2856001965
34,-0.2886467748
35,-0.2955156772
36,-0.3038237484
37,-0.3115481949
38,-0.3245492158
39,-0.3376362582
40,-0.3552139174
41,-0.3752608288
42,-0.3900007732
43,-0.4030567563
44,-0.4135746359
45,-0.4198217697
46,-0.4245605241
47,-0.4263051961
48,-0.4285610971
49,-0.4279531788
50,-0.4222971929
51,-0.4173577228
52,-0.4162151097
53,-0.4203170952
54,-0.4253972433
55,-0.4369634669
56,-0.4545580224
57,-0.476451621
58,-0.5017423583
59,-0.5313004318
60,-0.5648482301
61,-0.5870124615
62,-0.6044194517
63,-0.6174383164
64,-0.6257790841
65,-0.6320677562
66,-0.6340214055
67,-0.6340900636
68,-0.6353638336
69,-0.6391925099
70,-0.6421158398
71,-0.6455197613
72,-0.6503637502
73,-0.6561096945
74,-0.6613390613
75,-0.6721946033
76,-0.6875651835
77,-0.7068330769
78,-0.736296904
79,-0.766306602
80,-0.7927506547
81,-0.8184835957
82,-0.8325970263
83,-0.8377459668
84,-0.8401077608
85,-0.8489859252
86,-0.8603558358
87,-0.8807849798
88,-0.9006612409
89,-0.9179842499
90,-0.932573575
91,-0.9363801047
92,-0.9299217723
93,-0.9213800669
94,-0.9358529051
95,-0.9622065385
96,-1.003489793
97,-1.058689612
98,-1.12457115
99,-1.194459086
100,-1.26821035
101,-1.328491654
102,-1.364693218
103,-1.406800082
104,-1.45339417
105,-1.504167445
106,-1.5552944
107,-1.61039189
108,-1.66660907
109,-1.729465818
110,-1.803305456
111,-1.886093977
112,-1.975677144
113,-2.067316591
114,-2.17448548
115,-2.293546797
116,-2.430854674
117,-2.584331762
118,-2.753489386
119,-2.94237019
120,-3.151767269
121,-3.356656695
122,-3.56242589
123,-3.770960712
124,-3.981129618
125,-4.200801874
126,-4.421692309
127,-4.654814684
128,-4.909816344
129,-5.177078774
130,-5.455368448
131,-5.734476664
132,-6.01971019
133,-6.312209705
134,-6.619773326
135,-6.931293761
136,-7.229846105
137,-7.522022872
138,-7.825244617
139,-8.111965554
140,-8.401404352
141,-8.662951216
142,-8.94056468
143,-9.232216253
144,-9.520818102
145,-9.781273214
146,-9.981458223
147,-10.13770411
148,-10.28102999
149,-10.39565745
150,-10.46903771
151,-10.49432759
152,-10.45982264
153,-10.3657213
154,-10.19691279
155,-9.992118016
156,-9.775803225
157,-9.530165264
158,-9.224636818
159,-8.869761796
160,-8.498786206
161,-8.089869378
162,-7.680217719
163,-7.27772302
164,-6.900119825
165,-6.533044955
166,-6.161051873
167,-5.801379808
168,-5.489872857
169,-5.225445418
170,-4.98299462
171,-4.738927996
172,-4.500024605
173,-4.281465448
174,-4.079162916
175,-3.894535786
176,-3.715935562
177,-3.545533047
178,-3.386775245
179,-3.241749996
180,-3.10452601
181,-2.95783259
182,-2.819533906
183,-2.690616346
184,-2.579078503
185,-2.483020024
186,-2.400182072
187,-2.315981063
188,-2.234625197
189,-2.155483258
190,-2.087416702
191,-2.024591368
192,-1.983373171
193,-1.934130232
194,-1.891303322
195,-1.855626519
196,-1.8233304
197,-1.795736632
198,-1.767387066
199,-1.744600837
200,-1.7254594
