,real,imag
0,-0.3767574131,-0.9047033787
1,-0.3898772001,-0.8974653482
2,-0.4035282433,-0.8901104927
3,-0.4177722335,-0.881734848
4,-0.4321059585,-0.8737416267
5,-0.4470355213,-0.8649634123
6,-0.4593112767,-0.8580366969
7,-0.4721913338,-0.8504456282
8,-0.4852301776,-0.8422781229
9,-0.4985049069,-0.8342828751
10,-0.511677742,-0.8261833191
11,-0.524761498,-0.8177342415
12,-0.5380509496,-0.8088372946
13,-0.551205039,-0.8003383279
14,-0.563688159,-0.7910884619
15,-0.5760574341,-0.7817617655
16,-0.5882193446,-0.7726067305
17,-0.5996268988,-0.763687551
18,-0.6111246347,-0.7542897463
19,-0.622343719,-0.7445039153
20,-0.6334396005,-0.7347288132
21,-0.6446042657,-0.7232552171
22,-0.6555140018,-0.7120842934
23,-0.666836977,-0.7006202936
24,-0.6780554652,-0.6893289089
25,-0.6889589429,-0.6779969931
26,-0.6996327639,-0.666479528
27,-0.7108920217,-0.6556988358
28,-0.7209567428,-0.6449064612
29,-0.7310730219,-0.6337555647
30,-0.7417467833,-0.6215149164
31,-0.7520798445,-0.6091490984
32,-0.7619505525,-0.5964918137
33,-0.7716519833,-0.5838724375
34,-0.7806565166,-0.571202755
35,-0.7891411185,-0.5580992103
36,-0.7971397638,-0.5449781418
37,-0.8048771024,-0.5319293737
38,-0.8119327426,-0.5184197426
39,-0.8185143471,-0.5052087307
40,-0.8242252469,-0.4920541048
41,-0.8301909566,-0.4774974585
42,-0.8365473151,-0.4629272819
43,-0.8429616094,-0.4480902553
44,-0.8495607376,-0.4329101443
45,-0.8562806249,-0.4179010391
46,-0.8626119494,-0.4034456015
47,-0.8688064814,-0.38945961
48,-0.8746699691,-0.3754799366
49,-0.8804351687,-0.3619302213
50,-0.8865410089,-0.3484042287
51,-0.8925915956,-0.3341455758
52,-0.8980172873,-0.3196513653
53,-0.9024431705,-0.3055332601
54,-0.907015264,-0.2898557186
55,-0.9102599025,-0.2751516402
56,-0.9122833014,-0.2614662349
57,-0.9134550691,-0.2483877093
58,-0.9140800238,-0.235268265
59,-0.9143483043,-0.2209474891
60,-0.9141435027,-0.2058723569
61,-0.9152209163,-0.18958579
62,-0.9166043401,-0.1729572713
63,-0.9180842042,-0.1568272859
64,-0.9196031094,-0.1419123411
65,-0.9209293723,-0.1282391548
66,-0.9224078655,-0.1154603437
67,-0.9239414334,-0.102400817
68,-0.9252663851,-0.0882179141
69,-0.9261447191,-0.07345050573
70,-0.926830709,-0.05952354521
71,-0.9272546172,-0.04562124237
72,-0.9272992611,-0.0322136879
73,-0.9270547628,-0.01878341287
74,-0.9266750216,-0.004701778758
75,-0.9254716635,0.01034752
76,-0.9235072136,0.02670120262
77,-0.9208064079,0.04376633093
78,-0.9168093801,0.05928499624
79,-0.9125341177,0.07431913912
80,-0.9084507823,0.08871587366
81,-0.9040584564,0.1044490784
82,-0.9007716775,0.1189727783
83,-0.898268044,0.1329679787
84,-0.8956953287,0.1478091478
85,-0.8921858668,0.1626008749
86,-0.8877039552,0.1796274483
87,-0.8821263313,0.1956730038
88,-0.8765726089,0.2105403244
89,-0.8711460829,0.2248911411
90,-0.8660732508,0.2380628884
91,-0.8618298173,0.2515936792
92,-0.8583016396,0.2656461298
93,-0.8542339802,0.2812883556
94,-0.847576797,0.296245575
95,-0.8390268683,0.3119371235
96,-0.8285511136,0.3274038136
97,-0.8166738749,0.3416282237
98,-0.8036130667,0.3550686836
99,-0.7898119688,0.3684332669
100,-0.7757228613,0.380802393
101,-0.7622626424,0.394231528
102,-0.7498109341,0.4100401998
103,-0.7365852594,0.4251407981
104,-0.722862184,0.4393793344
105,-0.7088785768,0.4525018632
106,-0.6952140927,0.464399308
107,-0.6811009645,0.475687921
108,-0.666917026,0.4863360822
109,-0.6523597836,0.4959215224
110,-0.6368434429,0.5046000481
111,-0.6204708815,0.5125824809
112,-0.6035202742,0.5198694468
113,-0.5862406492,0.5268535614
114,-0.5676779151,0.5327774286
115,-0.5476195216,0.5383605957
116,-0.5263806581,0.5424846411
117,-0.5039624572,0.5454804301
118,-0.4814049304,0.5465412736
119,-0.457931459,0.5460594893
120,-0.4343460202,0.5434325337
121,-0.4124231339,0.5399814844
122,-0.3924715817,0.5350466371
123,-0.3737236559,0.5291472077
124,-0.3557980061,0.522731781
125,-0.3387239277,0.5151556134
126,-0.3236140907,0.506500721
127,-0.3085986078,0.4971467555
128,-0.2939346135,0.4862771928
129,-0.2802852094,0.4743769169
130,-0.267873913,0.4615118504
131,-0.2570697367,0.4482637644
132,-0.2471197695,0.4347217977
133,-0.2377136201,0.4210189879
134,-0.229936868,0.4060928226
135,-0.2232376635,0.390989542
136,-0.2184022516,0.3762200475
137,-0.2136682123,0.3623180389
138,-0.2093002945,0.3481238186
139,-0.2056687027,0.3348968625
140,-0.2019114047,0.3220699131
141,-0.1980876774,0.3111482859
142,-0.1953950226,0.2990787029
143,-0.1942628771,0.2856568396
144,-0.1948022395,0.2715094388
145,-0.1979041845,0.2569032609
146,-0.203083232,0.2432797849
147,-0.2088236064,0.230806604
148,-0.2147784531,0.2181838304
149,-0.2220697403,0.2048837543
150,-0.2302943617,0.1916436106
151,-0.2395426482,0.1784962118
152,-0.2501115799,0.1655222923
153,-0.2617505193,0.1530047208
154,-0.2747764289,0.1416512728
155,-0.2876804173,0.1319910288
156,-0.3005115986,0.1224363968
157,-0.31426543,0.1125275642
158,-0.3293491006,0.1052402928
159,-0.3459657729,0.100163497
160,-0.3630890846,0.09726024419
161,-0.3816517591,0.0979045704
162,-0.4006711543,0.1003110781
163,-0.4197468758,0.104780145
164,-0.4380686879,0.1107428819
165,-0.4564843178,0.1174616069
166,-0.4756325185,0.1257695556
167,-0.4940946102,0.1371632665
168,-0.509817183,0.150275439
169,-0.5229902864,0.1634383947
170,-0.5352877975,0.1758846194
171,-0.5478336215,0.1889413148
172,-0.5598252416,0.2034872919
173,-0.5702254176,0.2190141678
174,-0.5794173479,0.2349292934
175,-0.5872817636,0.2509846389
