,real,imag
0,-0.3748140633,-0.9209302664
1,-0.3879548013,-0.9139325619
2,-0.4019041359,-0.9064056277
3,-0.4162227213,-0.8986337781
4,-0.4310285449,-0.8903353214
5,-0.4463294744,-0.8816079497
6,-0.4587413371,-0.8746198416
7,-0.4715947509,-0.8671013713
8,-0.4850650728,-0.8592298031
9,-0.4985944927,-0.8512009978
10,-0.5123012066,-0.8426116705
11,-0.525832355,-0.8341032267
12,-0.5394360423,-0.8251955509
13,-0.5526368618,-0.8164309263
14,-0.565557301,-0.806997478
15,-0.5784514546,-0.7975631356
16,-0.5905591846,-0.7884446383
17,-0.6023782492,-0.7789078951
18,-0.6141047478,-0.7695423961
19,-0.62585783,-0.7596560121
20,-0.6372969747,-0.749434948
21,-0.6490239501,-0.7380788922
22,-0.6601086855,-0.7262746096
23,-0.6715961099,-0.7144734859
24,-0.6830509305,-0.7028905749
25,-0.6944396496,-0.6911337376
26,-0.7059300542,-0.6797584891
27,-0.7168710828,-0.6683021188
28,-0.7274624705,-0.6568780541
29,-0.7379088998,-0.6459199786
30,-0.7488967776,-0.6335344315
31,-0.7595099807,-0.6207873225
32,-0.7696104646,-0.608105123
33,-0.7793793678,-0.5955210328
34,-0.7886298895,-0.5824773312
35,-0.7978359461,-0.5692989826
36,-0.8060732484,-0.556274116
37,-0.8143249154,-0.5432712436
38,-0.8217647076,-0.5298812389
39,-0.82862854,-0.516585052
40,-0.8347429633,-0.5034962296
41,-0.8412340283,-0.4891814291
42,-0.8478739262,-0.4745629728
43,-0.8545856476,-0.4597930014
44,-0.8617577553,-0.4450228512
45,-0.8686623573,-0.430121243
46,-0.8755810261,-0.4160587788
47,-0.8822516799,-0.4022164047
48,-0.8890414238,-0.3885546625
49,-0.8957212567,-0.3753244281
50,-0.9022933245,-0.361721158
51,-0.9091300368,-0.3476672769
52,-0.9152780175,-0.3334579766
53,-0.9205728173,-0.319283247
54,-0.9261065125,-0.3036917746
55,-0.9303107262,-0.2887721956
56,-0.9332901239,-0.274933368
57,-0.9354112148,-0.2614939213
58,-0.9373272657,-0.2480517477
59,-0.9383538961,-0.2333923578
60,-0.939258635,-0.2176470608
61,-0.9410763383,-0.200811848
62,-0.943341732,-0.1835015863
63,-0.945723474,-0.1665922105
64,-0.9481301308,-0.1507319063
65,-0.9504227638,-0.1363608837
66,-0.9525568485,-0.1229199022
67,-0.9546086788,-0.1092132106
68,-0.956840694,-0.09470312297
69,-0.9587972164,-0.07905885577
70,-0.9609984756,-0.06434103847
71,-0.9624509811,-0.04938324913
72,-0.9636601806,-0.03435337171
73,-0.9644328952,-0.01923607849
74,-0.9648757577,-0.004019932821
75,-0.964204073,0.01277953107
76,-0.9631596804,0.03064473718
77,-0.9610973001,0.05004370585
78,-0.9574911594,0.06770013273
79,-0.9535297751,0.08400265127
80,-0.9493064284,0.1003397778
81,-0.9451885819,0.1168885082
82,-0.942615211,0.1329760849
83,-0.9405758977,0.1484943181
84,-0.9388836622,0.1643866599
85,-0.9361810088,0.1812894791
86,-0.9322718978,0.2001689523
87,-0.9271855354,0.2182545513
88,-0.9217931032,0.2353000939
89,-0.91655159,0.2511746585
90,-0.9116931558,0.2661314011
91,-0.9078515172,0.28132689
92,-0.9043885469,0.2973879874
93,-0.9009481668,0.3149441481
94,-0.8951352835,0.3317357302
95,-0.8873615861,0.3492151201
96,-0.8774760365,0.366822809
97,-0.8664028049,0.383464694
98,-0.8539372683,0.3997752666
99,-0.8404411077,0.4159268737
100,-0.8264859915,0.430791676
101,-0.8130486012,0.4471221566
102,-0.800824523,0.4656096101
103,-0.7883081436,0.4834718406
104,-0.775541842,0.5011793375
105,-0.7626268864,0.5179767609
106,-0.7496288419,0.5348394513
107,-0.7360315919,0.5509573221
108,-0.7222294211,0.5669409037
109,-0.7075912952,0.5822259784
110,-0.6910165548,0.5971701741
111,-0.6736903787,0.61157763
112,-0.6549377441,0.625361681
113,-0.6353862882,0.638684094
114,-0.6146561503,0.6510575414
115,-0.5926020741,0.6635492444
116,-0.5693486333,0.6754688621
117,-0.5443567038,0.6866480112
118,-0.5187121034,0.6967833638
119,-0.4919196665,0.7063670158
120,-0.464037925,0.7152017355
121,-0.4358675778,0.7249584794
122,-0.4069925547,0.7337982059
123,-0.376507014,0.7410658002
124,-0.3452600837,0.7470638752
125,-0.3124709129,0.7512260675
126,-0.2803169787,0.7537863851
127,-0.2465204746,0.7544789314
128,-0.2107494324,0.75321877
129,-0.1733241975,0.7493726015
130,-0.1348019987,0.7428073287
131,-0.0949376747,0.7333836555
132,-0.05444542319,0.7204149365
133,-0.01297171786,0.7036042213
134,0.02850311249,0.6824861765
135,0.06945639104,0.6571289897
136,0.1096227914,0.6269111633
137,0.1484832168,0.5923628807
138,0.185707882,0.553360641
139,0.2205360681,0.5094453692
140,0.2519496381,0.4610544741
141,0.2788622379,0.4102163017
142,0.3004942238,0.3558390439
143,0.3161152601,0.2975413501
144,0.3250726461,0.2352546751
145,0.3264350295,0.1704311967
146,0.3196201622,0.1041321531
147,0.3043580651,0.03738704696
148,0.2803335488,-0.02814376727
149,0.2480750531,-0.09090532362
150,0.2078664899,-0.1497330964
151,0.1610161066,-0.2029758692
152,0.1084740758,-0.2497224957
153,0.05162160844,-0.2890512645
154,-0.008128245361,-0.320104003
155,-0.06918589026,-0.3426105976
156,-0.1266420037,-0.3573099077
157,-0.1844377965,-0.3688954115
158,-0.2444509119,-0.3715017736
159,-0.3008882105,-0.367164582
160,-0.3542903662,-0.3570891321
161,-0.4057006538,-0.340626508
162,-0.4540137947,-0.3201389611
163,-0.4987154603,-0.2964881361
164,-0.5398468375,-0.2695282996
165,-0.5777078867,-0.2402314246
166,-0.611569941,-0.2100096941
167,-0.641784668,-0.1785576195
168,-0.6687143445,-0.1464092135
169,-0.6925322413,-0.1137698069
170,-0.7133466005,-0.08035549521
171,-0.7310267687,-0.04707112536
172,-0.7458827496,-0.0134725105
173,-0.7578965425,0.01863270625
174,-0.7676904202,0.05147677287
175,-0.7751901746,0.08284067363
176,-0.7802740932,0.1132984161
177,-0.7834822536,0.1430103481
178,-0.7851630449,0.1709928513
179,-0.7853935957,0.197818473
180,-0.7846047282,0.2227327526
181,-0.7846515775,0.2474098206
182,-0.7833770514,0.273137629
183,-0.7814101577,0.297831744
184,-0.7782125473,0.3224050105
185,-0.7739081383,0.3473742008
186,-0.7685810328,0.3726471364
187,-0.7615439296,0.398680985
188,-0.7537688613,0.4240594208
189,-0.744800806,0.4490587711
190,-0.7372584343,0.469750762
191,-0.7289267182,0.4893278182
192,-0.7241908312,0.5001271963
193,-0.7149771452,0.5182617307
194,-0.7050027251,0.5361657143
195,-0.6942903996,0.5534004569
196,-0.6830766201,0.5703055263
197,-0.6715835333,0.5860204101
198,-0.6598684192,0.6016761661
199,-0.6477081776,0.6169060469
200,-0.6355146766,0.6316614747
