,chan1
0,-0.4988066121
1,-0.5165217853
2,-0.5286403236
3,-0.5411608883
4,-0.5557257796
5,-0.5667471166
6,-0.5754633525
7,-0.5828298398
8,-0.5902588121
9,-0.5987088636
10,-0.6067151019
11,-0.6147421341
12,-0.6202774365
13,-0.6265256742
14,-0.6346256703
15,-0.6403675362
16,-0.6496819225
17,-0.6539768564
18,-0.662463755
19,-0.6711509177
20,-0.679517414
21,-0.6952898702
22,-0.711688563
23,-0.7250997295
24,-0.7357813005
25,-0.742956025
26,-0.7481618416
27,-0.753806229
28,-0.7595940243
29,-0.7608724913
30,-0.7674572848
31,-0.7719347624
32,-0.7813767935
33,-0.7917073205
34,-0.8028767913
35,-0.8161811692
36,-0.8328778876
37,-0.8516807555
38,-0.8734130211
39,-0.8975786429
40,-0.923128878
41,-0.9537680077
42,-0.9810837983
43,-1.00205465
44,-1.022433768
45,-1.036808711
46,-1.049874411
47,-1.059697289
48,-1.068944366
49,-1.077470521
50,-1.081828145
51,-1.087476041
52,-1.097673938
53,-1.114417297
54,-1.132574601
55,-1.159077491
56,-1.191406206
57,-1.22759567
58,-1.266621368
59,-1.312574813
60,-1.362156844
61,-1.400174114
62,-1.436210557
63,-1.469595143
64,-1.499253858
65,-1.52634373
66,-1.552757178
67,-1.577610998
68,-1.602094742
69,-1.626537391
70,-1.649339411
71,-1.676213485
72,-1.701851385
73,-1.729693645
74,-1.76483789
75,-1.806641625
76,-1.854937173
77,-1.912021758
78,-1.981041673
79,-2.055332115
80,-2.130067369
81,-2.208536603
82,-2.270304021
83,-2.32538173
84,-2.379388746
85,-2.445045333
86,-2.519897882
87,-2.604336044
88,-2.697626393
89,-2.794366365
90,-2.891307984
91,-2.983788164
92,-3.06795502
93,-3.149175964
94,-3.257717578
95,-3.376840071
96,-3.514144882
97,-3.669032757
98,-3.843762379
99,-4.033398355
100,-4.238180368
101,-4.43510164
102,-4.617996303
103,-4.810264312
104,-5.002749045
105,-5.194270127
106,-5.383904782
107,-5.573391632
108,-5.760810864
109,-5.947890596
110,-6.148967086
111,-6.35413855
112,-6.561659461
113,-6.757117176
114,-6.942372696
115,-7.106538958
116,-7.249331258
117,-7.381231933
118,-7.500751063
119,-7.609901751
120,-7.715322795
121,-7.764283859
122,-7.78423484
123,-7.771658653
124,-7.74023781
125,-7.68623672
126,-7.588493699
127,-7.457803438
128,-7.300465392
129,-7.114966511
130,-6.916860316
131,-6.709941952
132,-6.50572609
133,-6.303088253
134,-6.096836891
135,-5.893647337
136,-5.690580852
137,-5.497960563
138,-5.316520975
139,-5.153984046
140,-4.994831745
141,-4.83049034
142,-4.660829559
143,-4.493920563
144,-4.331357948
145,-4.173950816
146,-4.015025043
147,-3.864135185
148,-3.720986695
149,-3.581508059
150,-3.454245188
151,-3.336909586
152,-3.232956292
153,-3.140604747
154,-3.056370386
155,-2.979492756
156,-2.908970039
157,-2.846342396
158,-2.780970519
159,-2.716034984
160,-2.656240941
161,-2.578909081
162,-2.497676367
163,-2.419692096
164,-2.340754638
165,-2.264188712
166,-2.189602121
167,-2.12242606
168,-2.058404766
169,-1.997786888
170,-1.942341649
171,-1.892532868
172,-1.849826498
173,-1.809986034
174,-1.777036991
175,-1.747728059
176,-1.721380706
177,-1.697798771
178,-1.678379594
179,-1.66098843
180,-1.647128541
181,-1.603683737
182,-1.5604922
183,-1.51962619
184,-1.480514656
185,-1.446018164
186,-1.410449372
187,-1.380110591
188,-1.348090161
189,-1.318449615
190,-1.295650133
191,-1.27362749
192,-1.270164138
193,-1.253957539
194,-1.240448932
195,-1.231817892
196,-1.222503196
197,-1.21669738
198,-1.204289134
199,-1.196059624
200,-1.187431868
