,real,imag
0,-0.3734319508,-0.9241498113
1,-0.3871669769,-0.9171030521
2,-0.4011045694,-0.9097371101
3,-0.4158394039,-0.9017668366
4,-0.4305602908,-0.8934296966
5,-0.4459204972,-0.8847439289
6,-0.458517462,-0.8776743412
7,-0.4717571139,-0.8702825308
8,-0.4849318266,-0.8622942567
9,-0.4987760782,-0.8541453481
10,-0.5122364163,-0.8459189534
11,-0.5260862112,-0.8370793462
12,-0.5394439101,-0.8285599947
13,-0.5529393554,-0.8196198344
14,-0.5662388206,-0.8100019693
15,-0.5787366629,-0.8007443547
16,-0.5909417272,-0.7915410399
17,-0.6030424237,-0.7823500037
18,-0.6149815917,-0.7726566195
19,-0.6266134977,-0.7629774213
20,-0.6382582188,-0.7527424693
21,-0.6500151157,-0.7412501574
22,-0.6611407995,-0.7297616005
23,-0.6727880836,-0.717870295
24,-0.6842467785,-0.7066304088
25,-0.6958364248,-0.6948001981
26,-0.7071971893,-0.6831849813
27,-0.7182392478,-0.6717014909
28,-0.7289893031,-0.6606744528
29,-0.739394486,-0.6493532062
30,-0.7503669858,-0.6369732022
31,-0.7613602877,-0.624404788
32,-0.7713158727,-0.6115086079
33,-0.7812455893,-0.598895967
34,-0.7907701135,-0.586247921
35,-0.7999147773,-0.5728672743
36,-0.8083104491,-0.5595880151
37,-0.8161783218,-0.5462402701
38,-0.8239821196,-0.5328568816
39,-0.8307036161,-0.5196113586
40,-0.8369870186,-0.5062505007
41,-0.8435195088,-0.4917855263
42,-0.8501644731,-0.4769832194
43,-0.8569388986,-0.4621500969
44,-0.8638202548,-0.4474924803
45,-0.8713204265,-0.431987673
46,-0.8776973486,-0.4179965854
47,-0.8846187592,-0.4040042162
48,-0.8911424875,-0.3901418149
49,-0.8979460597,-0.3768210709
50,-0.9046866894,-0.3631658852
51,-0.9114836454,-0.3488311172
52,-0.9177917838,-0.3346159756
53,-0.9231833816,-0.3203242421
54,-0.9288672209,-0.304492563
55,-0.9329427481,-0.2897368371
56,-0.9362971187,-0.2754867971
57,-0.9387263656,-0.262052685
58,-0.9404410124,-0.248137027
59,-0.9417724609,-0.2333449572
60,-0.9424270988,-0.2173062414
61,-0.944595933,-0.2003141046
62,-0.9469892383,-0.1827603877
63,-0.9494116902,-0.1655280143
64,-0.9516909122,-0.1495326012
65,-0.9539515376,-0.1348262131
66,-0.9561357498,-0.1210734397
67,-0.9586095214,-0.1071444601
68,-0.960736692,-0.09226878732
69,-0.9627485871,-0.07639617473
70,-0.9650364518,-0.06118857488
71,-0.9664902687,-0.04617312551
72,-0.9676424861,-0.03108932264
73,-0.968216598,-0.01563952118
74,-0.9688850641,0.0002432759793
75,-0.968208909,0.01717037521
76,-0.9669473767,0.03561463952
77,-0.9646248817,0.05502541736
78,-0.9612261653,0.07266855985
79,-0.9568203092,0.09017319977
80,-0.9525049329,0.1069694683
81,-0.9484959841,0.1240964159
82,-0.9455574751,0.1404831111
83,-0.9435412884,0.1561266631
84,-0.9415843487,0.173007071
85,-0.9384071827,0.1902366281
86,-0.9341697097,0.2099597007
87,-0.9286023974,0.2286593914
88,-0.9227508903,0.2462201715
89,-0.9171031117,0.2626424134
90,-0.9118946791,0.2783761621
91,-0.9074627757,0.2941914797
92,-0.9035561085,0.3109565079
93,-0.8993558884,0.3291265965
94,-0.8926408887,0.3469700515
95,-0.8839318156,0.3650650978
96,-0.8731793165,0.3833684623
97,-0.861128211,0.4008721709
98,-0.8477048874,0.4177069366
99,-0.8332129717,0.4344083071
100,-0.8179898262,0.4501627982
101,-0.8034526706,0.467569828
102,-0.789832294,0.4865406752
103,-0.7757757306,0.505396843
104,-0.7615798116,0.523843646
105,-0.7470898628,0.5416736007
106,-0.7319324613,0.5591702461
107,-0.7168293595,0.5761625767
108,-0.7005089521,0.5928170681
109,-0.6835318208,0.6089949012
110,-0.6646933556,0.6244421601
111,-0.6446846724,0.6392641664
112,-0.6233383417,0.653631866
113,-0.6006676555,0.6676166058
114,-0.5765560865,0.6805785298
115,-0.5508006811,0.6929809451
116,-0.5231654644,0.7047182918
117,-0.4939854741,0.715937078
118,-0.4639407992,0.7259312868
119,-0.4321902692,0.7346992493
120,-0.3987003267,0.743249774
121,-0.3645710349,0.7511177063
122,-0.3292686641,0.7579451799
123,-0.2923622429,0.7624880672
124,-0.2536714077,0.7652331591
125,-0.2128262669,0.7652235627
126,-0.1726558357,0.7626554966
127,-0.1297469288,0.7567862868
128,-0.08501578867,0.7470046878
129,-0.03955488652,0.7328656316
130,0.00747872889,0.7143371701
131,0.05421808735,0.6909496784
132,0.1015079394,0.6621214747
133,0.1479400545,0.6275035143
134,0.192591399,0.5866395235
135,0.2344133705,0.5398368239
136,0.2743641734,0.4867466688
137,0.308719039,0.4257225096
138,0.3360990584,0.3598148823
139,0.3566600084,0.2892268598
140,0.3690896928,0.2149463743
141,0.3713950813,0.1405498683
142,0.3640735149,0.06567514688
143,0.3461779356,-0.009477591142
144,0.3176793456,-0.08306356519
145,0.2785109878,-0.1528163999
146,0.2300143391,-0.2169287652
147,0.1733715236,-0.2738232911
148,0.1105533317,-0.3223572969
149,0.04282521456,-0.3620499969
150,-0.02753061801,-0.3926415443
151,-0.09915918857,-0.4137727618
152,-0.1703684181,-0.4257374108
153,-0.2395164371,-0.4287276864
154,-0.3049598932,-0.4237442911
155,-0.3650773168,-0.4109247029
156,-0.4156645536,-0.3966074884
157,-0.4681409597,-0.3811992705
158,-0.5180289149,-0.3563350737
159,-0.5616996288,-0.3279515505
160,-0.5999683738,-0.2974085212
161,-0.6348098516,-0.2640518248
162,-0.6659830809,-0.22962147
163,-0.6937149763,-0.1948212683
164,-0.7183145881,-0.1594960243
165,-0.7400656343,-0.1235906407
166,-0.7585884929,-0.08926670998
167,-0.774704814,-0.0549530834
168,-0.7882143855,-0.02118278667
169,-0.7996580601,0.01184931397
170,-0.8087376952,0.04484219477
171,-0.8160493374,0.07728238404
172,-0.8210610747,0.1090087071
173,-0.8244538307,0.1399221122
174,-0.8259974718,0.1697251797
175,-0.8256559968,0.199314028
176,-0.8242774606,0.22703664
177,-0.821208477,0.2535806596
178,-0.817504406,0.2785261571
179,-0.8126100898,0.3019211888
180,-0.8074085116,0.3238451481
181,-0.8035600781,0.345325768
182,-0.7984320521,0.3680895865
183,-0.7929680347,0.3899880052
184,-0.7868390083,0.4114125967
185,-0.7794071436,0.4335218966
186,-0.7705823183,0.4562515318
187,-0.7609844804,0.4786438644
188,-0.7509401441,0.5014969707
189,-0.7402706742,0.5237060189
190,-0.7304435372,0.5420746207
191,-0.7206522226,0.5591955781
192,-0.7149499655,0.5677276254
193,-0.7044488192,0.5838716626
194,-0.6929141283,0.5995422006
195,-0.6813634634,0.6147421002
196,-0.6690354943,0.6296243668
197,-0.6565761566,0.6434631348
198,-0.6439733505,0.6575592756
199,-0.6311928034,0.6710002422
200,-0.6178479195,0.6841644049
