,real,imag
0,-0.4229258597,-0.9044983387
1,-0.4356910288,-0.8967705369
2,-0.4492087364,-0.8884589672
3,-0.4632661641,-0.880015552
4,-0.4778141379,-0.8707844615
5,-0.4925734699,-0.8614758253
6,-0.5042688847,-0.853757441
7,-0.5172652006,-0.845580399
8,-0.5301231146,-0.8370423317
9,-0.5430867076,-0.8280929327
10,-0.5562175512,-0.8190120459
11,-0.5694702864,-0.8097276092
12,-0.5825284123,-0.8002353311
13,-0.5953515768,-0.7908090949
14,-0.6077852845,-0.7805550098
15,-0.6199684739,-0.7704627514
16,-0.6316396594,-0.7607539892
17,-0.6430872083,-0.7507181764
18,-0.6542158723,-0.7405726314
19,-0.6654129028,-0.7301208377
20,-0.6767014861,-0.7191352248
21,-0.6873751283,-0.7073042989
22,-0.6979878545,-0.6950042248
23,-0.7093062997,-0.6824953556
24,-0.720089972,-0.6704931259
25,-0.731107235,-0.6581135988
26,-0.742135942,-0.646147728
27,-0.7521582842,-0.6340261102
28,-0.7625289559,-0.6225070953
29,-0.7723027468,-0.6105163693
30,-0.7829204798,-0.5977191925
31,-0.7930175066,-0.5848034024
32,-0.8023582101,-0.5716774464
33,-0.8117089272,-0.5585178137
34,-0.8203444481,-0.5452677011
35,-0.8286815286,-0.5315198302
36,-0.8366674781,-0.5180725455
37,-0.8438477516,-0.5044756532
38,-0.8506699204,-0.4906716049
39,-0.8570047617,-0.4773033857
40,-0.8627439141,-0.4639349282
41,-0.8683009744,-0.4492834806
42,-0.8744484186,-0.4342899024
43,-0.8805602193,-0.419429481
44,-0.8871039152,-0.4041022956
45,-0.8939685225,-0.389077127
46,-0.9001166224,-0.3747933507
47,-0.9065122604,-0.3605710566
48,-0.912748754,-0.3465783298
49,-0.9187359214,-0.3328517675
50,-0.9249639511,-0.3185804188
51,-0.9311165214,-0.3040519357
52,-0.9364063144,-0.2892730236
53,-0.941044271,-0.2746725678
54,-0.9455845952,-0.2588792741
55,-0.9489172697,-0.2436877191
56,-0.9511523843,-0.2297630459
57,-0.9527382851,-0.2162609398
58,-0.953469336,-0.2021963894
59,-0.9539669156,-0.1875959188
60,-0.9539583921,-0.1716149598
61,-0.9553157091,-0.1545758843
62,-0.9566764235,-0.1369922459
63,-0.9583123326,-0.1198613793
64,-0.9600961208,-0.1037238464
65,-0.9615005255,-0.08919776976
66,-0.9630818367,-0.07520769536
67,-0.9648575187,-0.06139895692
68,-0.9664402008,-0.04683981836
69,-0.9676184654,-0.03082089126
70,-0.9687748551,-0.0159445405
71,-0.9695463181,-0.0008543109288
72,-0.9701646566,0.01425999403
73,-0.9701100588,0.02958560362
74,-0.9695126414,0.04521621391
75,-0.9682859182,0.06210066751
76,-0.9662747383,0.08034572005
77,-0.9630388618,0.09932551533
78,-0.9584228992,0.1172140986
79,-0.9536002278,0.1339522749
80,-0.9483756423,0.150014326
81,-0.9431834817,0.1667758971
82,-0.9398733377,0.182624653
83,-0.9373701811,0.1979075521
84,-0.9346709251,0.2142947465
85,-0.9313678145,0.2307675034
86,-0.9264008999,0.2499543428
87,-0.9205392003,0.2680974007
88,-0.9143432975,0.2850181758
89,-0.9082460403,0.3007347584
90,-0.9029870033,0.3158647716
91,-0.8979585171,0.3310852349
92,-0.8938828707,0.3469316065
93,-0.8893569112,0.3644279838
94,-0.8825075626,0.3811451197
95,-0.8738290668,0.3985322118
96,-0.8629915714,0.4156923294
97,-0.8509558439,0.4320365489
98,-0.837356329,0.4478180408
99,-0.8234238029,0.4635892212
100,-0.8086110353,0.4782217443
101,-0.7946313024,0.4940166175
102,-0.7814753056,0.5122637749
103,-0.7683702111,0.5298104286
104,-0.7547945976,0.5468859673
105,-0.7411352992,0.5637327433
106,-0.7275073528,0.5798949003
107,-0.7133513689,0.595969975
108,-0.6985331774,0.611328423
109,-0.6831544638,0.6266781688
110,-0.6659699082,0.6411011219
111,-0.6476302147,0.655010283
112,-0.6281964779,0.668536067
113,-0.6077762246,0.6812635064
114,-0.5861714482,0.6935671568
115,-0.5634132624,0.7050491571
116,-0.5394054055,0.716398716
117,-0.5134475231,0.7269257903
118,-0.4875644743,0.7363088727
119,-0.4599413276,0.745524466
120,-0.4313276112,0.7545524836
121,-0.4029524624,0.7633673549
122,-0.3734286726,0.7716995478
123,-0.3427017033,0.7786853313
124,-0.3102861643,0.7844147086
125,-0.2768144011,0.7884806395
126,-0.2436911911,0.7908082604
127,-0.2086225599,0.7912778854
128,-0.1721316427,0.7893047333
129,-0.1335982233,0.7851356268
130,-0.09426297992,0.7779619098
131,-0.05337550491,0.7677030563
132,-0.01196761336,0.7540660501
133,0.03054080904,0.7369402051
134,0.07235046476,0.715525806
135,0.1147681028,0.6900670528
136,0.1563485563,0.6596114635
137,0.1964167506,0.624835372
138,0.2351088971,0.5851371884
139,0.2718603909,0.5406301618
140,0.3049711585,0.4917209148
141,0.3331571817,0.4403424263
142,0.3563503623,0.3855419755
143,0.3740096688,0.3264200389
144,0.3851545155,0.2635680437
145,0.3892801702,0.1975934058
146,0.3854181767,0.1299929023
147,0.373383522,0.06130843982
148,0.3528316617,-0.006464779377
149,0.3240824044,-0.07238166779
150,0.287425071,-0.1349800676
151,0.2437754422,-0.1930243671
152,0.1938966513,-0.2453000695
153,0.1390498728,-0.2909614742
154,0.08057357371,-0.329316318
155,0.01955898479,-0.3600077331
156,-0.04245831445,-0.3830681145
157,-0.1045576856,-0.3983305395
158,-0.1675288677,-0.405600369
159,-0.2280283421,-0.4058942497
160,-0.2855139673,-0.3998283744
161,-0.3417835236,-0.3865908086
162,-0.3949899673,-0.36835742
163,-0.4443386793,-0.3461352289
164,-0.4897319376,-0.3207382858
165,-0.5317115784,-0.292902559
166,-0.5698673129,-0.2635329664
167,-0.6046445966,-0.232469514
168,-0.6358982325,-0.2006825656
169,-0.6638388038,-0.1679105461
170,-0.688380897,-0.1348967701
171,-0.7102975249,-0.1007917076
172,-0.7291434407,-0.06654656678
173,-0.7452273965,-0.03263889253
174,-0.7584415078,0.00184816285
175,-0.7687538266,0.03508880734
176,-0.7764930129,0.06771624833
177,-0.7823024392,0.0994239524
178,-0.7860592008,0.1297339201
179,-0.7881089449,0.1587915421
180,-0.7888445854,0.1861219257
181,-0.7899697423,0.2131903172
182,-0.7895126939,0.2411490083
183,-0.7882961035,0.2678413987
184,-0.785712719,0.2941426635
185,-0.7820420861,0.3211576641
186,-0.7770355344,0.3483470976
187,-0.7708042264,0.3759458065
188,-0.7632095218,0.4030494988
189,-0.7546951771,0.429508239
190,-0.7468053699,0.451833874
191,-0.7387496233,0.4728628695
192,-0.7336552143,0.4848021865
193,-0.7243210673,0.5044888258
194,-0.714011848,0.5234670639
195,-0.7033472657,0.5416840911
196,-0.6919736266,0.5595761538
197,-0.6800258756,0.5766434073
198,-0.6681573987,0.5933812857
199,-0.6558203101,0.6092685461
200,-0.6425514221,0.6251599789
