,real,imag
0,-0.4566334188,-0.8130362034
1,-0.4680534601,-0.8040637374
2,-0.4804842174,-0.7942175269
3,-0.4932759404,-0.7841104269
4,-0.5064200759,-0.7732897401
5,-0.5195420384,-0.7626197338
6,-0.5304017067,-0.7532915473
7,-0.5419133306,-0.7438991666
8,-0.5537440181,-0.7336702347
9,-0.5655283332,-0.723046422
10,-0.577622056,-0.7122347951
11,-0.5895907879,-0.7007636428
12,-0.6011855006,-0.6891158223
13,-0.6122461557,-0.6772800684
14,-0.6228291392,-0.6649082303
15,-0.6329781413,-0.6525143981
16,-0.6425402761,-0.6403487921
17,-0.6516894102,-0.6279907227
18,-0.6603140235,-0.6154786944
19,-0.6688601971,-0.6028236747
20,-0.6767513752,-0.5896245837
21,-0.6851425171,-0.5754035711
22,-0.6927649379,-0.5609219074
23,-0.700602293,-0.5461101532
24,-0.7080234885,-0.5317022204
25,-0.7156829238,-0.5174011588
26,-0.7228835821,-0.5031403303
27,-0.7296159267,-0.4890557528
28,-0.7362002134,-0.4754019678
29,-0.7424521446,-0.4618804455
30,-0.7490147352,-0.4469699264
31,-0.7550539374,-0.4318035543
32,-0.7602592111,-0.4164873362
33,-0.7648594379,-0.4013911188
34,-0.7689757347,-0.38638708
35,-0.7722530961,-0.3710429072
36,-0.7751203775,-0.3554021716
37,-0.7770982385,-0.3404847085
38,-0.7781851292,-0.3252612352
39,-0.7787678838,-0.3103579581
40,-0.7785575986,-0.2960376441
41,-0.7781236768,-0.2802797556
42,-0.7779173851,-0.2642495036
43,-0.7777705193,-0.248615995
44,-0.7776158452,-0.2328633964
45,-0.7769306302,-0.217473641
46,-0.7764378786,-0.2033122778
47,-0.7756103873,-0.1892791539
48,-0.7746443748,-0.1757986248
49,-0.7736535668,-0.1628429294
50,-0.7723398805,-0.1498922855
51,-0.7710387707,-0.1368438154
52,-0.7689067721,-0.1237791032
53,-0.7658856511,-0.110863246
54,-0.7623514533,-0.09683883935
55,-0.7571647167,-0.08390855044
56,-0.7508762479,-0.07226121426
57,-0.743652463,-0.06153852865
58,-0.7357309461,-0.05100748315
59,-0.7270747423,-0.04008355737
60,-0.7176952958,-0.02884666808
61,-0.7092664242,-0.01658888347
62,-0.7006395459,-0.004675638396
63,-0.6918917298,0.006202685647
64,-0.6835945845,0.01555178687
65,-0.6754672527,0.0229118485
66,-0.6679352522,0.02934093773
67,-0.6606994271,0.03530260921
68,-0.6535754204,0.04192091897
69,-0.6458064318,0.04854540899
70,-0.6385792494,0.05403853208
71,-0.6312339902,0.05928055197
72,-0.6237130761,0.06461279094
73,-0.6155301929,0.06964808702
74,-0.6065502763,0.07431922108
75,-0.597143352,0.07864971459
76,-0.5868620276,0.08324460685
77,-0.5762171745,0.08733003587
78,-0.5648497939,0.08968666196
79,-0.5537051558,0.09069494903
80,-0.5425390005,0.09057600796
81,-0.5323313475,0.09079900384
82,-0.5233479738,0.08971748501
83,-0.5155696273,0.08757489175
84,-0.5085783005,0.08432343602
85,-0.5023030043,0.08101706207
86,-0.4965670109,0.07806197554
87,-0.4915815592,0.07395501435
88,-0.4877838492,0.06956172734
89,-0.4847636521,0.0645429939
90,-0.4824984372,0.05886407197
91,-0.4813055098,0.05253924802
92,-0.4813944995,0.04633020982
93,-0.4824916422,0.04039733484
94,-0.4834918976,0.03363538906
95,-0.4852412045,0.02782439254
96,-0.4873732328,0.02289063856
97,-0.4895536602,0.01857490465
98,-0.4913181365,0.01512607653
99,-0.4927897155,0.01238230895
100,-0.4937564433,0.009914351627
101,-0.4955340922,0.008492799476
102,-0.4993389547,0.007766739
103,-0.5039916635,0.007289682049
104,-0.5094776154,0.006562212016
105,-0.5158578157,0.006357564125
106,-0.5228072405,0.006221729796
107,-0.5303713679,0.006641391199
108,-0.5382630229,0.007178649306
109,-0.545892477,0.008477851748
110,-0.5529056787,0.01001252141
111,-0.5597264767,0.01161679719
112,-0.5664137006,0.01320928428
113,-0.572927475,0.0147159081
114,-0.5798587203,0.01655498706
115,-0.586417079,0.01899118163
116,-0.5930671096,0.0219749622
117,-0.5993770957,0.02558954805
118,-0.6053797603,0.02975811809
119,-0.6109238267,0.03529358283
120,-0.6157446504,0.04100543633
121,-0.6215147972,0.0488461107
122,-0.6267337203,0.05774722993
123,-0.6313962936,0.06661809981
124,-0.6357411146,0.07542170584
125,-0.6398147941,0.0839349553
126,-0.6446326971,0.09072801471
127,-0.6496570706,0.0982831791
128,-0.6544466019,0.1057212129
129,-0.6598169804,0.1138741747
130,-0.664960444,0.1228035316
131,-0.6691945195,0.1320985407
132,-0.6731529832,0.1412876546
133,-0.6768699884,0.150608927
134,-0.6802867651,0.1593997031
135,-0.6837344766,0.1687330306
136,-0.6860912442,0.1784944236
137,-0.6881380081,0.1879306883
138,-0.6893731952,0.1980480105
139,-0.690015316,0.2076253444
140,-0.6896358132,0.2178675234
141,-0.6899758577,0.2294490784
142,-0.6913023591,0.2412676215
143,-0.6927312016,0.2533786595
144,-0.6940132976,0.2662250698
145,-0.6949264407,0.2785480618
146,-0.6955701709,0.2912661135
147,-0.6957918406,0.3037028611
148,-0.6954239607,0.3153654337
149,-0.6948699951,0.3270038962
150,-0.6941388249,0.337541461
151,-0.6928225756,0.348036319
152,-0.690907836,0.3574738503
153,-0.68892169,0.3664995432
154,-0.6867235303,0.3748423159
155,-0.6843002439,0.3830192089
156,-0.6818550229,0.3902470767
157,-0.6791074276,0.3971626163
158,-0.6743549109,0.408002764
159,-0.6699088812,0.4175137579
160,-0.6650113463,0.4269659221
161,-0.6614900827,0.4378300905
162,-0.6586336493,0.4481703043
163,-0.6552703381,0.4591874778
164,-0.6524053216,0.4704120457
165,-0.6484002471,0.4823424518
166,-0.6446018219,0.4932866693
167,-0.6404114366,0.5044775605
168,-0.6357237697,0.515445888
169,-0.6301844716,0.5261116624
170,-0.6244188547,0.5368395448
171,-0.617826879,0.5475739837
172,-0.6108643413,0.5579115748
173,-0.603675127,0.5679206252
174,-0.5958727598,0.5778362751
175,-0.5878254771,0.5873462558
176,-0.5794177055,0.5964170098
177,-0.5712465644,0.605114162
178,-0.5629950762,0.6130104661
179,-0.555264771,0.6202607155
180,-0.5482410789,0.6269426942
181,-0.5431134105,0.6346729994
182,-0.5368846655,0.6436808705
183,-0.5304468274,0.652517736
184,-0.5234351754,0.6618009806
185,-0.5151619911,0.6711870432
186,-0.5054119825,0.6815016866
187,-0.4946789742,0.6919811368
188,-0.4832521081,0.7025120258
189,-0.4716746211,0.7126053572
190,-0.4624632895,0.7204927206
191,-0.4535969794,0.7275547385
192,-0.4506809413,0.7290263772
193,-0.4411902428,0.7358794212
194,-0.4308087528,0.7425240278
195,-0.4204891026,0.7488895059
196,-0.4098394215,0.7549821138
197,-0.3993040025,0.7609959841
198,-0.3887046576,0.7671699524
199,-0.3779989779,0.7732372284
200,-0.366571784,0.7796234488
