,chan1
0,-0.9415676934
1,-0.9722912106
2,-0.9989531567
3,-1.027173303
4,-1.055656999
5,-1.082645462
6,-1.104300478
7,-1.121229223
8,-1.137546527
9,-1.156619698
10,-1.17807802
11,-1.199320298
12,-1.223985483
13,-1.254509596
14,-1.286981267
15,-1.32200006
16,-1.359099668
17,-1.400639322
18,-1.440935527
19,-1.482484985
20,-1.52525331
21,-1.560946177
22,-1.601442069
23,-1.635520384
24,-1.6707055
25,-1.704466508
26,-1.739755067
27,-1.774009158
28,-1.808889529
29,-1.853159498
30,-1.895479207
31,-1.9445441
32,-2.001486607
33,-2.060857467
34,-2.122869743
35,-2.190856791
36,-2.265149589
37,-2.34479061
38,-2.432969858
39,-2.528587968
40,-2.631114264
41,-2.722866125
42,-2.815204808
43,-2.909035144
44,-3.004410357
45,-3.097143845
46,-3.187342379
47,-3.274437449
48,-3.354006007
49,-3.433957046
50,-3.517738823
51,-3.61083295
52,-3.715497054
53,-3.831996384
54,-3.962937253
55,-4.110627302
56,-4.275269928
57,-4.458212948
58,-4.647729902
59,-4.846480525
60,-5.056506352
61,-5.236670641
62,-5.424853893
63,-5.622385248
64,-5.827074978
65,-6.031745653
66,-6.234956047
67,-6.439107665
68,-6.651042365
69,-6.876378219
70,-7.110598077
71,-7.356635478
72,-7.614942629
73,-7.887762246
74,-8.175057165
75,-8.483042997
76,-8.817184322
77,-9.180216648
78,-9.587043857
79,-10.02208512
80,-10.46249331
81,-10.86440434
82,-11.25762829
83,-11.67670633
84,-12.13202695
85,-12.63981427
86,-13.20584904
87,-13.85205961
88,-14.59906148
89,-15.4287983
90,-16.37196841
91,-17.46076767
92,-18.70847362
93,-20.14657739
94,-21.92120017
95,-24.16599783
96,-27.03141032
97,-30.53408853
98,-33.64462846
99,-32.91824967
100,-29.72057319
101,-26.90013768
102,-24.6802078
103,-22.90290516
104,-21.43178811
105,-20.15170687
106,-18.9984829
107,-17.95830301
108,-17.01327612
109,-16.15728558
110,-15.36953918
111,-14.67891485
112,-14.06230208
113,-13.49049206
114,-12.94963163
115,-12.46212984
116,-12.01087441
117,-11.5907578
118,-11.18837068
119,-10.81758282
120,-10.49526151
121,-10.16742118
122,-9.86133429
123,-9.577626364
124,-9.317507702
125,-9.077012965
126,-8.833524367
127,-8.597611393
128,-8.364574612
129,-8.138359184
130,-7.934982815
131,-7.747260549
132,-7.569209526
133,-7.390752956
134,-7.205783814
135,-7.033303519
136,-6.866891974
137,-6.711226281
138,-6.571606095
139,-6.442583109
140,-6.330027105
141,-6.200994033
142,-6.04411512
143,-5.879365192
144,-5.709135133
145,-5.549639159
146,-5.400857851
147,-5.263634972
148,-5.138278666
149,-5.028064861
150,-4.928320308
151,-4.833487137
152,-4.752386646
153,-4.678867178
154,-4.60946075
155,-4.538420831
156,-4.467833891
157,-4.39839955
158,-4.329882068
159,-4.269323258
160,-4.210365898
161,-4.121598573
162,-4.022494526
163,-3.920657559
164,-3.822685316
165,-3.730448324
166,-3.651862526
167,-3.579967211
168,-3.520881705
169,-3.464516093
170,-3.415650453
171,-3.366606039
172,-3.317966866
173,-3.270183124
174,-3.222572958
175,-3.178244834
176,-3.136707012
177,-3.100664148
178,-3.063875447
179,-3.033512223
180,-3.003697383
181,-2.949071624
182,-2.888261957
183,-2.83477451
184,-2.782063832
185,-2.735159394
186,-2.684938967
187,-2.636969988
188,-2.588884222
189,-2.546113495
190,-2.515244044
191,-2.486423466
192,-2.475852313
193,-2.452000025
194,-2.429412137
195,-2.409388138
196,-2.391307468
197,-2.378392704
198,-2.364104654
199,-2.350292887
200,-2.328779369
