,real,imag
0,-0.8698153496,-0.2202476561
1,-0.8706789017,-0.2032994032
2,-0.871774435,-0.1858199686
3,-0.8725690842,-0.1673228145
4,-0.87294209,-0.1489482522
5,-0.8732260466,-0.1297362745
6,-0.8731765747,-0.1141994298
7,-0.8734639287,-0.09758423269
8,-0.8735635877,-0.08032265306
9,-0.8730873466,-0.0625397563
10,-0.8720260859,-0.0445740968
11,-0.8706429005,-0.02602397092
12,-0.8685263395,-0.00784865953
13,-0.8654538393,0.01027597766
14,-0.8618287444,0.02805346996
15,-0.8576179147,0.04534306005
16,-0.852879107,0.06235302612
17,-0.8474416137,0.07856230438
18,-0.8418481946,0.09450557083
19,-0.8358304501,0.1104270816
20,-0.8293779492,0.1263858825
21,-0.822889924,0.1446805894
22,-0.8156993985,0.1619746238
23,-0.8086663485,0.1795950681
24,-0.8012695909,0.1965345293
25,-0.7937077284,0.213110432
26,-0.7856730819,0.22943452
27,-0.7776322961,0.2448413968
28,-0.7692646384,0.2599507272
29,-0.7598299384,0.2744340301
30,-0.7500402331,0.2894241214
31,-0.7392115593,0.3043552041
32,-0.7275784612,0.3183881044
33,-0.7156894803,0.3316112161
34,-0.7031528354,0.3448661566
35,-0.6900060773,0.3573808968
36,-0.6759557128,0.3696914613
37,-0.6612269282,0.3815505505
38,-0.6456629634,0.3926923871
39,-0.6295281053,0.4029220343
40,-0.6128937602,0.4122852087
41,-0.5959456563,0.4231553674
42,-0.5788985491,0.4334163964
43,-0.5621088743,0.4425258636
44,-0.5456089377,0.4505434632
45,-0.5296882391,0.4577459991
46,-0.5148228407,0.4636642635
47,-0.5006552339,0.4688717127
48,-0.4868836105,0.4742352366
49,-0.4730011821,0.4793725908
50,-0.458368212,0.484521836
51,-0.4427701831,0.4892677367
52,-0.4263031483,0.49328053
53,-0.4091771245,0.4963703156
54,-0.3901966512,0.4992651939
55,-0.370888114,0.5005360246
56,-0.3514353335,0.5001500845
57,-0.331822902,0.4981338978
58,-0.3122084141,0.4954522252
59,-0.292127341,0.4922069609
60,-0.2713329494,0.4883834422
61,-0.2518080175,0.485848397
62,-0.2322594374,0.4825069308
63,-0.2137966156,0.4778052866
64,-0.1967535317,0.4718900025
65,-0.1815417558,0.4651900828
66,-0.1678167582,0.4580368698
67,-0.1545476466,0.450719595
68,-0.1412789375,0.4430126548
69,-0.1277353764,0.4347079694
70,-0.1151746511,0.4257276356
71,-0.1027136818,0.4162283838
72,-0.09085576236,0.4061138034
73,-0.07917246968,0.3954369426
74,-0.06735779345,0.384305656
75,-0.05551244318,0.3724576831
76,-0.04307226837,0.3597914279
77,-0.03070972115,0.3461679816
78,-0.0197061561,0.3310393989
79,-0.009966579266,0.315267235
80,-0.001728235162,0.2998251915
81,0.004971343093,0.2862294316
82,0.01079105493,0.2733886838
83,0.01603507809,0.2602206171
84,0.02070239931,0.2465316951
85,0.02513999864,0.2319926172
86,0.02936528996,0.2166478038
87,0.03244965151,0.2003427893
88,0.03402109817,0.1830949038
89,0.03422425315,0.16576612
90,0.03328917548,0.1481514424
91,0.03095847368,0.1303293407
