,chan1
0,-0.8369678881
1,-0.8615231217
2,-0.8776018842
3,-0.8888187525
4,-0.8952494575
5,-0.8973549712
6,-0.8995442185
7,-0.9016330807
8,-0.9050996748
9,-0.9064725458
10,-0.9119577816
11,-0.9159626967
12,-0.9210272879
13,-0.9304851382
14,-0.9432276064
15,-0.9564507177
16,-0.9660677965
17,-0.9784978455
18,-0.989909652
19,-1.003609058
20,-1.01979015
21,-1.028940437
22,-1.034828157
23,-1.041510658
24,-1.043601096
25,-1.044087965
26,-1.040592408
27,-1.043005297
28,-1.045941188
29,-1.049400603
30,-1.056586563
31,-1.066792965
32,-1.081395557
33,-1.103256711
34,-1.129292521
35,-1.157149315
36,-1.187724521
37,-1.215802891
38,-1.24603114
39,-1.277612753
40,-1.315574243
41,-1.340183524
42,-1.35808977
43,-1.373814894
44,-1.384163597
45,-1.389316636
46,-1.397992496
47,-1.408283662
48,-1.420447776
49,-1.432115967
50,-1.449451491
51,-1.47870873
52,-1.517897392
53,-1.574615082
54,-1.638676964
55,-1.708905478
56,-1.782957809
57,-1.858874748
58,-1.939768919
59,-2.017146366
60,-2.098128596
61,-2.145359126
62,-2.191592165
63,-2.235355875
64,-2.281012351
65,-2.328254121
66,-2.37908501
67,-2.442147118
68,-2.513812617
69,-2.588545542
70,-2.662514984
71,-2.744317266
72,-2.827701973
73,-2.909953119
74,-2.994118639
75,-3.089654434
76,-3.1922008
77,-3.304090429
78,-3.418814939
79,-3.516953815
80,-3.612385226
81,-3.680940351
82,-3.74806393
83,-3.808374462
84,-3.886841645
85,-3.984442892
86,-4.0934327
87,-4.207763574
88,-4.332089485
89,-4.474233849
90,-4.632665067
91,-4.797478881
92,-4.957437078
93,-5.116025983
94,-5.300018692
95,-5.503793855
96,-5.722421796
97,-5.966291404
98,-6.222190791
99,-6.481474306
100,-6.722681249
101,-6.934337221
102,-7.14415754
103,-7.384814221
104,-7.662594349
105,-7.967044498
106,-8.26320901
107,-8.584224136
108,-8.947762146
109,-9.334514949
110,-9.724407462
111,-10.04370887
112,-10.32728737
113,-10.58685532
114,-10.82249635
115,-11.01166525
116,-11.13591513
117,-11.17813007
118,-11.15509239
119,-11.09352143
120,-11.01310406
121,-10.97778093
122,-10.91566905
123,-10.81183857
124,-10.67839914
125,-10.50819221
126,-10.27763928
127,-9.999620283
128,-9.718149036
129,-9.462013095
130,-9.221286775
131,-8.983659535
132,-8.747146425
133,-8.535835606
134,-8.341080398
135,-8.138169678
136,-7.922744636
137,-7.707075471
138,-7.491630518
139,-7.265478289
140,-7.036173454
141,-6.820822777
142,-6.611593688
143,-6.418437427
144,-6.246711297
145,-6.09061177
146,-5.944498007
147,-5.803854573
148,-5.658484866
149,-5.500849713
150,-5.336729588
151,-5.174696544
152,-5.013140587
153,-4.857211274
154,-4.709396664
155,-4.570114296
156,-4.437854046
157,-4.311285605
158,-4.186086097
159,-4.067567577
160,-3.966901725
161,-3.855703614
162,-3.746015306
163,-3.633349133
164,-3.513570752
165,-3.398687886
166,-3.301717627
167,-3.213593389
168,-3.133235828
169,-3.047689986
170,-2.95851585
171,-2.872655786
172,-2.792247526
173,-2.718999566
174,-2.653581369
175,-2.597788588
176,-2.552875745
177,-2.510063752
178,-2.469038074
179,-2.43462672
180,-2.403147682
181,-2.349466385
182,-2.295414488
183,-2.23694053
184,-2.182603489
185,-2.128680284
186,-2.07121191
187,-2.019403551
188,-1.974364817
189,-1.934980551
190,-1.903810151
191,-1.877411755
192,-1.866774155
193,-1.841893151
194,-1.814412837
195,-1.788366144
196,-1.764583792
197,-1.74494679
198,-1.726437062
199,-1.708807106
200,-1.697430979
