,chan1
0,-0.5439569327
1,-0.5566175274
2,-0.5648277744
3,-0.5705703522
4,-0.5742240118
5,-0.5811665585
6,-0.5836592339
7,-0.5852917833
8,-0.5894215587
9,-0.5928927493
10,-0.5934195316
11,-0.5953062533
12,-0.598832447
13,-0.6015574167
14,-0.6063357256
15,-0.6147376126
16,-0.6195014774
17,-0.6254057336
18,-0.6302068238
19,-0.6361148337
20,-0.6437035622
21,-0.6493850412
22,-0.6528795438
23,-0.655409984
24,-0.6533150178
25,-0.6544122961
26,-0.6515417701
27,-0.6476542923
28,-0.6460518874
29,-0.643063265
30,-0.64287643
31,-0.6461825007
32,-0.65051665
33,-0.6597378193
34,-0.6752034022
35,-0.6867969437
36,-0.7058546089
37,-0.7237760001
38,-0.7489825409
39,-0.7729555823
40,-0.8050806725
41,-0.8292400009
42,-0.8449301005
43,-0.8544840887
44,-0.8581335806
45,-0.8560001263
46,-0.8509691705
47,-0.8494074873
48,-0.8490480317
49,-0.8522938308
50,-0.862900667
51,-0.880438116
52,-0.9024191681
53,-0.9337064062
54,-0.9721864562
55,-1.017943154
56,-1.071530262
57,-1.124899514
58,-1.182186344
59,-1.239797791
60,-1.302612902
61,-1.335630584
62,-1.36648971
63,-1.390677452
64,-1.417197618
65,-1.436922472
66,-1.45727101
67,-1.475344498
68,-1.493286177
69,-1.518328324
70,-1.543785821
71,-1.574358938
72,-1.608864248
73,-1.646278966
74,-1.683990346
75,-1.724107892
76,-1.767608289
77,-1.821483137
78,-1.889767192
79,-1.955038913
80,-2.015194602
81,-2.060881697
82,-2.098216884
83,-2.126973655
84,-2.152606859
85,-2.186689413
86,-2.227319615
87,-2.277206279
88,-2.333667683
89,-2.386986222
90,-2.43488861
91,-2.471036489
92,-2.502104683
93,-2.536792108
94,-2.605145006
95,-2.689111957
96,-2.79159418
97,-2.908055036
98,-3.034607417
99,-3.163193386
100,-3.289913223
101,-3.401243301
102,-3.504577366
103,-3.622568414
104,-3.749331832
105,-3.884652125
106,-4.039005063
107,-4.226133989
108,-4.436366085
109,-4.660587054
110,-4.893218454
111,-5.126312902
112,-5.387879989
113,-5.693928431
114,-6.042367981
115,-6.435815738
116,-6.890593129
117,-7.418230892
118,-8.014110249
119,-8.668546155
120,-9.36595255
121,-10.07726722
122,-10.87226157
123,-11.8041955
124,-12.86195705
125,-14.00265461
126,-15.2304464
127,-16.65738875
128,-18.3862776
129,-20.50342181
130,-23.08199436
131,-26.219992
132,-29.73531933
133,-32.08564019
134,-31.68435112
135,-29.74949667
136,-27.84899724
137,-26.2949776
138,-24.57265866
139,-22.6753067
140,-20.87619455
141,-19.34720905
142,-18.01509171
143,-16.8387627
144,-15.79982032
145,-14.87334699
146,-14.04529365
147,-13.29859703
148,-12.62708985
149,-12.00655782
150,-11.45048428
151,-10.93564805
152,-10.43488688
153,-9.928444757
154,-9.424397728
155,-8.939739237
156,-8.496268991
157,-8.119731029
158,-7.808898277
159,-7.556017123
160,-7.3103888
161,-6.995825744
162,-6.640728544
163,-6.267640577
164,-5.920645478
165,-5.622973586
166,-5.371406269
167,-5.141280231
168,-4.90507024
169,-4.663900721
170,-4.437416047
171,-4.244350793
172,-4.070949193
173,-3.91333449
174,-3.775202809
175,-3.650981786
176,-3.536876433
177,-3.439739492
178,-3.363619039
179,-3.30498747
180,-3.25429962
181,-3.176216308
182,-3.086297695
183,-2.99561564
184,-2.910267082
185,-2.829243968
186,-2.754062241
187,-2.682620784
188,-2.615383235
189,-2.548848953
190,-2.495697947
191,-2.454514747
192,-2.433405777
193,-2.402302662
194,-2.372458867
195,-2.343074204
196,-2.315913844
197,-2.289616533
198,-2.263025898
199,-2.242257513
200,-2.23261886
