,real,imag
0,-0.7551611066,-0.5282438993
1,-0.7616629004,-0.5133056045
2,-0.7683387995,-0.4972312152
3,-0.7753350735,-0.4808799028
4,-0.7821486592,-0.4639846087
5,-0.7888873219,-0.4465033412
6,-0.7943994403,-0.4319714606
7,-0.8000907898,-0.4165177345
8,-0.8056272864,-0.400639087
9,-0.8113098145,-0.383872062
10,-0.8165738583,-0.3671425283
11,-0.8216127157,-0.3497450948
12,-0.8257365227,-0.3321045339
13,-0.8293432593,-0.314552635
14,-0.8320472836,-0.2971068323
15,-0.8341867328,-0.2798922062
16,-0.8358932137,-0.2629938424
17,-0.8369240761,-0.2464271188
18,-0.8375798464,-0.2299730629
19,-0.8377064466,-0.2131529599
20,-0.8374729156,-0.1963441372
21,-0.8376399875,-0.1779948175
22,-0.837061584,-0.1596419662
23,-0.8363534212,-0.1412217915
24,-0.8353460431,-0.1233799756
25,-0.8339479566,-0.1055996045
26,-0.8325601816,-0.08819983155
27,-0.8306087255,-0.07111861557
28,-0.8284780383,-0.0539679192
29,-0.8252160549,-0.03747348115
30,-0.821605742,-0.01984556206
31,-0.81691432,-0.002419812139
32,-0.8114554286,0.01458357461
33,-0.8053358793,0.03101748414
34,-0.7982991338,0.04751681909
35,-0.7905853391,0.06329973787
36,-0.781924665,0.07895892113
37,-0.772246778,0.09382750839
38,-0.7620087862,0.1082461253
39,-0.7509824038,0.1217888221
40,-0.7397271991,0.1348172277
41,-0.7282009721,0.1490443796
42,-0.7166648507,0.1631417274
43,-0.705406189,0.1763622165
44,-0.6942292452,0.1894814074
45,-0.6830178499,0.2017275244
46,-0.6721315384,0.2129081786
47,-0.6611695886,0.2237146646
48,-0.6501036882,0.2342452705
49,-0.6385251284,0.2442377955
50,-0.625836432,0.2536830306
51,-0.612136364,0.2624376118
52,-0.5981245041,0.2701748908
53,-0.583363831,0.2766430378
54,-0.567666769,0.2834658623
55,-0.5511252284,0.288626045
56,-0.5341953039,0.2919116616
57,-0.5171847343,0.2936163545
58,-0.4998332262,0.2944872677
59,-0.4822815657,0.2951794267
60,-0.4644038975,0.2956368029
61,-0.4479031563,0.2973008454
62,-0.4315529168,0.2987667918
63,-0.4153266847,0.2986635268
64,-0.400384903,0.2968993187
65,-0.3867592216,0.2940037847
66,-0.3743598759,0.2900128067
67,-0.3625043333,0.2857621014
68,-0.3505556881,0.2810530961
69,-0.3386489749,0.2763200104
70,-0.3273861706,0.2703835964
71,-0.3164920509,0.2637033463
72,-0.306157738,0.2561383843
73,-0.296212405,0.248171255
74,-0.2865821123,0.2397186458
75,-0.2771547437,0.2308172137
76,-0.267475456,0.2218721807
77,-0.2580216527,0.2125286907
78,-0.2492651492,0.2015183121
79,-0.2418744266,0.189766556
80,-0.2356728166,0.1780505329
81,-0.2313307822,0.1681336612
82,-0.2281785756,0.158800751
83,-0.2258647829,0.1494591087
84,-0.2240984887,0.1400233507
85,-0.2227982879,0.1306805462
86,-0.2212425619,0.121958077
87,-0.2199418098,0.1126871184
88,-0.2189374268,0.1025364473
89,-0.2183939666,0.09154612571
90,-0.2186730355,0.0796347782
91,-0.2203645855,0.06675824523
92,-0.2234724611,0.05367344618
93,-0.2279447317,0.0410117209
94,-0.2327876687,0.02801959962
95,-0.2388266176,0.01533997804
96,-0.2460772097,0.003627285827
97,-0.2540718913,-0.006889177021
98,-0.262072295,-0.01619548537
99,-0.2705198526,-0.02472574823
100,-0.2791084349,-0.03236496076
101,-0.2891989946,-0.03748598695
102,-0.3006586432,-0.04066886753
103,-0.3124362826,-0.04280018061
104,-0.3242221177,-0.04415858537
105,-0.3360968828,-0.04526416212
106,-0.347971648,-0.04615423828
107,-0.3602128923,-0.0470960848
108,-0.3729679585,-0.04806913063
109,-0.3864935637,-0.04839586839
110,-0.3999953866,-0.04723418131
111,-0.4126716852,-0.04477652907
112,-0.4241686761,-0.04218109697
113,-0.4351377785,-0.03982238472
114,-0.4459787011,-0.03703232855
115,-0.4561105967,-0.03372295946
116,-0.4653922915,-0.03011902235
117,-0.4741061628,-0.02624232881
118,-0.4827007949,-0.0226731915
119,-0.4912786782,-0.01845956035
120,-0.4994535744,-0.01350078546
121,-0.5089381933,-0.006426001899
122,-0.5186121464,0.001446579467
123,-0.5282933116,0.01015348267
124,-0.5373995304,0.0195808541
125,-0.5462542772,0.02926088311
126,-0.5551581979,0.03860407323
127,-0.5634383559,0.04843341932
128,-0.5710387826,0.05855597556
129,-0.5776109695,0.06924389303
130,-0.5834321976,0.07964835316
131,-0.5887610316,0.09002713859
132,-0.5940051079,0.0994970575
133,-0.5987083912,0.1094736531
134,-0.6032598019,0.1191722006
135,-0.6072491407,0.1287079751
136,-0.6106973886,0.1387791932
137,-0.6134105921,0.1485711485
138,-0.6153321266,0.1583974957
139,-0.6167179346,0.1679476351
140,-0.617695868,0.1777700037
141,-0.6191845536,0.1892724484
142,-0.6219260097,0.2013411373
143,-0.624796927,0.2133800238
144,-0.6273579001,0.2267148346
145,-0.6294035316,0.2398295105
146,-0.6307282448,0.2533298731
147,-0.6313276887,0.2664863169
148,-0.6313070655,0.2790490687
149,-0.6306894422,0.2906853557
150,-0.6300546527,0.3012786806
151,-0.6290312409,0.3113054931
152,-0.6279628873,0.3204194903
153,-0.6267137527,0.3296796978
154,-0.62522012,0.337890625
155,-0.6236624122,0.3456191719
156,-0.6221339703,0.3528642952
157,-0.6206826568,0.3600886762
158,-0.6179664135,0.3707070649
159,-0.615359664,0.3811635971
160,-0.6123282313,0.3919028938
161,-0.6101295352,0.4045835733
162,-0.6080723405,0.4167891443
163,-0.6056095362,0.4291413426
164,-0.6031885147,0.4416044354
165,-0.6005090475,0.454508245
166,-0.5973709822,0.4673998952
167,-0.5938186646,0.4800602794
168,-0.589215219,0.4923110902
169,-0.5841073394,0.50423944
170,-0.5785937905,0.5153787732
171,-0.5723090768,0.5270019174
172,-0.5661495328,0.5377022028
173,-0.5595951676,0.5487803221
174,-0.5525801182,0.5595771074
175,-0.5451939702,0.5700472593
176,-0.5377348661,0.5798590779
177,-0.5301687121,0.5893880725
178,-0.5225524902,0.5985164046
179,-0.5153201818,0.6070136428
180,-0.5085831285,0.614792943
181,-0.5033649206,0.6237185597
182,-0.4970419407,0.6337527633
183,-0.4909054041,0.6430091262
184,-0.4836758375,0.6525031328
185,-0.4759488106,0.6621038318
186,-0.4662988484,0.6728519201
187,-0.4558059871,0.6840186715
188,-0.4444806576,0.6951041222
189,-0.432633996,0.7057060003
190,-0.4227436483,0.7139795423
191,-0.4131034315,0.7213532925
192,-0.4100654721,0.7231235504
193,-0.4000970423,0.7300329804
194,-0.3895478249,0.7372144461
195,-0.3789079785,0.7439985275
196,-0.3675287068,0.7507232428
197,-0.3558630645,0.7570672631
198,-0.3440664411,0.763233304
199,-0.3325354755,0.7692939043
200,-0.3204598129,0.7753252387
