,chan1
0,-0.02461534657
1,-0.03756905357
2,-0.05102464513
3,-0.05997319903
4,-0.07089592262
5,-0.07682413459
6,-0.08196563956
7,-0.08665215788
8,-0.08953975327
9,-0.09464448583
10,-0.09416307238
11,-0.09870287529
12,-0.1014421501
13,-0.104310936
14,-0.1101927682
15,-0.1157190677
16,-0.1225142352
17,-0.1291107822
18,-0.1361971869
19,-0.1431245842
20,-0.1530400348
21,-0.1634878582
22,-0.1695260646
23,-0.1746442702
24,-0.1778147135
25,-0.1777359839
26,-0.1743941302
27,-0.1731498133
28,-0.1711491386
29,-0.1715029523
30,-0.1691144316
31,-0.1733967052
32,-0.1775751237
33,-0.1837660056
34,-0.1904741783
35,-0.2007911805
36,-0.2121598149
37,-0.2265413592
38,-0.2442371704
39,-0.2585420805
40,-0.278599325
41,-0.2899930695
42,-0.2966626679
43,-0.2977945794
44,-0.295544427
45,-0.2908988261
46,-0.2838453659
47,-0.2727019061
48,-0.2647670031
49,-0.2568390702
50,-0.2506959775
51,-0.2513121082
52,-0.2569706144
53,-0.2681046383
54,-0.2818201723
55,-0.3003009988
56,-0.3232026343
57,-0.3502083944
58,-0.3776478338
59,-0.4084488085
60,-0.4395764161
61,-0.4495667329
62,-0.4521983437
63,-0.4523900845
64,-0.4497376698
65,-0.4431890107
66,-0.4364419912
67,-0.4271993842
68,-0.4216700977
69,-0.4199735435
70,-0.4148147355
71,-0.4147576583
72,-0.4175115444
73,-0.4243193876
74,-0.4354022441
75,-0.4509469164
76,-0.469438472
77,-0.4964169367
78,-0.5312465085
79,-0.5700648309
80,-0.604862413
81,-0.6284107272
82,-0.6395621097
83,-0.6379017632
84,-0.6319583459
85,-0.6329198252
86,-0.6401810571
87,-0.6578878696
88,-0.6807429141
89,-0.70735879
90,-0.732966677
91,-0.755913803
92,-0.7744264517
93,-0.7877921285
94,-0.8173696098
95,-0.8538030748
96,-0.9000488788
97,-0.9551111081
98,-1.014823112
99,-1.078432134
100,-1.143859518
101,-1.192366671
102,-1.219428884
103,-1.251390675
104,-1.285920857
105,-1.321723742
106,-1.362391529
107,-1.405825792
108,-1.452641977
109,-1.508302182
110,-1.57696008
111,-1.650173144
112,-1.729686931
113,-1.813740537
114,-1.904555342
115,-1.99537941
116,-2.087726902
117,-2.184765736
118,-2.27887102
119,-2.371149226
120,-2.460586904
121,-2.551886138
122,-2.648179877
123,-2.750961343
124,-2.864983048
125,-2.983574046
126,-3.104380228
127,-3.227189767
128,-3.355578462
129,-3.486398325
130,-3.612587493
131,-3.736261418
132,-3.85430085
133,-3.959998712
134,-4.055595622
135,-4.136031621
136,-4.230337059
137,-4.304061174
138,-4.352469625
139,-4.387160453
140,-4.401487922
141,-4.432475832
142,-4.443868239
143,-4.446218343
144,-4.430512537
145,-4.403941494
146,-4.358960156
147,-4.297084758
148,-4.21637632
149,-4.122443021
150,-4.01190475
151,-3.889742976
152,-3.761695619
153,-3.634034948
154,-3.508606903
155,-3.38940354
156,-3.27944285
157,-3.167954918
158,-3.062393414
159,-2.968178951
160,-2.887138759
161,-2.811613921
162,-2.737720932
163,-2.661445698
164,-2.584056852
165,-2.505076803
166,-2.4229387
167,-2.341807931
168,-2.25762874
169,-2.175787959
170,-2.094695423
171,-2.017046309
172,-1.94152037
173,-1.870481518
174,-1.804164451
175,-1.745672623
176,-1.694092773
177,-1.645120286
178,-1.597316264
179,-1.558428626
180,-1.52274208
181,-1.477461111
182,-1.427222409
183,-1.380891165
184,-1.334194325
185,-1.288691647
186,-1.24603794
187,-1.20502775
188,-1.161787582
189,-1.122400793
190,-1.0841713
191,-1.048858751
192,-1.030631883
193,-1.002612148
194,-0.9779760755
195,-0.9583392508
196,-0.9419175113
197,-0.9279780151
198,-0.911188437
199,-0.8999680956
200,-0.8883668832
