,chan1
0,-0.5113744728
1,-0.5313109495
2,-0.5481891167
3,-0.5594169525
4,-0.5678963601
5,-0.5733860776
6,-0.5744775859
7,-0.5778180447
8,-0.5807197549
9,-0.5828492056
10,-0.5848113261
11,-0.5920526749
12,-0.5952564941
13,-0.6019598075
14,-0.6118015901
15,-0.6198861858
16,-0.6265273212
17,-0.6325614707
18,-0.6383985624
19,-0.6491972988
20,-0.661151768
21,-0.6738151948
22,-0.684476789
23,-0.6935097261
24,-0.6971533034
25,-0.6998368782
26,-0.7022570083
27,-0.7039891479
28,-0.7053828486
29,-0.7058564693
30,-0.7050915984
31,-0.7055658145
32,-0.7106324314
33,-0.7176762874
34,-0.7311074778
35,-0.748831998
36,-0.7644805456
37,-0.7858786921
38,-0.8066242959
39,-0.8358287371
40,-0.8656819699
41,-0.8910540748
42,-0.9092123388
43,-0.9255551743
44,-0.935841772
45,-0.9436343409
46,-0.9500835742
47,-0.9567069279
48,-0.9650327642
49,-0.9771877618
50,-0.9967327372
51,-1.026587669
52,-1.059595604
53,-1.104987468
54,-1.152905168
55,-1.207952553
56,-1.27244588
57,-1.337196776
58,-1.402902165
59,-1.469808163
60,-1.539315071
61,-1.579564944
62,-1.615163477
63,-1.645163139
64,-1.675433176
65,-1.707714415
66,-1.741832651
67,-1.780795001
68,-1.819479024
69,-1.856059114
70,-1.894790493
71,-1.937404355
72,-1.984531081
73,-2.034365639
74,-2.089154167
75,-2.143588002
76,-2.206640295
77,-2.273691101
78,-2.350358518
79,-2.428295051
80,-2.503628011
81,-2.562550205
82,-2.609986014
83,-2.653121274
84,-2.701780089
85,-2.766965708
86,-2.835420227
87,-2.90918848
88,-2.987850378
89,-3.079721365
90,-3.188743054
91,-3.306127375
92,-3.42113093
93,-3.535086421
94,-3.681033322
95,-3.855384662
96,-4.060335684
97,-4.298899724
98,-4.562857745
99,-4.834587437
100,-5.104580024
101,-5.343463646
102,-5.581450931
103,-5.858334195
104,-6.173679659
105,-6.501090003
106,-6.838141456
107,-7.225076212
108,-7.670528446
109,-8.182955968
110,-8.746211396
111,-9.317723414
112,-9.932955815
113,-10.64732106
114,-11.45090002
115,-12.35011824
116,-13.33942923
117,-14.3844182
118,-15.46735953
119,-16.52913654
120,-17.4705633
121,-18.28176634
122,-18.72931806
123,-18.72112114
124,-18.28827953
125,-17.52488738
126,-16.56226762
127,-15.54271784
128,-14.55981266
129,-13.66639326
130,-12.87539192
131,-12.15511281
132,-11.48253968
133,-10.88422556
134,-10.39714557
135,-9.970027527
136,-9.574011911
137,-9.207213966
138,-8.868029895
139,-8.526569107
140,-8.15847294
141,-7.789320788
142,-7.433159559
143,-7.112849913
144,-6.833042854
145,-6.579259793
146,-6.344557787
147,-6.121766227
148,-5.908878402
149,-5.69195481
150,-5.477121857
151,-5.285726026
152,-5.10663319
153,-4.925553339
154,-4.748962418
155,-4.575655496
156,-4.400813728
157,-4.226974934
158,-4.061507334
159,-3.914010531
160,-3.78745588
161,-3.653922267
162,-3.514077512
163,-3.371964279
164,-3.21920642
165,-3.073971586
166,-2.949487966
167,-2.840560633
168,-2.740385021
169,-2.647548736
170,-2.548591908
171,-2.455105667
172,-2.370387079
173,-2.29770433
174,-2.23352564
175,-2.173387425
176,-2.115095876
177,-2.063983404
178,-2.019237472
179,-1.98404573
180,-1.958778344
181,-1.913137634
182,-1.861289825
183,-1.806685469
184,-1.750136143
185,-1.69488822
186,-1.641554991
187,-1.595807973
188,-1.555649826
189,-1.520955695
190,-1.495243576
191,-1.473463081
192,-1.471528865
193,-1.458196203
194,-1.443397476
195,-1.431448054
196,-1.416697155
197,-1.404263719
198,-1.387757046
199,-1.373785868
200,-1.363425925
