,real,imag
0,-0.7368427515,-0.5882027745
1,-0.7439015508,-0.575724721
2,-0.7513340116,-0.5629507303
3,-0.7596529722,-0.5496070385
4,-0.7684197426,-0.5356835127
5,-0.7777189612,-0.5210283399
6,-0.7855269313,-0.5089641809
7,-0.7934165597,-0.4958968163
8,-0.8014751077,-0.4821580946
9,-0.8094171882,-0.4682453871
10,-0.8173133135,-0.453887552
11,-0.8246036768,-0.4388480783
12,-0.8318443894,-0.4242055118
13,-0.8384433985,-0.4093694091
14,-0.8444553018,-0.3943288922
15,-0.8500855565,-0.3799199164
16,-0.8555038571,-0.3657498956
17,-0.8607687354,-0.3514755964
18,-0.8657654524,-0.3372640014
19,-0.8701743484,-0.322412014
20,-0.8742592931,-0.3073376417
21,-0.8785050511,-0.290713191
22,-0.8825984597,-0.2742365897
23,-0.8865347505,-0.2578121424
24,-0.890737772,-0.2414173633
25,-0.8947460055,-0.2249435335
26,-0.8984185457,-0.2086622566
27,-0.9017223716,-0.1930112988
28,-0.9047520757,-0.1775033325
29,-0.9075561762,-0.1622739583
30,-0.9104399681,-0.1457388997
31,-0.9129139185,-0.1289810687
32,-0.9145927429,-0.1121469513
33,-0.9157671928,-0.09513830394
34,-0.915964067,-0.07793041319
35,-0.9153653979,-0.0610544607
36,-0.9146665931,-0.04449044168
37,-0.9130707383,-0.02783023939
38,-0.9112512469,-0.01082651597
39,-0.9082370996,0.005951892119
40,-0.9048682451,0.02219056524
41,-0.9016184211,0.03988476098
42,-0.89872545,0.05831566826
43,-0.8956641555,0.07646793872
44,-0.8928359747,0.09483594447
45,-0.8898316026,0.1135978475
46,-0.8867510557,0.1310847998
47,-0.8832680583,0.1487404108
48,-0.8792348504,0.1664201468
49,-0.8744571209,0.1839465499
50,-0.8685125113,0.2015243471
51,-0.8612523079,0.2184597105
52,-0.853368938,0.2350830734
53,-0.8442584872,0.2501675189
54,-0.8342659473,0.2661741376
55,-0.8237706423,0.2803421319
56,-0.8125411272,0.2929255962
57,-0.8014069796,0.3045241833
58,-0.7900909185,0.3157663047
59,-0.7781560421,0.3276548386
60,-0.7653459907,0.340310812
61,-0.7543984652,0.3549322486
62,-0.7432817817,0.3700700402
63,-0.7322540283,0.3853281736
64,-0.721180439,0.3997711837
65,-0.7102078199,0.4129018784
66,-0.6991645098,0.4251717031
67,-0.6878677607,0.4364166856
68,-0.6761902571,0.4477761388
69,-0.6640230417,0.45966658
70,-0.6520338655,0.4704051614
71,-0.6390625238,0.4813692868
72,-0.6258759499,0.4914143085
73,-0.6122409105,0.5011440516
74,-0.5979752541,0.510453105
75,-0.5827679038,0.5204027891
76,-0.5657501221,0.5306277275
77,-0.5478208661,0.5406606197
78,-0.5296206474,0.5491421819
79,-0.5110913515,0.5572150946
80,-0.4927835763,0.5648328066
81,-0.4747089744,0.5735429525
82,-0.4573309124,0.5823462605
83,-0.4403035045,0.5907561779
84,-0.4219536483,0.5989714861
85,-0.4022161961,0.605835557
86,-0.3809432089,0.6127209067
87,-0.3594638705,0.618516922
88,-0.3372262418,0.6235942245
89,-0.3136976063,0.6274272203
90,-0.2897740006,0.6292085052
91,-0.2658081055,0.6296203136
92,-0.2416350693,0.6296682358
93,-0.2167136967,0.6293842793
94,-0.1898447126,0.6264228225
95,-0.1613897383,0.62091887
96,-0.132101208,0.6125062108
97,-0.1030484214,0.600841403
98,-0.07553685457,0.5865229368
99,-0.04926791042,0.57103163
100,-0.02416181006,0.5550855994
101,-5.408967263e-05,0.5405387282
102,0.02471506596,0.5253483653
103,0.04849067703,0.5071154833
104,0.06979228556,0.4862823784
105,0.08887333423,0.4646691978
106,0.1071799397,0.4422840774
107,0.1249725446,0.4169303179
108,0.1406567693,0.3888398111
109,0.1531747431,0.3584533334
110,0.1621485949,0.3273780048
111,0.1703593135,0.2966293395
112,0.1782641262,0.2641545534
113,0.1838867962,0.2287753224
114,0.1863380671,0.1920354813
115,0.185294956,0.1545138061
116,0.1804841757,0.117372252
117,0.1728158593,0.08107394725
118,0.1620476097,0.0462279357
119,0.148513943,0.01345839817
120,0.132727161,-0.01694806479
121,0.113902621,-0.04335328192
122,0.09346985072,-0.06828072667
123,0.07035037875,-0.09205980599
124,0.04489896819,-0.1132039651
125,0.0184157975,-0.131689176
126,-0.009030091576,-0.1482800692
127,-0.03770651296,-0.1627457738
128,-0.06757323444,-0.1744416356
129,-0.09767471254,-0.1828906238
130,-0.1270361543,-0.1882534921
131,-0.1551228911,-0.1918824166
132,-0.182853505,-0.1940215677
133,-0.2103110403,-0.1932565421
134,-0.2348989993,-0.1899565905
135,-0.2567887008,-0.1864191294
136,-0.2771232724,-0.183053568
137,-0.2965652645,-0.1790975928
138,-0.3144415915,-0.1757932603
139,-0.3321353793,-0.1734310389
140,-0.3515409231,-0.1709658056
141,-0.3733335435,-0.1642843485
142,-0.3957623541,-0.1547841877
143,-0.4171913862,-0.1426875591
144,-0.4367294312,-0.1288930923
145,-0.4545470178,-0.1149367616
146,-0.4710104764,-0.1008918956
147,-0.4864569604,-0.0871970728
148,-0.5009682178,-0.07446802408
149,-0.5155365467,-0.06224637479
150,-0.5299780965,-0.04949868843
151,-0.5428903103,-0.03691347316
152,-0.5549015403,-0.0253414344
153,-0.5670106411,-0.01393542252
154,-0.5788245201,-0.002766035497
155,-0.5904363394,0.008419078775
156,-0.6021656394,0.02016369812
157,-0.6138073802,0.03279907629
158,-0.6245055795,0.05001462251
159,-0.6336115599,0.06785690784
160,-0.6408593655,0.08587478846
161,-0.6480894089,0.1054023281
162,-0.6555656195,0.1243854687
163,-0.662961185,0.1432861388
164,-0.6706345677,0.1636072397
165,-0.6768996716,0.1858220696
166,-0.681163013,0.207526952
167,-0.6837517619,0.2289375514
168,-0.685559392,0.2491373271
169,-0.6865954399,0.2685958743
170,-0.6877780557,0.2881768048
171,-0.6874010563,0.3092965484
172,-0.6861659288,0.3294743896
173,-0.6832810044,0.34968853
174,-0.6796473861,0.3687891364
175,-0.6753432155,0.3875239491
176,-0.6704850197,0.4060853422
177,-0.6649585962,0.4237450063
178,-0.6584375501,0.4411673546
179,-0.651262939,0.4573139846
180,-0.6437264681,0.4717954099
181,-0.6382934451,0.4860920906
182,-0.6325200796,0.5013514161
183,-0.6269233227,0.5163761377
184,-0.6204828024,0.5322819352
185,-0.6127601862,0.5490028858
186,-0.6033785343,0.566724956
187,-0.5921174884,0.5847187042
188,-0.5797751546,0.6023229361
189,-0.5669187903,0.6189839244
190,-0.5556776524,0.6324111819
191,-0.5444053411,0.6449090242
192,-0.5387786627,0.6498612761
193,-0.527223587,0.6609299779
194,-0.5154545307,0.67196697
195,-0.5035143495,0.6824092865
196,-0.4913103282,0.693015337
197,-0.4784602821,0.7034208179
198,-0.465732336,0.7138448358
199,-0.4524257779,0.7239701748
200,-0.4383405745,0.7337711453
