,chan1
0,-0.8842314458
1,-0.9247538377
2,-0.9612588341
3,-0.9958690442
4,-1.033069073
5,-1.069131253
6,-1.101044855
7,-1.128553119
8,-1.157790319
9,-1.187496885
10,-1.22027013
11,-1.254606719
12,-1.290183052
13,-1.328870789
14,-1.372395731
15,-1.41569826
16,-1.462883125
17,-1.513758642
18,-1.567680144
19,-1.624487686
20,-1.683884343
21,-1.745443536
22,-1.803817163
23,-1.864462262
24,-1.92506677
25,-1.984819751
26,-2.044731075
27,-2.106117806
28,-2.169644488
29,-2.243282568
30,-2.320879389
31,-2.403958629
32,-2.490781967
33,-2.583254649
34,-2.681892544
35,-2.787667621
36,-2.903605344
37,-3.031095915
38,-3.167271051
39,-3.313225867
40,-3.472669113
41,-3.623696935
42,-3.772735089
43,-3.916436504
44,-4.056767999
45,-4.195431722
46,-4.333403579
47,-4.476098569
48,-4.61767238
49,-4.774561239
50,-4.953457699
51,-5.157621395
52,-5.382474956
53,-5.630068178
54,-5.901697151
55,-6.199966131
56,-6.514283549
57,-6.845128766
58,-7.186279323
59,-7.543008332
60,-7.91900887
61,-8.267299025
62,-8.618541309
63,-8.984496154
64,-9.355329311
65,-9.723595242
66,-10.09206727
67,-10.46025365
68,-10.8182433
69,-11.17818252
70,-11.54311492
71,-11.92508645
72,-12.32002317
73,-12.7080435
74,-13.05693401
75,-13.33726562
76,-13.54676046
77,-13.69132237
78,-13.7724492
79,-13.76760426
80,-13.67748195
81,-13.49730144
82,-13.26147851
83,-12.98291263
84,-12.68965067
85,-12.39830204
86,-12.11557312
87,-11.82207375
88,-11.51276618
89,-11.17828132
90,-10.81820557
91,-10.43008214
92,-10.03814318
93,-9.644352187
94,-9.277933997
95,-8.920543507
96,-8.58449996
97,-8.284711174
98,-8.01314906
99,-7.75506873
100,-7.508525655
101,-7.28034687
102,-7.051084017
103,-6.830033447
104,-6.619677906
105,-6.41393046
106,-6.207171913
107,-5.998873316
108,-5.791217789
109,-5.584693508
110,-5.398839256
111,-5.227311316
112,-5.069343434
113,-4.915569886
114,-4.77611072
115,-4.652873909
116,-4.541542178
117,-4.439852531
118,-4.350762304
119,-4.273820169
120,-4.201583721
121,-4.116155212
122,-4.020108143
123,-3.920465718
124,-3.816574607
125,-3.712882361
126,-3.602436406
127,-3.497831134
128,-3.402641644
129,-3.315787113
130,-3.237949196
131,-3.167436494
132,-3.100094886
133,-3.038823876
134,-2.985353614
135,-2.935348699
136,-2.891335036
137,-2.85591226
138,-2.817630648
139,-2.787908161
140,-2.756672868
141,-2.710144958
142,-2.649018743
143,-2.586452042
144,-2.522738599
145,-2.462255992
146,-2.405726416
147,-2.353948855
148,-2.310040546
149,-2.269398055
150,-2.23251058
151,-2.200055505
152,-2.170401442
153,-2.142660699
154,-2.119237534
155,-2.100204969
156,-2.083298701
157,-2.070391834
158,-2.052799003
159,-2.037359184
160,-2.019254839
161,-1.98131862
162,-1.934825462
163,-1.895160147
164,-1.853617223
165,-1.812474805
166,-1.769538819
167,-1.730101552
168,-1.693808286
169,-1.657868139
170,-1.626658463
171,-1.598449919
172,-1.574371242
173,-1.553973169
174,-1.535730403
175,-1.521058622
176,-1.506281004
177,-1.495124051
178,-1.483914452
179,-1.472845172
180,-1.46212637
181,-1.429872705
182,-1.396185175
183,-1.366673603
184,-1.339777328
185,-1.312617995
186,-1.286352528
187,-1.258936616
188,-1.233180976
189,-1.20558102
190,-1.183944129
191,-1.167383246
192,-1.169358334
193,-1.160878252
194,-1.153480213
195,-1.149868093
196,-1.144867474
197,-1.140443555
198,-1.132596877
199,-1.127544244
200,-1.123591134
