,chan1
0,-0.0749768155
1,-0.08767849746
2,-0.1008309667
3,-0.1133330542
4,-0.1218592261
5,-0.1297111964
6,-0.1382302387
7,-0.1411719928
8,-0.146241462
9,-0.1489665947
10,-0.1527893997
11,-0.1575497292
12,-0.1601788923
13,-0.1624684001
14,-0.1721038805
15,-0.1767461414
16,-0.1875846756
17,-0.1921295257
18,-0.2028015468
19,-0.2113465591
20,-0.2226868899
21,-0.2300354618
22,-0.2391785276
23,-0.2445632472
24,-0.2459998429
25,-0.248836835
26,-0.2476024141
27,-0.2460791738
28,-0.2470449307
29,-0.2458030789
30,-0.2472023822
31,-0.2497614004
32,-0.2557555451
33,-0.2634753631
34,-0.274976184
35,-0.2867384638
36,-0.3005084673
37,-0.3160877863
38,-0.3348871915
39,-0.3547182836
40,-0.3733639825
41,-0.3839678014
42,-0.3939771609
43,-0.3976487596
44,-0.3965210801
45,-0.3931550108
46,-0.3881217602
47,-0.3827636539
48,-0.3740931347
49,-0.3697528885
50,-0.3675800985
51,-0.3705518181
52,-0.3803821121
53,-0.3923460948
54,-0.4104010817
55,-0.4328696181
56,-0.4586513333
57,-0.4891462893
58,-0.5231629009
59,-0.5565037719
60,-0.5921104673
61,-0.6026901479
62,-0.6077442393
63,-0.6122263716
64,-0.6130958179
65,-0.6114769411
66,-0.6063597347
67,-0.6019810374
68,-0.6022694921
69,-0.6016725312
70,-0.6014789663
71,-0.6059941645
72,-0.612726824
73,-0.6258722948
74,-0.6423679305
75,-0.6615245528
76,-0.6887580376
77,-0.7211534566
78,-0.763549791
79,-0.8067602208
80,-0.8491473505
81,-0.8767564138
82,-0.8904507999
83,-0.89597215
84,-0.9002456308
85,-0.9078903836
86,-0.9223879251
87,-0.9476968899
88,-0.9790603425
89,-1.017333395
90,-1.055112496
91,-1.091359174
92,-1.122176346
93,-1.147625479
94,-1.19121632
95,-1.24274622
96,-1.302710424
97,-1.369565
98,-1.446472108
99,-1.523372088
100,-1.602914386
101,-1.665253608
102,-1.709248252
103,-1.759449145
104,-1.811328928
105,-1.871684321
106,-1.932237573
107,-1.999495745
108,-2.070281503
109,-2.149248463
110,-2.245206903
111,-2.344687669
112,-2.451572761
113,-2.564355167
114,-2.679983502
115,-2.799117841
116,-2.922818734
117,-3.042976795
118,-3.162349511
119,-3.276987825
120,-3.388120953
121,-3.505538429
122,-3.626378288
123,-3.75624645
124,-3.890700369
125,-4.030738625
126,-4.166190826
127,-4.301674255
128,-4.434079223
129,-4.567500933
130,-4.690141207
131,-4.806540585
132,-4.905627746
133,-4.987869754
134,-5.050355562
135,-5.096227776
136,-5.164106941
137,-5.196825686
138,-5.191649266
139,-5.16719944
140,-5.129027173
141,-5.107959884
142,-5.072528815
143,-5.020511815
144,-4.955590232
145,-4.877054725
146,-4.781485533
147,-4.67340048
148,-4.55341066
149,-4.419242292
150,-4.277889403
151,-4.127330001
152,-3.980689983
153,-3.834247089
154,-3.695108597
155,-3.567511734
156,-3.446403444
157,-3.329069668
158,-3.220884111
159,-3.12529183
160,-3.040314939
161,-2.962309857
162,-2.881363878
163,-2.799540892
164,-2.71745787
165,-2.630591501
166,-2.545961296
167,-2.459101315
168,-2.374280924
169,-2.291005376
170,-2.209190698
171,-2.13096592
172,-2.056765926
173,-1.98636316
174,-1.920415273
175,-1.860651423
176,-1.809674363
177,-1.761964761
178,-1.717398944
179,-1.680342126
180,-1.644735661
181,-1.598989147
182,-1.55141163
183,-1.503542806
184,-1.457824487
185,-1.412489281
186,-1.367844382
187,-1.328401112
188,-1.286589597
189,-1.24208037
190,-1.203430031
191,-1.168031016
192,-1.147894784
193,-1.121182773
194,-1.094094301
195,-1.071714118
196,-1.054489995
197,-1.03906563
198,-1.021465112
199,-1.006604332
200,-0.9960176104
